serinus_canaria ENSSCAG00000015788
lonchura_striata_domestica ENSLSDG00000007963
zonotrichia_albicollis ENSZALG00000009417
junco_hyemalis ENSJHYG00000008446
lepidothrix_coronata ENSLCOG00000004222
manacus_vitellinus ENSMVIG00005009972
ficedula_albicollis ENSFALG00000000073
parus_major ENSPMJG00000015578
cyanistes_caeruleus ENSCCEG00000012198
calidris_pygmaea ENSCPGG00000008235
calidris_pugnax ENSCPUG00000011456
anas_platyrhynchos_platyrhynchos ENSAPLG00000024225
anser_brachyrhynchus ENSABRG00000011470
coturnix_japonica ENSCJPG00005011476
meleagris_gallopavo ENSMGAG00000008817
numida_meleagris ENSNMEG00000001062
apteryx_rowi ENSARWG00000005441
apteryx_owenii ENSAOWG00000007862
apteryx_haastii ENSAHAG00000005732
nothoprocta_perdicaria ENSNPEG00000004505
dromaius_novaehollandiae ENSDNVG00000003277
crocodylus_porosus ENSCPRG00005012922
gopherus_agassizii ENSGAGG00000024529
chelonoidis_abingdonii ENSCABG00000014699
chrysemys_picta_bellii ENSCPBG00000010984
pelodiscus_sinensis ENSPSIG00000009780
anolis_carolinensis ENSACAG00000026400
anolis_carolinensis ENSACAG00000024591
pogona_vitticeps ENSPVIG00000018577
notechis_scutatus ENSNSUG00000003665
salvator_merianae ENSSMRG00000004352
sphenodon_punctatus ENSSPUG00000014387
ovis_aries ENSOARG00000020477
capra_hircus ENSCHIG00000019585
bos_taurus ENSBTAG00000038116
bos_mutus ENSBMUG00000025576
bison_bison_bison ENSBBBG00000019799
sus_scrofa ENSSSCG00000008236
myotis_lucifugus ENSMLUG00000029386
ailuropoda_melanoleuca ENSAMEG00000002085
ursus_americanus ENSUAMG00000027574
neovison_vison ENSNVIG00000018872
ursus_maritimus ENSUMAG00000006403
mustela_putorius_furo ENSMPUG00000008755
canis_lupus_dingo ENSCAFG00020014645
canis_lupus_familiaris ENSCAFG00000024531
vulpes_vulpes ENSVVUG00000001860
panthera_pardus ENSPPRG00000007210
panthera_tigris_altaica ENSPTIG00000012874
felis_catus ENSFCAG00000037179
equus_asinus_asinus ENSEASG00005001427
equus_caballus ENSECAG00000037048
choloepus_hoffmanni ENSCHOG00000003965
dasypus_novemcinctus ENSDNOG00000046253
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013381
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007230
fukomys_damarensis ENSFDAG00000010949
cavia_porcellus ENSCPOG00000037555
ictidomys_tridecemlineatus ENSSTOG00000020177
marmota_marmota_marmota ENSMMMG00000007682
urocitellus_parryii ENSUPAG00010018102
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022789
cricetulus_griseus_crigri-picr ENSCGRG00015016218
mesocricetus_auratus ENSMAUG00000018817
microtus_ochrogaster ENSMOCG00000000091
peromyscus_maniculatus_bairdii ENSPEMG00000007145
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000056429
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029515
mus_spicilegus ENSMSIG00000007493
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028510
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022245
rattus_norvegicus ENSRNOG00000014617
