ursus_maritimus ENSUMAG00000007755
ursus_americanus ENSUAMG00000024173
ailuropoda_melanoleuca ENSAMEG00000020279
neovison_vison ENSNVIG00000021147
mustela_putorius_furo ENSMPUG00000019148
canis_lupus_dingo ENSCAFG00020014903
canis_lupus_familiaris ENSCAFG00000030448
vulpes_vulpes ENSVVUG00000017725
panthera_pardus ENSPPRG00000017490
panthera_pardus ENSPPRG00000017509
felis_catus ENSFCAG00000002340
myotis_lucifugus ENSMLUG00000008168
tursiops_truncatus ENSTTRG00000007221
sus_scrofa ENSSSCG00000000717
bos_taurus ENSBTAG00000047191
bos_mutus ENSBMUG00000025928
bison_bison_bison ENSBBBG00000002317
capra_hircus ENSCHIG00000008344
equus_caballus ENSECAG00000002941
dasypus_novemcinctus ENSDNOG00000048542
procavia_capensis ENSPCAG00000004034
prolemur_simus ENSPSMG00000008457
microcebus_murinus ENSMICG00000043479
propithecus_coquereli ENSPCOG00000013268
colobus_angolensis_palliatus ENSCANG00000016084
piliocolobus_tephrosceles ENSPTEG00000039023
rhinopithecus_roxellana ENSRROG00000022876
rhinopithecus_bieti ENSRBIG00000028178
macaca_fascicularis ENSMFAG00000010746
macaca_mulatta ENSMMUG00000044539
macaca_nemestrina ENSMNEG00000028058
papio_anubis ENSPANG00000023592
mandrillus_leucophaeus ENSMLEG00000037817
theropithecus_gelada ENSTGEG00000011348
cercocebus_atys ENSCATG00000007852
chlorocebus_sabaeus ENSCSAG00000019219
pan_troglodytes ENSPTRG00000029830
pan_paniscus ENSPPAG00000009680
gorilla_gorilla ENSGGOG00000036395
homo_sapiens ENSG00000151079
pongo_abelii ENSPPYG00000004173
nomascus_leucogenys ENSNLEG00000035398
cebus_capucinus_imitator ENSCCAG00000019213
saimiri_boliviensis_boliviensis ENSSBOG00000012723
aotus_nancymaae ENSANAG00000031710
oryctolagus_cuniculus ENSOCUG00000016046
nannospalax_galili ENSNGAG00000011100
jaculus_jaculus ENSJJAG00000013867
carlito_syrichta ENSTSYG00000037326
marmota_marmota_marmota ENSMMMG00000018162
ictidomys_tridecemlineatus ENSSTOG00000006390
spermophilus_dauricus ENSSDAG00000018028
mus_spicilegus ENSMSIG00000025126
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029931
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000038077
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028887
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022648
rattus_norvegicus ENSRNOG00000052486
meriones_unguiculatus ENSMUGG00000024475
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016072
cricetulus_griseus_crigri_1.0 ENSCGRG00000019777
cricetulus_griseus_crigri-picr ENSCGRG00015004425
mesocricetus_auratus ENSMAUG00000012440
microtus_ochrogaster ENSMOCG00000007165
peromyscus_maniculatus_bairdii ENSPEMG00000001594
castor_canadensis ENSCCNG00000016696
chinchilla_lanigera ENSCLAG00000014216
octodon_degus ENSODEG00000019303
cavia_aperea ENSCAPG00000012298
cavia_porcellus ENSCPOG00000003874
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001123
fukomys_damarensis ENSFDAG00000018694
otolemur_garnettii ENSOGAG00000005228
erinaceus_europaeus ENSEEUG00000002139
monodelphis_domestica ENSMODG00000018007
sarcophilus_harrisii ENSSHAG00000009661
dipodomys_ordii ENSDORG00000005125
ornithorhynchus_anatinus ENSOANG00000014376
ornithorhynchus_anatinus ENSOANG00000000313
