ciona_intestinalis ENSCING00000011844
ciona_savignyi ENSCSAVG00000006668
drosophila_melanogaster FBgn0053061
eptatretus_burgeri ENSEBUG00000016575
petromyzon_marinus ENSPMAG00000004242
salvator_merianae ENSSMRG00000006123
pogona_vitticeps ENSPVIG00000017096
notechis_scutatus ENSNSUG00000016095
sphenodon_punctatus ENSSPUG00000008953
lepidothrix_coronata ENSLCOG00000006934
manacus_vitellinus ENSMVIG00005019660
parus_major ENSPMJG00000010867
cyanistes_caeruleus ENSCCEG00000024136
ficedula_albicollis ENSFALG00000013872
junco_hyemalis ENSJHYG00000006493
zonotrichia_albicollis ENSZALG00000016934
serinus_canaria ENSSCAG00000003949
lonchura_striata_domestica ENSLSDG00000005831
taeniopygia_guttata ENSTGUG00000000480
melopsittacus_undulatus ENSMUNG00000012877
calidris_pugnax ENSCPUG00000019651
calidris_pugnax ENSCPUG00000019650
calidris_pygmaea ENSCPGG00000009271
anser_brachyrhynchus ENSABRG00000012328
anas_platyrhynchos_platyrhynchos ENSAPLG00000024207
meleagris_gallopavo ENSMGAG00000005518
coturnix_japonica ENSCJPG00005013869
gallus_gallus ENSGALG00000003778
numida_meleagris ENSNMEG00000004954
apteryx_owenii ENSAOWG00000012581
apteryx_haastii ENSAHAG00000013550
apteryx_rowi ENSARWG00000018659
dromaius_novaehollandiae ENSDNVG00000014175
nothoprocta_perdicaria ENSNPEG00000011109
crocodylus_porosus ENSCPRG00005017069
gopherus_agassizii ENSGAGG00000014202
chelonoidis_abingdonii ENSCABG00000018523
chrysemys_picta_bellii ENSCPBG00000014959
pelodiscus_sinensis ENSPSIG00000011588
phascolarctos_cinereus ENSPCIG00000019610
notamacropus_eugenii ENSMEUG00000011352
sarcophilus_harrisii ENSSHAG00000011959
monodelphis_domestica ENSMODG00000014946
choloepus_hoffmanni ENSCHOG00000010755
dasypus_novemcinctus ENSDNOG00000046878
procavia_capensis ENSPCAG00000001603
ochotona_princeps ENSOPRG00000017119
castor_canadensis ENSCCNG00000008803
mus_spicilegus ENSMSIG00000024172
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032345
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031791
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031224
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021689
rattus_norvegicus ENSRNOG00000011912
meriones_unguiculatus ENSMUGG00000024521
cricetulus_griseus_crigri_1.0 ENSCGRG00000005715
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011988
cricetulus_griseus_crigri-picr ENSCGRG00015006459
mesocricetus_auratus ENSMAUG00000011812
peromyscus_maniculatus_bairdii ENSPEMG00000011307
microtus_ochrogaster ENSMOCG00000002946
nannospalax_galili ENSNGAG00000016799
jaculus_jaculus ENSJJAG00000013265
cavia_aperea ENSCAPG00000012618
cavia_porcellus ENSCPOG00000026018
octodon_degus ENSODEG00000001632
chinchilla_lanigera ENSCLAG00000004970
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003060
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012106
fukomys_damarensis ENSFDAG00000012062
urocitellus_parryii ENSUPAG00010021641
ictidomys_tridecemlineatus ENSSTOG00000020542
marmota_marmota_marmota ENSMMMG00000023209
spermophilus_dauricus ENSSDAG00000008071
propithecus_coquereli ENSPCOG00000005912
microcebus_murinus ENSMICG00000044609
prolemur_simus ENSPSMG00000018074
otolemur_garnettii ENSOGAG00000005846
homo_sapiens ENSG00000072954
gorilla_gorilla ENSGGOG00000008175
pan_troglodytes ENSPTRG00000010651
pan_troglodytes ENSPTRG00000045472
pan_paniscus ENSPPAG00000005460
pongo_abelii ENSPPYG00000009695
nomascus_leucogenys ENSNLEG00000005579
piliocolobus_tephrosceles ENSPTEG00000033655
colobus_angolensis_palliatus ENSCANG00000027960
rhinopithecus_bieti ENSRBIG00000028394
rhinopithecus_roxellana ENSRROG00000038969
papio_anubis ENSPANG00000031300
theropithecus_gelada ENSTGEG00000010995
mandrillus_leucophaeus ENSMLEG00000017380
chlorocebus_sabaeus ENSCSAG00000005703
macaca_nemestrina ENSMNEG00000044076
macaca_mulatta ENSMMUG00000041930
macaca_fascicularis ENSMFAG00000035712
cercocebus_atys ENSCATG00000030391
saimiri_boliviensis_boliviensis ENSSBOG00000026791
cebus_capucinus_imitator ENSCCAG00000028253
callithrix_jacchus ENSCJAG00000013929
aotus_nancymaae ENSANAG00000030420
bos_mutus ENSBMUG00000008809
bos_taurus ENSBTAG00000013614
bison_bison_bison ENSBBBG00000002393
ovis_aries ENSOARG00000018723
capra_hircus ENSCHIG00000024027
tursiops_truncatus ENSTTRG00000015022
sus_scrofa ENSSSCG00000013864
vicugna_pacos ENSVPAG00000006700
myotis_lucifugus ENSMLUG00000013900
pteropus_vampyrus ENSPVAG00000004328
ursus_maritimus ENSUMAG00000012395
ursus_americanus ENSUAMG00000010308
ailuropoda_melanoleuca ENSAMEG00000010108
neovison_vison ENSNVIG00000015373
mustela_putorius_furo ENSMPUG00000016018
canis_lupus_dingo ENSCAFG00020010277
canis_lupus_familiaris ENSCAFG00000030694
vulpes_vulpes ENSVVUG00000016501
panthera_tigris_altaica ENSPTIG00000004264
panthera_pardus ENSPPRG00000001060
felis_catus ENSFCAG00000024691
equus_caballus ENSECAG00000012297
equus_asinus_asinus ENSEASG00005000479
oryctolagus_cuniculus ENSOCUG00000012404
dipodomys_ordii ENSDORG00000012833
carlito_syrichta ENSTSYG00000037109
erinaceus_europaeus ENSEEUG00000006500
loxodonta_africana ENSLAFG00000029101
ornithorhynchus_anatinus ENSOANG00000007866
xenopus_tropicalis ENSXETG00000021455
