caenorhabditis_elegans_strain_n2 WBGene00013302
drosophila_melanogaster FBgn0260862
scleropages_formosus ENSSFOG00015021444
paramormyrops_kingsleyae ENSPKIG00000001358
astyanax_mexicanus ENSAMXG00000043970
pygocentrus_nattereri ENSPNAG00000028106
ictalurus_punctatus ENSIPUG00000016354
danio_rerio ENSDARG00000045065
fundulus_heteroclitus ENSFHEG00000015935
cyprinodon_variegatus ENSCVAG00000007535
poecilia_formosa ENSPFOG00000002607
poecilia_latipinna ENSPLAG00000018889
poecilia_reticulata ENSPREG00000000890
xiphophorus_maculatus ENSXMAG00000026378
xiphophorus_couchianus ENSXCOG00000006256
poecilia_mexicana ENSPMEG00000020317
gambusia_affinis ENSGAFG00000003938
stegastes_partitus ENSSPAG00000018961
seriola_lalandi_dorsalis ENSSLDG00000019811
seriola_dumerili ENSSDUG00000020946
scophthalmus_maximus ENSSMAG00000020278
takifugu_rubripes ENSTRUG00000020201
labrus_bergylta ENSLBEG00000003964
mastacembelus_armatus ENSMAMG00000016650
monopterus_albus ENSMALG00000022412
anabas_testudineus ENSATEG00000022651
mola_mola ENSMMOG00000013930
maylandia_zebra ENSMZEG00005015915
haplochromis_burtoni ENSHBUG00000016266
astatotilapia_calliptera ENSACLG00000007670
pundamilia_nyererei ENSPNYG00000019415
neolamprologus_brichardi ENSNBRG00000016104
oreochromis_niloticus ENSONIG00000016236
amphilophus_citrinellus ENSACIG00000024474
oryzias_latipes_asm223467v1 ENSORLG00000027010
oryzias_latipes_asm223471v1 ENSORLG00020009005
oryzias_latipes_asm223469v1 ENSORLG00015007522
oryzias_melastigma ENSOMEG00000014449
amphiprion_ocellaris ENSAOCG00000004130
amphiprion_percula ENSAPEG00000014733
acanthochromis_polyacanthus ENSAPOG00000019582
kryptolebias_marmoratus ENSKMAG00000016851
cynoglossus_semilaevis ENSCSEG00000007826
hippocampus_comes ENSHCOG00000015778
periophthalmus_magnuspinnatus ENSPMGG00000000682
gadus_morhua ENSGMOG00000008960
esox_lucius ENSELUG00000001440
lepisosteus_oculatus ENSLOCG00000012227
lonchura_striata_domestica ENSLSDG00000009766
taeniopygia_guttata ENSTGUG00000010802
parus_major ENSPMJG00000005269
ficedula_albicollis ENSFALG00000002258
junco_hyemalis ENSJHYG00000008177
manacus_vitellinus ENSMVIG00005004032
lepidothrix_coronata ENSLCOG00000016418
cyanistes_caeruleus ENSCCEG00000016051
zonotrichia_albicollis ENSZALG00000004191
melopsittacus_undulatus ENSMUNG00000008486
anser_brachyrhynchus ENSABRG00000006109
anas_platyrhynchos_platyrhynchos ENSAPLG00000014465
gallus_gallus ENSGALG00000008880
coturnix_japonica ENSCJPG00005020049
numida_meleagris ENSNMEG00000013488
calidris_pygmaea ENSCPGG00000010543
calidris_pugnax ENSCPUG00000003253
apteryx_owenii ENSAOWG00000018361
dromaius_novaehollandiae ENSDNVG00000015407
nothoprocta_perdicaria ENSNPEG00000012194
crocodylus_porosus ENSCPRG00005011126
chelonoidis_abingdonii ENSCABG00000001684
gopherus_agassizii ENSGAGG00000023494
pelodiscus_sinensis ENSPSIG00000006403
pogona_vitticeps ENSPVIG00000010104
notechis_scutatus ENSNSUG00000003602
salvator_merianae ENSSMRG00000011352
ornithorhynchus_anatinus ENSOANG00000001581
ursus_americanus ENSUAMG00000000631
neovison_vison ENSNVIG00000007352
myotis_lucifugus ENSMLUG00000001937
castor_canadensis ENSCCNG00000016276
meriones_unguiculatus ENSMUGG00000012131
carlito_syrichta ENSTSYG00000009681
notamacropus_eugenii ENSMEUG00000005049
phascolarctos_cinereus ENSPCIG00000026152
monodelphis_domestica ENSMODG00000010161
ochotona_princeps ENSOPRG00000004760
oryctolagus_cuniculus ENSOCUG00000003604
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012809
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011937
fukomys_damarensis ENSFDAG00000011155
cavia_porcellus ENSCPOG00000006164
nannospalax_galili ENSNGAG00000013994
jaculus_jaculus ENSJJAG00000021026
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020765
mesocricetus_auratus ENSMAUG00000011762
microtus_ochrogaster ENSMOCG00000008151
chinchilla_lanigera ENSCLAG00000009927
ictidomys_tridecemlineatus ENSSTOG00000026666
spermophilus_dauricus ENSSDAG00000023219
marmota_marmota_marmota ENSMMMG00000002342
dipodomys_ordii ENSDORG00000009665
mus_spicilegus ENSMSIG00000031262
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024006
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024983
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023085
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014573
peromyscus_maniculatus_bairdii ENSPEMG00000012533
urocitellus_parryii ENSUPAG00010023221
cavia_aperea ENSCAPG00000006247
octodon_degus ENSODEG00000009989
microcebus_murinus ENSMICG00000047275
propithecus_coquereli ENSPCOG00000015475
prolemur_simus ENSPSMG00000017489
otolemur_garnettii ENSOGAG00000006609
gorilla_gorilla ENSGGOG00000037713
homo_sapiens ENSG00000151532
pan_paniscus ENSPPAG00000026987
pan_troglodytes ENSPTRG00000002948
pongo_abelii ENSPPYG00000002659
macaca_fascicularis ENSMFAG00000032726
macaca_nemestrina ENSMNEG00000031625
chlorocebus_sabaeus ENSCSAG00000005129
mandrillus_leucophaeus ENSMLEG00000033470
theropithecus_gelada ENSTGEG00000024104
papio_anubis ENSPANG00000020798
cercocebus_atys ENSCATG00000035321
rhinopithecus_roxellana ENSRROG00000034469
rhinopithecus_bieti ENSRBIG00000038240
colobus_angolensis_palliatus ENSCANG00000039933
piliocolobus_tephrosceles ENSPTEG00000029747
nomascus_leucogenys ENSNLEG00000030643
saimiri_boliviensis_boliviensis ENSSBOG00000032869
cebus_capucinus_imitator ENSCCAG00000029061
callithrix_jacchus ENSCJAG00000045707
aotus_nancymaae ENSANAG00000032056
sus_scrofa ENSSSCG00000032968
loxodonta_africana ENSLAFG00000008133
procavia_capensis ENSPCAG00000002077
cricetulus_griseus_crigri_1.0 ENSCGRG00000001326
rattus_norvegicus ENSRNOG00000042786
tupaia_belangeri ENSTBEG00000013817
canis_lupus_dingo ENSCAFG00020012023
sorex_araneus ENSSARG00000003932
echinops_telfairi ENSETEG00000005892
panthera_tigris_altaica ENSPTIG00000009379
capra_hircus ENSCHIG00000011837
ovis_aries ENSOARG00000012244
bos_mutus ENSBMUG00000016537
bos_taurus ENSBTAG00000050055
bison_bison_bison ENSBBBG00000009639
tursiops_truncatus ENSTTRG00000017119
vicugna_pacos ENSVPAG00000002232
ailuropoda_melanoleuca ENSAMEG00000015399
ursus_maritimus ENSUMAG00000023814
mustela_putorius_furo ENSMPUG00000002040
canis_lupus_familiaris ENSCAFG00000010984
vulpes_vulpes ENSVVUG00000008227
panthera_pardus ENSPPRG00000020332
felis_catus ENSFCAG00000035562
equus_caballus ENSECAG00000012950
equus_asinus_asinus ENSEASG00005014862
pteropus_vampyrus ENSPVAG00000016685
choloepus_hoffmanni ENSCHOG00000012849
dasypus_novemcinctus ENSDNOG00000041691
cricetulus_griseus_crigri-picr ENSCGRG00015017282
apteryx_rowi ENSARWG00000017837
apteryx_haastii ENSAHAG00000011529
sphenodon_punctatus ENSSPUG00000004362
xenopus_tropicalis ENSXETG00000026103
latimeria_chalumnae ENSLACG00000011699
eptatretus_burgeri ENSEBUG00000004296
ciona_intestinalis ENSCING00000016458
apteryx_owenii ENSAOWG00000001551
apteryx_rowi ENSARWG00000002327
apteryx_haastii ENSAHAG00000014357
dromaius_novaehollandiae ENSDNVG00000001747
nothoprocta_perdicaria ENSNPEG00000008260
coturnix_japonica ENSCJPG00005017375
meleagris_gallopavo ENSMGAG00000011955
gallus_gallus ENSGALG00000009526
numida_meleagris ENSNMEG00000020129
anser_brachyrhynchus ENSABRG00000015495
anas_platyrhynchos_platyrhynchos ENSAPLG00000029959
calidris_pygmaea ENSCPGG00000007559
calidris_pugnax ENSCPUG00000007610
melopsittacus_undulatus ENSMUNG00000010157
lepidothrix_coronata ENSLCOG00000016372
manacus_vitellinus ENSMVIG00005011076
parus_major ENSPMJG00000015064
cyanistes_caeruleus ENSCCEG00000014324
taeniopygia_guttata ENSTGUG00000011519
lonchura_striata_domestica ENSLSDG00000010757
serinus_canaria ENSSCAG00000013095
zonotrichia_albicollis ENSZALG00000006745
junco_hyemalis ENSJHYG00000003849
ficedula_albicollis ENSFALG00000005164
crocodylus_porosus ENSCPRG00005017549
gopherus_agassizii ENSGAGG00000009051
chelonoidis_abingdonii ENSCABG00000016884
chrysemys_picta_bellii ENSCPBG00000006306
pelodiscus_sinensis ENSPSIG00000008943
anolis_carolinensis ENSACAG00000005765
anolis_carolinensis ENSACAG00000000699
pogona_vitticeps ENSPVIG00000022724
notechis_scutatus ENSNSUG00000017681
salvator_merianae ENSSMRG00000009505
sphenodon_punctatus ENSSPUG00000013876
notamacropus_eugenii ENSMEUG00000004910
phascolarctos_cinereus ENSPCIG00000023428
