cebus_capucinus_imitator ENSCCAG00000028740
saimiri_boliviensis_boliviensis ENSSBOG00000034571
callithrix_jacchus ENSCJAG00000003651
pan_troglodytes ENSPTRG00000021708
pan_paniscus ENSPPAG00000032642
homo_sapiens ENSG00000177324
gorilla_gorilla ENSGGOG00000003458
pongo_abelii ENSPPYG00000020164
nomascus_leucogenys ENSNLEG00000009644
macaca_fascicularis ENSMFAG00000036840
macaca_mulatta ENSMMUG00000019969
macaca_nemestrina ENSMNEG00000036925
mandrillus_leucophaeus ENSMLEG00000028836
cercocebus_atys ENSCATG00000036336
papio_anubis ENSPANG00000036174
theropithecus_gelada ENSTGEG00000017611
chlorocebus_sabaeus ENSCSAG00000014759
piliocolobus_tephrosceles ENSPTEG00000005455
colobus_angolensis_palliatus ENSCANG00000033884
rhinopithecus_bieti ENSRBIG00000040695
rhinopithecus_roxellana ENSRROG00000044796
