mus_musculus_strain_reference_cl57bl6 ENSMUSG00000067882
mus_spicilegus ENSMSIG00000014066
meriones_unguiculatus ENSMUGG00000017316
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005363
cricetulus_griseus_crigri_1.0 ENSCGRG00000011342
cricetulus_griseus_crigri-picr ENSCGRG00015011151
mesocricetus_auratus ENSMAUG00000021577
peromyscus_maniculatus_bairdii ENSPEMG00000006017
microtus_ochrogaster ENSMOCG00000018631
nannospalax_galili ENSNGAG00000020351
jaculus_jaculus ENSJJAG00000023716
castor_canadensis ENSCCNG00000017950
urocitellus_parryii ENSUPAG00010018590
ictidomys_tridecemlineatus ENSSTOG00000003832
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003796
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013755
chinchilla_lanigera ENSCLAG00000011774
octodon_degus ENSODEG00000012823
fukomys_damarensis ENSFDAG00000019046
oryctolagus_cuniculus ENSOCUG00000000224
chlorocebus_sabaeus ENSCSAG00000010102
otolemur_garnettii ENSOGAG00000003697
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0009411
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0008425
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0008950
pongo_abelii ENSPPYG00000029459
prolemur_simus ENSPSMG00000017300
theropithecus_gelada ENSTGEG00000025638
myotis_lucifugus ENSMLUG00000000014
echinops_telfairi ENSETEG00000002806
sus_scrofa ENSSSCG00000038889
bos_mutus ENSBMUG00000014023
bison_bison_bison ENSBBBG00000022538
bos_taurus ENSBTAG00000021407
ovis_aries ENSOARG00000001376
equus_caballus ENSECAG00000008120
equus_asinus_asinus ENSEASG00005006094
ailuropoda_melanoleuca ENSAMEG00000010585
ursus_maritimus ENSUMAG00000000948
canis_lupus_dingo ENSCAFG00020025829
canis_lupus_familiaris ENSCAFG00000030711
felis_catus ENSFCAG00000025449
sorex_araneus ENSSARG00000006570
erinaceus_europaeus ENSEEUG00000007249
tupaia_belangeri ENSTBEG00000002944
dasypus_novemcinctus ENSDNOG00000038267
loxodonta_africana ENSLAFG00000027877
phascolarctos_cinereus ENSPCIG00000017332
monodelphis_domestica ENSMODG00000016461
sarcophilus_harrisii ENSSHAG00000017117
ornithorhynchus_anatinus ENSOANG00000021800
