cebus_capucinus_imitator ENSCCAG00000023621
equus_caballus ENSECAG00000031157
eptatretus_burgeri ENSEBUG00000000525
scleropages_formosus ENSSFOG00015020424
astyanax_mexicanus ENSAMXG00000041227
phascolarctos_cinereus ENSPCIG00000017900
sarcophilus_harrisii ENSSHAG00000016229
monodelphis_domestica ENSMODG00000017070
ornithorhynchus_anatinus ENSOANG00000004915
pogona_vitticeps ENSPVIG00000015860
anolis_carolinensis ENSACAG00000006302
notechis_scutatus ENSNSUG00000004419
salvator_merianae ENSSMRG00000019092
sphenodon_punctatus ENSSPUG00000000644
gallus_gallus ENSGALG00000029170
meleagris_gallopavo ENSMGAG00000015542
coturnix_japonica ENSCJPG00005003691
numida_meleagris ENSNMEG00000016050
anser_brachyrhynchus ENSABRG00000006540
anas_platyrhynchos_platyrhynchos ENSAPLG00000011667
manacus_vitellinus ENSMVIG00005004863
lepidothrix_coronata ENSLCOG00000013740
lonchura_striata_domestica ENSLSDG00000006350
taeniopygia_guttata ENSTGUG00000007312
serinus_canaria ENSSCAG00000014560
cyanistes_caeruleus ENSCCEG00000021580
parus_major ENSPMJG00000007212
ficedula_albicollis ENSFALG00000014956
junco_hyemalis ENSJHYG00000012629
melopsittacus_undulatus ENSMUNG00000007561
calidris_pygmaea ENSCPGG00000000156
calidris_pugnax ENSCPUG00000006748
apteryx_haastii ENSAHAG00000002794
apteryx_owenii ENSAOWG00000001099
apteryx_rowi ENSARWG00000009722
dromaius_novaehollandiae ENSDNVG00000000037
nothoprocta_perdicaria ENSNPEG00000009458
crocodylus_porosus ENSCPRG00005006011
chelonoidis_abingdonii ENSCABG00000000861
gopherus_agassizii ENSGAGG00000024124
chrysemys_picta_bellii ENSCPBG00000013971
pelodiscus_sinensis ENSPSIG00000000787
xenopus_tropicalis ENSXETG00000011524
latimeria_chalumnae ENSLACG00000009860
takifugu_rubripes ENSTRUG00000001827
tetraodon_nigroviridis ENSTNIG00000000852
mola_mola ENSMMOG00000010672
periophthalmus_magnuspinnatus ENSPMGG00000019477
oryzias_latipes_asm223471v1 ENSORLG00020005352
oryzias_latipes_asm223469v1 ENSORLG00015020493
oryzias_latipes_asm223467v1 ENSORLG00000016815
oryzias_melastigma ENSOMEG00000013434
kryptolebias_marmoratus ENSKMAG00000015279
pundamilia_nyererei ENSPNYG00000015318
astatotilapia_calliptera ENSACLG00000008104
maylandia_zebra ENSMZEG00005026801
haplochromis_burtoni ENSHBUG00000007198
neolamprologus_brichardi ENSNBRG00000008675
oreochromis_niloticus ENSONIG00000020972
amphilophus_citrinellus ENSACIG00000011504
amphiprion_percula ENSAPEG00000004517
amphiprion_ocellaris ENSAOCG00000005124
acanthochromis_polyacanthus ENSAPOG00000001107
stegastes_partitus ENSSPAG00000002004
seriola_lalandi_dorsalis ENSSLDG00000002035
seriola_dumerili ENSSDUG00000006505
scophthalmus_maximus ENSSMAG00000017878
monopterus_albus ENSMALG00000018524
mastacembelus_armatus ENSMAMG00000006936
anabas_testudineus ENSATEG00000024733
labrus_bergylta ENSLBEG00000006225
hippocampus_comes ENSHCOG00000010613
esox_lucius ENSELUG00000018281
pygocentrus_nattereri ENSPNAG00000020445
astyanax_mexicanus ENSAMXG00000026093
ictalurus_punctatus ENSIPUG00000010220
paramormyrops_kingsleyae ENSPKIG00000018614
lepisosteus_oculatus ENSLOCG00000005269
paramormyrops_kingsleyae ENSPKIG00000019808
danio_rerio ENSDARG00000079423
pan_paniscus ENSPPAG00000032633
pan_troglodytes ENSPTRG00000023901
homo_sapiens ENSG00000125522
gorilla_gorilla ENSGGOG00000001853
pongo_abelii ENSPPYG00000011262
nomascus_leucogenys ENSNLEG00000019169
macaca_mulatta ENSMMUG00000017084
theropithecus_gelada ENSTGEG00000007953
chlorocebus_sabaeus ENSCSAG00000018732
rhinopithecus_bieti ENSRBIG00000030888
rhinopithecus_roxellana ENSRROG00000003591
piliocolobus_tephrosceles ENSPTEG00000008295
callithrix_jacchus ENSCJAG00000022380
propithecus_coquereli ENSPCOG00000025229
prolemur_simus ENSPSMG00000000319
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000021250
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020357
fukomys_damarensis ENSFDAG00000009633
cavia_aperea ENSCAPG00000005291
cavia_porcellus ENSCPOG00000015008
castor_canadensis ENSCCNG00000030589
ictidomys_tridecemlineatus ENSSTOG00000021335
marmota_marmota_marmota ENSMMMG00000000152
spermophilus_dauricus ENSSDAG00000008105
urocitellus_parryii ENSUPAG00010003392
ursus_maritimus ENSUMAG00000021536
ursus_americanus ENSUAMG00000002166
ailuropoda_melanoleuca ENSAMEG00000002036
felis_catus ENSFCAG00000042501
equus_caballus ENSECAG00000004916
equus_asinus_asinus ENSEASG00005023084
ovis_aries ENSOARG00000004757
capra_hircus ENSCHIG00000003852
bos_mutus ENSBMUG00000024696
bos_taurus ENSBTAG00000047704
bison_bison_bison ENSBBBG00000018631
sus_scrofa ENSSSCG00000037868
eptatretus_burgeri ENSEBUG00000005071
poecilia_reticulata ENSPREG00000001036
