danio_rerio ENSDARG00000074253
esox_lucius ENSELUG00000014013
poecilia_reticulata ENSPREG00000008985
xiphophorus_couchianus ENSXCOG00000012450
cyprinodon_variegatus ENSCVAG00000020208
mastacembelus_armatus ENSMAMG00000021680
labrus_bergylta ENSLBEG00000020293
scophthalmus_maximus ENSSMAG00000017807
oreochromis_niloticus ENSONIG00000020727
amphilophus_citrinellus ENSACIG00000008385
stegastes_partitus ENSSPAG00000009470
gasterosteus_aculeatus ENSGACG00000010412
takifugu_rubripes ENSTRUG00000003781
cynoglossus_semilaevis ENSCSEG00000003154
amphiprion_ocellaris ENSAOCG00000012741
amphiprion_percula ENSAPEG00000004093
acanthochromis_polyacanthus ENSAPOG00000002989
poecilia_mexicana ENSPMEG00000007370
poecilia_formosa ENSPFOG00000004604
poecilia_latipinna ENSPLAG00000009538
fundulus_heteroclitus ENSFHEG00000020177
kryptolebias_marmoratus ENSKMAG00000002574
tetraodon_nigroviridis ENSTNIG00000017004
seriola_lalandi_dorsalis ENSSLDG00000022424
seriola_dumerili ENSSDUG00000018499
oryzias_melastigma ENSOMEG00000010996
oryzias_latipes_asm223469v1 ENSORLG00015017287
maylandia_zebra ENSMZEG00005027399
astatotilapia_calliptera ENSACLG00000022698
pundamilia_nyererei ENSPNYG00000001716
haplochromis_burtoni ENSHBUG00000013817
neolamprologus_brichardi ENSNBRG00000013883
xiphophorus_maculatus ENSXMAG00000018245
anabas_testudineus ENSATEG00000010071
monopterus_albus ENSMALG00000020519
mola_mola ENSMMOG00000007906
periophthalmus_magnuspinnatus ENSPMGG00000010008
hippocampus_comes ENSHCOG00000002447
gadus_morhua ENSGMOG00000018006
pygocentrus_nattereri ENSPNAG00000024761
astyanax_mexicanus ENSAMXG00000038663
ictalurus_punctatus ENSIPUG00000016546
paramormyrops_kingsleyae ENSPKIG00000001548
scleropages_formosus ENSSFOG00015016236
lepisosteus_oculatus ENSLOCG00000017350
bos_taurus ENSBTAG00000008749
bos_mutus ENSBMUG00000009763
capra_hircus ENSCHIG00000010551
ovis_aries ENSOARG00000002572
sus_scrofa ENSSSCG00000004155
equus_caballus ENSECAG00000009598
equus_asinus_asinus ENSEASG00005011723
ailuropoda_melanoleuca ENSAMEG00000019633
ursus_americanus ENSUAMG00000017507
neovison_vison ENSNVIG00000019187
mustela_putorius_furo ENSMPUG00000018873
canis_lupus_familiaris ENSCAFG00000000265
canis_lupus_dingo ENSCAFG00020022780
vulpes_vulpes ENSVVUG00000002352
felis_catus ENSFCAG00000030246
panthera_pardus ENSPPRG00000021908
ictidomys_tridecemlineatus ENSSTOG00000020214
urocitellus_parryii ENSUPAG00010003123
marmota_marmota_marmota ENSMMMG00000019365
castor_canadensis ENSCCNG00000010272
mus_spicilegus ENSMSIG00000028998
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015955
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000045591
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015147
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023767
rattus_norvegicus ENSRNOG00000012057
meriones_unguiculatus ENSMUGG00000015441
peromyscus_maniculatus_bairdii ENSPEMG00000008406
microtus_ochrogaster ENSMOCG00000001779
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006525
cricetulus_griseus_crigri_1.0 ENSCGRG00000019409
cricetulus_griseus_crigri-picr ENSCGRG00015020449
mesocricetus_auratus ENSMAUG00000007734
nannospalax_galili ENSNGAG00000018786
dipodomys_ordii ENSDORG00000013033
ochotona_princeps ENSOPRG00000003267
tupaia_belangeri ENSTBEG00000014468
chinchilla_lanigera ENSCLAG00000017843
cavia_porcellus ENSCPOG00000007516
octodon_degus ENSODEG00000019534
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020086
propithecus_coquereli ENSPCOG00000005063
prolemur_simus ENSPSMG00000000963
microcebus_murinus ENSMICG00000027650
otolemur_garnettii ENSOGAG00000011977
saimiri_boliviensis_boliviensis ENSSBOG00000035534
cebus_capucinus_imitator ENSCCAG00000032329
callithrix_jacchus ENSCJAG00000019011
aotus_nancymaae ENSANAG00000019677
homo_sapiens ENSG00000177468
gorilla_gorilla ENSGGOG00000001516
pan_troglodytes ENSPTRG00000018643
pan_paniscus ENSPPAG00000020831
pongo_abelii ENSPPYG00000017041
nomascus_leucogenys ENSNLEG00000019305
rhinopithecus_bieti ENSRBIG00000025542
rhinopithecus_roxellana ENSRROG00000019602
piliocolobus_tephrosceles ENSPTEG00000025262
colobus_angolensis_palliatus ENSCANG00000017196
macaca_fascicularis ENSMFAG00000027435
macaca_nemestrina ENSMNEG00000019943
macaca_mulatta ENSMMUG00000047350
theropithecus_gelada ENSTGEG00000016458
papio_anubis ENSPANG00000006465
cercocebus_atys ENSCATG00000015711
chlorocebus_sabaeus ENSCSAG00000000185
microcebus_murinus ENSMICG00000041427
spermophilus_dauricus ENSSDAG00000018095
ursus_maritimus ENSUMAG00000023816
pteropus_vampyrus ENSPVAG00000012582
bison_bison_bison ENSBBBG00000002099
erinaceus_europaeus ENSEEUG00000013328
oryctolagus_cuniculus ENSOCUG00000017289
loxodonta_africana ENSLAFG00000005655
procavia_capensis ENSPCAG00000002488
echinops_telfairi ENSETEG00000004562
carlito_syrichta ENSTSYG00000031783
myotis_lucifugus ENSMLUG00000026705
dasypus_novemcinctus ENSDNOG00000042405
choloepus_hoffmanni ENSCHOG00000005165
jaculus_jaculus ENSJJAG00000001512
ornithorhynchus_anatinus ENSOANG00000014796
phascolarctos_cinereus ENSPCIG00000020328
sarcophilus_harrisii ENSSHAG00000007183
monodelphis_domestica ENSMODG00000017418
notechis_scutatus ENSNSUG00000009846
pogona_vitticeps ENSPVIG00000013879
salvator_merianae ENSSMRG00000001319
calidris_pygmaea ENSCPGG00000000265
calidris_pugnax ENSCPUG00000000096
melopsittacus_undulatus ENSMUNG00000003520
taeniopygia_guttata ENSTGUG00000010892
lonchura_striata_domestica ENSLSDG00000002827
serinus_canaria ENSSCAG00000003086
zonotrichia_albicollis ENSZALG00000011192
junco_hyemalis ENSJHYG00000015255
cyanistes_caeruleus ENSCCEG00000004199
parus_major ENSPMJG00000007987
ficedula_albicollis ENSFALG00000012862
lepidothrix_coronata ENSLCOG00000016366
anser_brachyrhynchus ENSABRG00000011084
anas_platyrhynchos_platyrhynchos ENSAPLG00000018777
dromaius_novaehollandiae ENSDNVG00000008752
nothoprocta_perdicaria ENSNPEG00000007310
apteryx_haastii ENSAHAG00000005178
apteryx_owenii ENSAOWG00000012683
apteryx_rowi ENSARWG00000017555
numida_meleagris ENSNMEG00000022003
coturnix_japonica ENSCJPG00005008858
gopherus_agassizii ENSGAGG00000005732
chelonoidis_abingdonii ENSCABG00000010641
chrysemys_picta_bellii ENSCPBG00000017537
pelodiscus_sinensis ENSPSIG00000001778
crocodylus_porosus ENSCPRG00005001547
sphenodon_punctatus ENSSPUG00000011903
latimeria_chalumnae ENSLACG00000005047
xenopus_tropicalis ENSXETG00000022490
