heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017524
fukomys_damarensis ENSFDAG00000012738
chinchilla_lanigera ENSCLAG00000000308
cricetulus_griseus_crigri_1.0 ENSCGRG00000007509
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020110
mesocricetus_auratus ENSMAUG00000010562
microtus_ochrogaster ENSMOCG00000012801
rattus_norvegicus ENSRNOG00000015271
nannospalax_galili ENSNGAG00000012369
spermophilus_dauricus ENSSDAG00000010903
marmota_marmota_marmota ENSMMMG00000000015
ictidomys_tridecemlineatus ENSSTOG00000034902
oryctolagus_cuniculus ENSOCUG00000008616
propithecus_coquereli ENSPCOG00000022694
microcebus_murinus ENSMICG00000046300
prolemur_simus ENSPSMG00000017641
carlito_syrichta ENSTSYG00000001024
tupaia_belangeri ENSTBEG00000004771
panthera_pardus ENSPPRG00000006705
ailuropoda_melanoleuca ENSAMEG00000004910
equus_caballus ENSECAG00000011096
equus_asinus_asinus ENSEASG00005020381
pteropus_vampyrus ENSPVAG00000000907
capra_hircus ENSCHIG00000020149
ovis_aries ENSOARG00000003687
bos_taurus ENSBTAG00000037981
tursiops_truncatus ENSTTRG00000015568
erinaceus_europaeus ENSEEUG00000011375
ursus_maritimus ENSUMAG00000004102
ursus_americanus ENSUAMG00000002268
panthera_tigris_altaica ENSPTIG00000017964
panthera_pardus ENSPPRG00000013536
felis_catus ENSFCAG00000046116
chlorocebus_sabaeus ENSCSAG00000001621
theropithecus_gelada ENSTGEG00000015287
oryctolagus_cuniculus ENSOCUG00000029338
ursus_americanus ENSUAMG00000002274
