mus_spicilegus ENSMSIG00000023528
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000023947
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022558
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021646
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020638
rattus_norvegicus ENSRNOG00000019907
meriones_unguiculatus ENSMUGG00000000614
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013839
cricetulus_griseus_crigri_1.0 ENSCGRG00000016292
cricetulus_griseus_crigri-picr ENSCGRG00015004964
mesocricetus_auratus ENSMAUG00000012047
microtus_ochrogaster ENSMOCG00000005380
peromyscus_maniculatus_bairdii ENSPEMG00000009911
nannospalax_galili ENSNGAG00000021559
jaculus_jaculus ENSJJAG00000021238
castor_canadensis ENSCCNG00000015755
ictidomys_tridecemlineatus ENSSTOG00000013475
urocitellus_parryii ENSUPAG00010004104
spermophilus_dauricus ENSSDAG00000001598
marmota_marmota_marmota ENSMMMG00000024579
oryctolagus_cuniculus ENSOCUG00000017894
ochotona_princeps ENSOPRG00000013645
saimiri_boliviensis_boliviensis ENSSBOG00000005172
cebus_capucinus_imitator ENSCCAG00000021383
aotus_nancymaae ENSANAG00000035565
gorilla_gorilla ENSGGOG00000008901
homo_sapiens ENSG00000146232
pan_troglodytes ENSPTRG00000018219
pan_paniscus ENSPPAG00000028804
pongo_abelii ENSPPYG00000016656
nomascus_leucogenys ENSNLEG00000003672
macaca_mulatta ENSMMUG00000022689
macaca_fascicularis ENSMFAG00000037930
macaca_nemestrina ENSMNEG00000000011
mandrillus_leucophaeus ENSMLEG00000038934
theropithecus_gelada ENSTGEG00000029673
papio_anubis ENSPANG00000022206
cercocebus_atys ENSCATG00000027685
chlorocebus_sabaeus ENSCSAG00000012428
colobus_angolensis_palliatus ENSCANG00000019032
piliocolobus_tephrosceles ENSPTEG00000013029
rhinopithecus_roxellana ENSRROG00000030149
rhinopithecus_bieti ENSRBIG00000031489
carlito_syrichta ENSTSYG00000003458
microcebus_murinus ENSMICG00000013421
propithecus_coquereli ENSPCOG00000017997
prolemur_simus ENSPSMG00000019044
otolemur_garnettii ENSOGAG00000028890
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011062
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012781
fukomys_damarensis ENSFDAG00000011068
octodon_degus ENSODEG00000015243
chinchilla_lanigera ENSCLAG00000011710
cavia_aperea ENSCAPG00000015808
cavia_porcellus ENSCPOG00000020455
dipodomys_ordii ENSDORG00000010986
pteropus_vampyrus ENSPVAG00000016835
myotis_lucifugus ENSMLUG00000005257
equus_caballus ENSECAG00000019914
equus_asinus_asinus ENSEASG00005003720
bos_taurus ENSBTAG00000013705
bos_mutus ENSBMUG00000011601
bison_bison_bison ENSBBBG00000005007
ovis_aries ENSOARG00000009498
sus_scrofa ENSSSCG00000001703
ursus_americanus ENSUAMG00000016667
ursus_maritimus ENSUMAG00000005343
ailuropoda_melanoleuca ENSAMEG00000011785
neovison_vison ENSNVIG00000009421
mustela_putorius_furo ENSMPUG00000012582
vulpes_vulpes ENSVVUG00000029224
canis_lupus_dingo ENSCAFG00020012224
panthera_pardus ENSPPRG00000019897
panthera_tigris_altaica ENSPTIG00000013028
felis_catus ENSFCAG00000009769
tursiops_truncatus ENSTTRG00000006928
procavia_capensis ENSPCAG00000002798
erinaceus_europaeus ENSEEUG00000007093
canis_lupus_familiaris ENSCAFG00000001985
loxodonta_africana ENSLAFG00000028259
dasypus_novemcinctus ENSDNOG00000040817
echinops_telfairi ENSETEG00000001804
phascolarctos_cinereus ENSPCIG00000012863
notamacropus_eugenii ENSMEUG00000013962
sarcophilus_harrisii ENSSHAG00000017455
monodelphis_domestica ENSMODG00000018929
ornithorhynchus_anatinus ENSOANG00000013005
pogona_vitticeps ENSPVIG00000001917
notechis_scutatus ENSNSUG00000009151
salvator_merianae ENSSMRG00000005780
sphenodon_punctatus ENSSPUG00000007504
apteryx_owenii ENSAOWG00000003954
apteryx_haastii ENSAHAG00000017226
apteryx_rowi ENSARWG00000004646
dromaius_novaehollandiae ENSDNVG00000007437
nothoprocta_perdicaria ENSNPEG00000009617
parus_major ENSPMJG00000014802
lepidothrix_coronata ENSLCOG00000001768
junco_hyemalis ENSJHYG00000012339
zonotrichia_albicollis ENSZALG00000011268
ficedula_albicollis ENSFALG00000011284
lonchura_striata_domestica ENSLSDG00000010342
calidris_pygmaea ENSCPGG00000003513
serinus_canaria ENSSCAG00000013648
cyanistes_caeruleus ENSCCEG00000003192
manacus_vitellinus ENSMVIG00005006885
taeniopygia_guttata ENSTGUG00000007962
calidris_pugnax ENSCPUG00000002113
numida_meleagris ENSNMEG00000016477
melopsittacus_undulatus ENSMUNG00000007944
coturnix_japonica ENSCJPG00005010303
meleagris_gallopavo ENSMGAG00000010800
gallus_gallus ENSGALG00000044525
anser_brachyrhynchus ENSABRG00000019651
anas_platyrhynchos_platyrhynchos ENSAPLG00000015410
crocodylus_porosus ENSCPRG00005010740
chelonoidis_abingdonii ENSCABG00000022006
gopherus_agassizii ENSGAGG00000014161
chrysemys_picta_bellii ENSCPBG00000025322
pelodiscus_sinensis ENSPSIG00000018007
xenopus_tropicalis ENSXETG00000014799
latimeria_chalumnae ENSLACG00000007650
scleropages_formosus ENSSFOG00015007828
paramormyrops_kingsleyae ENSPKIG00000002594
oryzias_latipes_asm223471v1 ENSORLG00020016207
oryzias_latipes_asm223469v1 ENSORLG00015011147
oryzias_latipes_asm223467v1 ENSORLG00000022512
oryzias_melastigma ENSOMEG00000023222
hippocampus_comes ENSHCOG00000005252
scophthalmus_maximus ENSSMAG00000019231
gasterosteus_aculeatus ENSGACG00000013502
amphiprion_ocellaris ENSAOCG00000019158
acanthochromis_polyacanthus ENSAPOG00000015167
stegastes_partitus ENSSPAG00000016311
xiphophorus_maculatus ENSXMAG00000024291
xiphophorus_couchianus ENSXCOG00000002238
gambusia_affinis ENSGAFG00000001029
poecilia_formosa ENSPFOG00000018853
poecilia_latipinna ENSPLAG00000020336
poecilia_mexicana ENSPMEG00000018987
poecilia_reticulata ENSPREG00000008410
fundulus_heteroclitus ENSFHEG00000023154
cyprinodon_variegatus ENSCVAG00000003524
kryptolebias_marmoratus ENSKMAG00000018587
astatotilapia_calliptera ENSACLG00000024199
maylandia_zebra ENSMZEG00005001379
haplochromis_burtoni ENSHBUG00000000539
pundamilia_nyererei ENSPNYG00000023284
neolamprologus_brichardi ENSNBRG00000022121
oreochromis_niloticus ENSONIG00000005945
amphilophus_citrinellus ENSACIG00000014112
takifugu_rubripes ENSTRUG00000005551
tetraodon_nigroviridis ENSTNIG00000016392
mola_mola ENSMMOG00000000149
labrus_bergylta ENSLBEG00000010490
seriola_dumerili ENSSDUG00000003776
seriola_lalandi_dorsalis ENSSLDG00000024639
monopterus_albus ENSMALG00000020363
mastacembelus_armatus ENSMAMG00000004708
anabas_testudineus ENSATEG00000017217
cynoglossus_semilaevis ENSCSEG00000020758
periophthalmus_magnuspinnatus ENSPMGG00000020835
gadus_morhua ENSGMOG00000014026
esox_lucius ENSELUG00000013153
pygocentrus_nattereri ENSPNAG00000012083
astyanax_mexicanus ENSAMXG00000029672
ictalurus_punctatus ENSIPUG00000021162
danio_rerio ENSDARG00000068367
lepisosteus_oculatus ENSLOCG00000016399
paramormyrops_kingsleyae ENSPKIG00000000163
scleropages_formosus ENSSFOG00015007108
pygocentrus_nattereri ENSPNAG00000002246
astyanax_mexicanus ENSAMXG00000001646
ictalurus_punctatus ENSIPUG00000019330
danio_rerio ENSDARG00000030087
esox_lucius ENSELUG00000008800
lepisosteus_oculatus ENSLOCG00000014185
