heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000362
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017967
fukomys_damarensis ENSFDAG00000006215
cavia_porcellus ENSCPOG00000009741
cavia_aperea ENSCAPG00000000218
octodon_degus ENSODEG00000015176
chinchilla_lanigera ENSCLAG00000006630
ictidomys_tridecemlineatus ENSSTOG00000015032
marmota_marmota_marmota ENSMMMG00000007394
urocitellus_parryii ENSUPAG00010002350
spermophilus_dauricus ENSSDAG00000003212
mus_spicilegus ENSMSIG00000008607
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031772
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025482
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030661
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013861
rattus_norvegicus ENSRNOG00000012858
meriones_unguiculatus ENSMUGG00000011624
microtus_ochrogaster ENSMOCG00000008604
peromyscus_maniculatus_bairdii ENSPEMG00000001192
cricetulus_griseus_crigri-picr ENSCGRG00015027663
cricetulus_griseus_crigri_1.0 ENSCGRG00000016729
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010633
mesocricetus_auratus ENSMAUG00000020730
nannospalax_galili ENSNGAG00000022214
jaculus_jaculus ENSJJAG00000024062
castor_canadensis ENSCCNG00000004990
sorex_araneus ENSSARG00000012657
propithecus_coquereli ENSPCOG00000017749
microcebus_murinus ENSMICG00000006280
prolemur_simus ENSPSMG00000021605
otolemur_garnettii ENSOGAG00000003222
pan_paniscus ENSPPAG00000009239
pan_troglodytes ENSPTRG00000003102
gorilla_gorilla ENSGGOG00000013133
homo_sapiens ENSG00000177947
pongo_abelii ENSPPYG00000019964
nomascus_leucogenys ENSNLEG00000015548
rhinopithecus_bieti ENSRBIG00000037105
rhinopithecus_roxellana ENSRROG00000034525
piliocolobus_tephrosceles ENSPTEG00000021217
colobus_angolensis_palliatus ENSCANG00000012164
macaca_nemestrina ENSMNEG00000036148
macaca_fascicularis ENSMFAG00000037642
macaca_mulatta ENSMMUG00000011502
mandrillus_leucophaeus ENSMLEG00000005941
cercocebus_atys ENSCATG00000013797
theropithecus_gelada ENSTGEG00000022439
papio_anubis ENSPANG00000023337
chlorocebus_sabaeus ENSCSAG00000011331
cebus_capucinus_imitator ENSCCAG00000025933
saimiri_boliviensis_boliviensis ENSSBOG00000027038
callithrix_jacchus ENSCJAG00000000901
aotus_nancymaae ENSANAG00000037371
oryctolagus_cuniculus ENSOCUG00000014487
ochotona_princeps ENSOPRG00000000907
bos_mutus ENSBMUG00000021956
bos_taurus ENSBTAG00000001730
bison_bison_bison ENSBBBG00000024055
capra_hircus ENSCHIG00000000046
ovis_aries ENSOARG00000009074
tursiops_truncatus ENSTTRG00000013504
sus_scrofa ENSSSCG00000014555
equus_asinus_asinus ENSEASG00005015396
equus_caballus ENSECAG00000006684
pteropus_vampyrus ENSPVAG00000017698
erinaceus_europaeus ENSEEUG00000010624
neovison_vison ENSNVIG00000004954
mustela_putorius_furo ENSMPUG00000008304
canis_lupus_familiaris ENSCAFG00000006423
canis_lupus_dingo ENSCAFG00020007505
vulpes_vulpes ENSVVUG00000015084
ursus_americanus ENSUAMG00000013856
ursus_maritimus ENSUMAG00000005174
ailuropoda_melanoleuca ENSAMEG00000003254
panthera_pardus ENSPPRG00000017912
panthera_tigris_altaica ENSPTIG00000007214
felis_catus ENSFCAG00000002662
dipodomys_ordii ENSDORG00000012080
loxodonta_africana ENSLAFG00000021450
procavia_capensis ENSPCAG00000004298
echinops_telfairi ENSETEG00000011121
choloepus_hoffmanni ENSCHOG00000003043
dasypus_novemcinctus ENSDNOG00000042309
notamacropus_eugenii ENSMEUG00000001890
phascolarctos_cinereus ENSPCIG00000018063
sarcophilus_harrisii ENSSHAG00000009261
ornithorhynchus_anatinus ENSOANG00000020367
apteryx_haastii ENSAHAG00000018720
apteryx_owenii ENSAOWG00000009003
apteryx_rowi ENSARWG00000013163
nothoprocta_perdicaria ENSNPEG00000001901
dromaius_novaehollandiae ENSDNVG00000001861
anas_platyrhynchos_platyrhynchos ENSAPLG00000025640
anas_platyrhynchos_platyrhynchos ENSAPLG00000025099
gallus_gallus ENSGALG00000048776
crocodylus_porosus ENSCPRG00005009163
chelonoidis_abingdonii ENSCABG00000000327
gopherus_agassizii ENSGAGG00000004795
chrysemys_picta_bellii ENSCPBG00000022141
pelodiscus_sinensis ENSPSIG00000015348
salvator_merianae ENSSMRG00000013439
notechis_scutatus ENSNSUG00000009362
pogona_vitticeps ENSPVIG00000017366
anolis_carolinensis ENSACAG00000017539
sphenodon_punctatus ENSSPUG00000004624
calidris_pugnax ENSCPUG00000015227
calidris_pugnax ENSCPUG00000005568
calidris_pugnax ENSCPUG00000016810
calidris_pygmaea ENSCPGG00000011309
calidris_pygmaea ENSCPGG00000011467
calidris_pugnax ENSCPUG00000007259
manacus_vitellinus ENSMVIG00005012668
lepidothrix_coronata ENSLCOG00000004079
taeniopygia_guttata ENSTGUG00000011758
taeniopygia_guttata ENSTGUG00000011762
lonchura_striata_domestica ENSLSDG00000000074
serinus_canaria ENSSCAG00000001717
junco_hyemalis ENSJHYG00000004983
zonotrichia_albicollis ENSZALG00000004840
parus_major ENSPMJG00000016598
cyanistes_caeruleus ENSCCEG00000015497
cyanistes_caeruleus ENSCCEG00000015496
ficedula_albicollis ENSFALG00000005664
coturnix_japonica ENSCJPG00005015689
coturnix_japonica ENSCJPG00005002257
gallus_gallus ENSGALG00000033320
gallus_gallus ENSGALG00000037051
coturnix_japonica ENSCJPG00005002014
numida_meleagris ENSNMEG00000001755
coturnix_japonica ENSCJPG00005000096
numida_meleagris ENSNMEG00000001704
numida_meleagris ENSNMEG00000001717
latimeria_chalumnae ENSLACG00000004107
scleropages_formosus ENSSFOG00015020720
scleropages_formosus ENSSFOG00015021931
pygocentrus_nattereri ENSPNAG00000024313
ictalurus_punctatus ENSIPUG00000008260
amphilophus_citrinellus ENSACIG00000000517
oreochromis_niloticus ENSONIG00000014887
amphiprion_percula ENSAPEG00000003208
takifugu_rubripes ENSTRUG00000012534
tetraodon_nigroviridis ENSTNIG00000017952
mola_mola ENSMMOG00000008651
labrus_bergylta ENSLBEG00000012259
mastacembelus_armatus ENSMAMG00000008186
monopterus_albus ENSMALG00000005979
anabas_testudineus ENSATEG00000001146
xiphophorus_maculatus ENSXMAG00000000808
poecilia_reticulata ENSPREG00000019072
periophthalmus_magnuspinnatus ENSPMGG00000024014
lepisosteus_oculatus ENSLOCG00000016770
ciona_savignyi ENSCSAVG00000002466
