vulpes_vulpes ENSVVUG00000010668
canis_lupus_familiaris ENSCAFG00000032658
mustela_putorius_furo ENSMPUG00000016752
bos_mutus ENSBMUG00000014869
bison_bison_bison ENSBBBG00000003850
bos_taurus ENSBTAG00000053242
ovis_aries ENSOARG00000003020
sus_scrofa ENSSSCG00000036407
macaca_mulatta ENSMMUG00000046571
prolemur_simus ENSPSMG00000024495
ursus_maritimus ENSUMAG00000003138
neovison_vison ENSNVIG00000024601
panthera_tigris_altaica ENSPTIG00000013283
panthera_pardus ENSPPRG00000013375
felis_catus ENSFCAG00000038766
equus_asinus_asinus ENSEASG00005015999
equus_caballus ENSECAG00000038042
mus_spicilegus ENSMSIG00000024743
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029879
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028840
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022598
rattus_norvegicus ENSRNOG00000042494
meriones_unguiculatus ENSMUGG00000013138
peromyscus_maniculatus_bairdii ENSPEMG00000013047
microtus_ochrogaster ENSMOCG00000002666
cricetulus_griseus_crigri_1.0 ENSCGRG00000015972
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018106
cricetulus_griseus_crigri-picr ENSCGRG00015001316
mesocricetus_auratus ENSMAUG00000017972
nannospalax_galili ENSNGAG00000023205
castor_canadensis ENSCCNG00000008582
spermophilus_dauricus ENSSDAG00000024954
urocitellus_parryii ENSUPAG00010015429
marmota_marmota_marmota ENSMMMG00000010670
ictidomys_tridecemlineatus ENSSTOG00000023434
