mustela_putorius_furo ENSMPUG00000014734
neovison_vison ENSNVIG00000004745
erinaceus_europaeus ENSEEUG00000015685
carlito_syrichta ENSTSYG00000014347
aotus_nancymaae ENSANAG00000030581
canis_lupus_dingo ENSCAFG00020010698
canis_lupus_familiaris ENSCAFG00000008974
vulpes_vulpes ENSVVUG00000024652
ursus_maritimus ENSUMAG00000008688
ursus_americanus ENSUAMG00000011353
ailuropoda_melanoleuca ENSAMEG00000005140
panthera_tigris_altaica ENSPTIG00000017297
panthera_pardus ENSPPRG00000016757
felis_catus ENSFCAG00000041603
pteropus_vampyrus ENSPVAG00000006819
dasypus_novemcinctus ENSDNOG00000037099
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015044
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004398
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010628
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016631
fukomys_damarensis ENSFDAG00000007302
fukomys_damarensis ENSFDAG00000014684
octodon_degus ENSODEG00000002129
octodon_degus ENSODEG00000018609
octodon_degus ENSODEG00000008198
chinchilla_lanigera ENSCLAG00000008708
cavia_aperea ENSCAPG00000016841
cavia_porcellus ENSCPOG00000015620
jaculus_jaculus ENSJJAG00000001501
spermophilus_dauricus ENSSDAG00000024863
propithecus_coquereli ENSPCOG00000016372
myotis_lucifugus ENSMLUG00000014460
erinaceus_europaeus ENSEEUG00000004274
panthera_pardus ENSPPRG00000004857
felis_catus ENSFCAG00000022538
bison_bison_bison ENSBBBG00000019172
bison_bison_bison ENSBBBG00000022729
bos_taurus ENSBTAG00000014805
bos_mutus ENSBMUG00000021422
capra_hircus ENSCHIG00000023652
ovis_aries ENSOARG00000000926
tursiops_truncatus ENSTTRG00000001800
sus_scrofa ENSSSCG00000009246
ursus_maritimus ENSUMAG00000013501
ursus_americanus ENSUAMG00000026559
vicugna_pacos ENSVPAG00000002423
jaculus_jaculus ENSJJAG00000014736
sus_scrofa ENSSSCG00000003012
dasypus_novemcinctus ENSDNOG00000032180
pan_troglodytes ENSPTRG00000051134
pan_paniscus ENSPPAG00000032220
gorilla_gorilla ENSGGOG00000040908
nomascus_leucogenys ENSNLEG00000036105
colobus_angolensis_palliatus ENSCANG00000042111
cebus_capucinus_imitator ENSCCAG00000030810
oryctolagus_cuniculus ENSOCUG00000013812
ochotona_princeps ENSOPRG00000007185
castor_canadensis ENSCCNG00000017518
dipodomys_ordii ENSDORG00000000973
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017227
otolemur_garnettii ENSOGAG00000002502
