parus_major ENSPMJG00000017753
lonchura_striata_domestica ENSLSDG00000015665
cyanistes_caeruleus ENSCCEG00000004866
lepidothrix_coronata ENSLCOG00000002550
calidris_pugnax ENSCPUG00000001543
anser_brachyrhynchus ENSABRG00000017389
apteryx_rowi ENSARWG00000011702
pelodiscus_sinensis ENSPSIG00000018014
apteryx_owenii ENSAOWG00000008690
apteryx_haastii ENSAHAG00000018701
dromaius_novaehollandiae ENSDNVG00000008455
nothoprocta_perdicaria ENSNPEG00000010313
calidris_pygmaea ENSCPGG00000019007
melopsittacus_undulatus ENSMUNG00000007912
anas_platyrhynchos_platyrhynchos ENSAPLG00000027885
junco_hyemalis ENSJHYG00000004536
chrysemys_picta_bellii ENSCPBG00000002239
gopherus_agassizii ENSGAGG00000012140
chelonoidis_abingdonii ENSCABG00000017824
pogona_vitticeps ENSPVIG00000020194
anolis_carolinensis ENSACAG00000011034
notechis_scutatus ENSNSUG00000008768
salvator_merianae ENSSMRG00000017269
sphenodon_punctatus ENSSPUG00000012330
castor_canadensis ENSCCNG00000027119
dipodomys_ordii ENSDORG00000002868
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020368
mus_spicilegus ENSMSIG00000030454
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022090
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019476
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030493
rattus_norvegicus ENSRNOG00000008543
meriones_unguiculatus ENSMUGG00000010558
cricetulus_griseus_crigri_1.0 ENSCGRG00000003490
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018717
peromyscus_maniculatus_bairdii ENSPEMG00000011746
microtus_ochrogaster ENSMOCG00000020649
nannospalax_galili ENSNGAG00000007929
jaculus_jaculus ENSJJAG00000022305
chinchilla_lanigera ENSCLAG00000014272
octodon_degus ENSODEG00000006028
cavia_aperea ENSCAPG00000013689
cavia_porcellus ENSCPOG00000020871
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007806
fukomys_damarensis ENSFDAG00000011071
ictidomys_tridecemlineatus ENSSTOG00000024161
urocitellus_parryii ENSUPAG00010017621
marmota_marmota_marmota ENSMMMG00000014169
spermophilus_dauricus ENSSDAG00000005796
spermophilus_dauricus ENSSDAG00000005787
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017241
