cricetulus_griseus_crigri_1.0 ENSCGRG00000015184
cricetulus_griseus_crigri-picr ENSCGRG00015009397
peromyscus_maniculatus_bairdii ENSPEMG00000024202
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026222
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015151
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027586
fukomys_damarensis ENSFDAG00000011879
ictidomys_tridecemlineatus ENSSTOG00000025756
equus_asinus_asinus ENSEASG00005008430
loxodonta_africana ENSLAFG00000027297
pan_troglodytes ENSPTRG00000013010
pan_paniscus ENSPPAG00000035175
homo_sapiens ENSG00000079263
gorilla_gorilla ENSGGOG00000006936
pongo_abelii ENSPPYG00000013253
nomascus_leucogenys ENSNLEG00000013760
macaca_fascicularis ENSMFAG00000046412
macaca_mulatta ENSMMUG00000012199
macaca_nemestrina ENSMNEG00000034507
theropithecus_gelada ENSTGEG00000017528
papio_anubis ENSPANG00000022785
cercocebus_atys ENSCATG00000034607
mandrillus_leucophaeus ENSMLEG00000010716
chlorocebus_sabaeus ENSCSAG00000006962
rhinopithecus_roxellana ENSRROG00000031738
rhinopithecus_bieti ENSRBIG00000028018
piliocolobus_tephrosceles ENSPTEG00000039798
colobus_angolensis_palliatus ENSCANG00000004704
cebus_capucinus_imitator ENSCCAG00000001669
callithrix_jacchus ENSCJAG00000013289
aotus_nancymaae ENSANAG00000037127
saimiri_boliviensis_boliviensis ENSSBOG00000004092
carlito_syrichta ENSTSYG00000032475
propithecus_coquereli ENSPCOG00000015973
microcebus_murinus ENSMICG00000045363
prolemur_simus ENSPSMG00000017337
otolemur_garnettii ENSOGAG00000030726
tupaia_belangeri ENSTBEG00000011553
castor_canadensis ENSCCNG00000006463
dipodomys_ordii ENSDORG00000025858
nannospalax_galili ENSNGAG00000022915
ictidomys_tridecemlineatus ENSSTOG00000005247
cavia_porcellus ENSCPOG00000010544
octodon_degus ENSODEG00000010013
mandrillus_leucophaeus ENSMLEG00000038497
carlito_syrichta ENSTSYG00000029402
cavia_aperea ENSCAPG00000004719
chinchilla_lanigera ENSCLAG00000012221
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010374
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002868
jaculus_jaculus ENSJJAG00000018998
marmota_marmota_marmota ENSMMMG00000001221
marmota_marmota_marmota ENSMMMG00000001201
urocitellus_parryii ENSUPAG00010004804
urocitellus_parryii ENSUPAG00010004810
spermophilus_dauricus ENSSDAG00000020073
spermophilus_dauricus ENSSDAG00000020111
marmota_marmota_marmota ENSMMMG00000001285
urocitellus_parryii ENSUPAG00010004832
bos_taurus ENSBTAG00000009664
bos_mutus ENSBMUG00000026091
bison_bison_bison ENSBBBG00000006500
capra_hircus ENSCHIG00000023219
ursus_maritimus ENSUMAG00000017114
equus_caballus ENSECAG00000029193
loxodonta_africana ENSLAFG00000028843
loxodonta_africana ENSLAFG00000002297
equus_asinus_asinus ENSEASG00005008426
pteropus_vampyrus ENSPVAG00000005732
ailuropoda_melanoleuca ENSAMEG00000016495
ursus_americanus ENSUAMG00000018358
neovison_vison ENSNVIG00000002397
mustela_putorius_furo ENSMPUG00000004415
canis_lupus_familiaris ENSCAFG00000010704
canis_lupus_dingo ENSCAFG00020022778
vulpes_vulpes ENSVVUG00000025647
panthera_tigris_altaica ENSPTIG00000013126
felis_catus ENSFCAG00000002520
vicugna_pacos ENSVPAG00000011664
sus_scrofa ENSSSCG00000016262
tursiops_truncatus ENSTTRG00000009293
ovis_aries ENSOARG00000020646
bos_mutus ENSBMUG00000026088
bos_taurus ENSBTAG00000047133
bison_bison_bison ENSBBBG00000024753
equus_caballus ENSECAG00000014648
myotis_lucifugus ENSMLUG00000001910
equus_caballus ENSECAG00000022252
equus_asinus_asinus ENSEASG00005008427
pteropus_vampyrus ENSPVAG00000003175
procavia_capensis ENSPCAG00000005793
echinops_telfairi ENSETEG00000017626
erinaceus_europaeus ENSEEUG00000004778
loxodonta_africana ENSLAFG00000002303
choloepus_hoffmanni ENSCHOG00000011697
monodelphis_domestica ENSMODG00000028863
scleropages_formosus ENSSFOG00015017843
