vulpes_vulpes ENSVVUG00000020325
erinaceus_europaeus ENSEEUG00000006381
spermophilus_dauricus ENSSDAG00000005583
marmota_marmota_marmota ENSMMMG00000017531
ictidomys_tridecemlineatus ENSSTOG00000022719
marmota_marmota_marmota ENSMMMG00000019647
ictidomys_tridecemlineatus ENSSTOG00000009780
ictidomys_tridecemlineatus ENSSTOG00000024389
ictidomys_tridecemlineatus ENSSTOG00000022831
marmota_marmota_marmota ENSMMMG00000017529
spermophilus_dauricus ENSSDAG00000005600
spermophilus_dauricus ENSSDAG00000005596
marmota_marmota_marmota ENSMMMG00000019662
ictidomys_tridecemlineatus ENSSTOG00000029119
urocitellus_parryii ENSUPAG00010021736
ictidomys_tridecemlineatus ENSSTOG00000026862
marmota_marmota_marmota ENSMMMG00000019636
ictidomys_tridecemlineatus ENSSTOG00000028407
marmota_marmota_marmota ENSMMMG00000017528
ictidomys_tridecemlineatus ENSSTOG00000009675
spermophilus_dauricus ENSSDAG00000000132
urocitellus_parryii ENSUPAG00010021725
ictidomys_tridecemlineatus ENSSTOG00000020408
castor_canadensis ENSCCNG00000012086
cricetulus_griseus_crigri-picr ENSCGRG00015021325
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005299
cricetulus_griseus_crigri_1.0 ENSCGRG00000019912
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003751
cricetulus_griseus_crigri_1.0 ENSCGRG00000008500
peromyscus_maniculatus_bairdii ENSPEMG00000029609
cricetulus_griseus_crigri_1.0 ENSCGRG00000012781
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021500
cricetulus_griseus_crigri-picr ENSCGRG00015021349
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006153
cricetulus_griseus_crigri-picr ENSCGRG00015021329
cricetulus_griseus_crigri-picr ENSCGRG00015021287
cricetulus_griseus_crigri_1.0 ENSCGRG00000018902
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011982
cricetulus_griseus_crigri-picr ENSCGRG00015021307
cricetulus_griseus_crigri_1.0 ENSCGRG00000019876
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003094
cricetulus_griseus_crigri-picr ENSCGRG00015021319
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007199
cricetulus_griseus_crigri_1.0 ENSCGRG00000019437
mesocricetus_auratus ENSMAUG00000003907
mesocricetus_auratus ENSMAUG00000001800
peromyscus_maniculatus_bairdii ENSPEMG00000024574
peromyscus_maniculatus_bairdii ENSPEMG00000025636
peromyscus_maniculatus_bairdii ENSPEMG00000024787
peromyscus_maniculatus_bairdii ENSPEMG00000027149
mus_spicilegus ENSMSIG00000005031
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000095312
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017538
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016698
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017833
rattus_norvegicus ENSRNOG00000061453
rattus_norvegicus ENSRNOG00000050809
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000072709
mus_spicilegus ENSMSIG00000029588
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017536
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017537
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000072708
mus_spicilegus ENSMSIG00000005041
rattus_norvegicus ENSRNOG00000060650
rattus_norvegicus ENSRNOG00000053411
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000095095
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016699
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017539
rattus_norvegicus ENSRNOG00000055055
rattus_norvegicus ENSRNOG00000029537
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000060335
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016700
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017540
mus_spicilegus ENSMSIG00000022644
rattus_norvegicus ENSRNOG00000046651
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0009405
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0008944
rattus_norvegicus ENSRNOG00000054729
rattus_norvegicus ENSRNOG00000050244
rattus_norvegicus ENSRNOG00000057831
cricetulus_griseus_crigri-picr ENSCGRG00015021271
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009698
cricetulus_griseus_crigri_1.0 ENSCGRG00000019356
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018632
cricetulus_griseus_crigri-picr ENSCGRG00015021258
cricetulus_griseus_crigri_1.0 ENSCGRG00000007057
peromyscus_maniculatus_bairdii ENSPEMG00000026192
cricetulus_griseus_crigri_1.0 ENSCGRG00000009589
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022914
cricetulus_griseus_crigri-picr ENSCGRG00015021303
cricetulus_griseus_crigri_1.0 ENSCGRG00000019181
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003658
cricetulus_griseus_crigri-picr ENSCGRG00015021279
cricetulus_griseus_crigri_1.0 ENSCGRG00000019767
cricetulus_griseus_crigri-picr ENSCGRG00015021276
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010909
peromyscus_maniculatus_bairdii ENSPEMG00000024637
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014836
cricetulus_griseus_crigri-picr ENSCGRG00015021268
cricetulus_griseus_crigri_1.0 ENSCGRG00000011686
mesocricetus_auratus ENSMAUG00000008989
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009436
cricetulus_griseus_crigri_1.0 ENSCGRG00000019004
cricetulus_griseus_crigri-picr ENSCGRG00015021262
mesocricetus_auratus ENSMAUG00000010453
mus_spicilegus ENSMSIG00000022719
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000094488
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017546
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016703
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017837
rattus_norvegicus ENSRNOG00000061111
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017547
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000056921
mus_spicilegus ENSMSIG00000022730
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016704
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017839
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017838
mus_spicilegus ENSMSIG00000022700
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017544
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070382
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017835
rattus_norvegicus ENSRNOG00000048257
rattus_norvegicus ENSRNOG00000056846
mus_spicilegus ENSMSIG00000005086
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017548
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000062186
mus_spicilegus ENSMSIG00000022756
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016705
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017840
mus_spicilegus ENSMSIG00000022674
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070383
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016701
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017542
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017834
rattus_norvegicus ENSRNOG00000045754
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016702
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000061984
mus_spicilegus ENSMSIG00000022708
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017545
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017836
rattus_norvegicus ENSRNOG00000055339
meriones_unguiculatus ENSMUGG00000014684
nannospalax_galili ENSNGAG00000012325
cricetulus_griseus_crigri-picr ENSCGRG00015021296
cricetulus_griseus_crigri-picr ENSCGRG00015021308
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010549
cricetulus_griseus_crigri_1.0 ENSCGRG00000019620
mesocricetus_auratus ENSMAUG00000010232
microtus_ochrogaster ENSMOCG00000002518
peromyscus_maniculatus_bairdii ENSPEMG00000025868
peromyscus_maniculatus_bairdii ENSPEMG00000030158
mus_spicilegus ENSMSIG00000011654
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0009403
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0008416
rattus_norvegicus ENSRNOG00000052919
microtus_ochrogaster ENSMOCG00000002550
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0008418
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017841
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0008419
mus_spicilegus ENSMSIG00000022766
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000108605
