seriola_lalandi_dorsalis ENSSLDG00000015354
seriola_dumerili ENSSDUG00000010232
scophthalmus_maximus ENSSMAG00000008251
oryzias_latipes_asm223471v1 ENSORLG00020013416
oryzias_latipes_asm223467v1 ENSORLG00000026158
oryzias_latipes_asm223469v1 ENSORLG00015009335
oryzias_melastigma ENSOMEG00000005280
poecilia_mexicana ENSPMEG00000018681
poecilia_latipinna ENSPLAG00000007900
poecilia_reticulata ENSPREG00000006664
gambusia_affinis ENSGAFG00000007512
fundulus_heteroclitus ENSFHEG00000016802
maylandia_zebra ENSMZEG00005006697
astatotilapia_calliptera ENSACLG00000010512
pundamilia_nyererei ENSPNYG00000001655
haplochromis_burtoni ENSHBUG00000018114
neolamprologus_brichardi ENSNBRG00000004372
amphilophus_citrinellus ENSACIG00000000644
amphiprion_ocellaris ENSAOCG00000024418
amphiprion_percula ENSAPEG00000004474
acanthochromis_polyacanthus ENSAPOG00000014946
stegastes_partitus ENSSPAG00000002289
labrus_bergylta ENSLBEG00000008498
periophthalmus_magnuspinnatus ENSPMGG00000009353
oryzias_latipes_asm223469v1 ENSORLG00015006356
oryzias_latipes_asm223467v1 ENSORLG00000027837
oryzias_latipes_asm223471v1 ENSORLG00020006644
oryzias_melastigma ENSOMEG00000009450
kryptolebias_marmoratus ENSKMAG00000003041
gambusia_affinis ENSGAFG00000021478
acanthochromis_polyacanthus ENSAPOG00000013730
hippocampus_comes ENSHCOG00000017823
scophthalmus_maximus ENSSMAG00000008780
esox_lucius ENSELUG00000023612
danio_rerio ENSDARG00000114516
pygocentrus_nattereri ENSPNAG00000016890
