loxodonta_africana ENSLAFG00000014495
procavia_capensis ENSPCAG00000002632
choloepus_hoffmanni ENSCHOG00000000947
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000033781
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019045
mus_spicilegus ENSMSIG00000032212
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018193
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019241
rattus_norvegicus ENSRNOG00000017967
meriones_unguiculatus ENSMUGG00000007977
peromyscus_maniculatus_bairdii ENSPEMG00000023155
microtus_ochrogaster ENSMOCG00000015346
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017161
cricetulus_griseus_crigri_1.0 ENSCGRG00000006706
cricetulus_griseus_crigri-picr ENSCGRG00015015763
jaculus_jaculus ENSJJAG00000013652
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015671
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017145
fukomys_damarensis ENSFDAG00000014658
chinchilla_lanigera ENSCLAG00000006056
octodon_degus ENSODEG00000004057
cavia_porcellus ENSCPOG00000037175
cavia_aperea ENSCAPG00000005359
castor_canadensis ENSCCNG00000000796
dipodomys_ordii ENSDORG00000007528
urocitellus_parryii ENSUPAG00010021840
spermophilus_dauricus ENSSDAG00000002076
ictidomys_tridecemlineatus ENSSTOG00000006417
marmota_marmota_marmota ENSMMMG00000014428
ochotona_princeps ENSOPRG00000005567
oryctolagus_cuniculus ENSOCUG00000015921
tupaia_belangeri ENSTBEG00000010548
equus_caballus ENSECAG00000016117
equus_asinus_asinus ENSEASG00005019178
pteropus_vampyrus ENSPVAG00000006224
ursus_maritimus ENSUMAG00000012152
ursus_americanus ENSUAMG00000007255
ailuropoda_melanoleuca ENSAMEG00000001949
neovison_vison ENSNVIG00000009868
canis_lupus_dingo ENSCAFG00020005185
canis_lupus_familiaris ENSCAFG00000005233
vulpes_vulpes ENSVVUG00000007043
panthera_tigris_altaica ENSPTIG00000017278
panthera_pardus ENSPPRG00000006663
felis_catus ENSFCAG00000026019
erinaceus_europaeus ENSEEUG00000012566
bos_mutus ENSBMUG00000007108
bos_taurus ENSBTAG00000018805
bison_bison_bison ENSBBBG00000022092
ovis_aries ENSOARG00000008700
capra_hircus ENSCHIG00000022650
tursiops_truncatus ENSTTRG00000003478
sus_scrofa ENSSSCG00000011145
propithecus_coquereli ENSPCOG00000006636
prolemur_simus ENSPSMG00000009341
otolemur_garnettii ENSOGAG00000027929
gorilla_gorilla ENSGGOG00000000473
homo_sapiens ENSG00000196372
pan_troglodytes ENSPTRG00000022895
pan_paniscus ENSPPAG00000039134
pongo_abelii ENSPPYG00000002060
nomascus_leucogenys ENSNLEG00000011408
theropithecus_gelada ENSTGEG00000023892
papio_anubis ENSPANG00000035569
cercocebus_atys ENSCATG00000043486
mandrillus_leucophaeus ENSMLEG00000030754
macaca_nemestrina ENSMNEG00000037265
macaca_mulatta ENSMMUG00000001290
macaca_fascicularis ENSMFAG00000000727
chlorocebus_sabaeus ENSCSAG00000013675
rhinopithecus_roxellana ENSRROG00000000092
