mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017196
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016354
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000018916
mus_spicilegus ENSMSIG00000005105
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017489
rattus_norvegicus ENSRNOG00000026805
meriones_unguiculatus ENSMUGG00000025045
microtus_ochrogaster ENSMOCG00000018945
peromyscus_maniculatus_bairdii ENSPEMG00000020530
cricetulus_griseus_crigri-picr ENSCGRG00015023620
cricetulus_griseus_crigri_1.0 ENSCGRG00000010073
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023837
mesocricetus_auratus ENSMAUG00000009251
nannospalax_galili ENSNGAG00000017289
jaculus_jaculus ENSJJAG00000019419
urocitellus_parryii ENSUPAG00010016220
ictidomys_tridecemlineatus ENSSTOG00000013989
spermophilus_dauricus ENSSDAG00000020714
spermophilus_dauricus ENSSDAG00000020723
marmota_marmota_marmota ENSMMMG00000015682
otolemur_garnettii ENSOGAG00000010462
dipodomys_ordii ENSDORG00000001889
castor_canadensis ENSCCNG00000009950
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000216
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017379
fukomys_damarensis ENSFDAG00000009971
chinchilla_lanigera ENSCLAG00000014543
octodon_degus ENSODEG00000009473
cavia_aperea ENSCAPG00000008892
cavia_porcellus ENSCPOG00000014074
oryctolagus_cuniculus ENSOCUG00000003433
homo_sapiens ENSG00000164400
gorilla_gorilla ENSGGOG00000001046
pan_paniscus ENSPPAG00000041208
pan_troglodytes ENSPTRG00000017212
pongo_abelii ENSPPYG00000015754
nomascus_leucogenys ENSNLEG00000012626
cercocebus_atys ENSCATG00000042168
macaca_nemestrina ENSMNEG00000037130
macaca_mulatta ENSMMUG00000016915
macaca_fascicularis ENSMFAG00000024344
chlorocebus_sabaeus ENSCSAG00000013872
theropithecus_gelada ENSTGEG00000018549
papio_anubis ENSPANG00000010837
mandrillus_leucophaeus ENSMLEG00000037348
piliocolobus_tephrosceles ENSPTEG00000002419
colobus_angolensis_palliatus ENSCANG00000029468
rhinopithecus_bieti ENSRBIG00000037698
rhinopithecus_roxellana ENSRROG00000042074
callithrix_jacchus ENSCJAG00000012924
saimiri_boliviensis_boliviensis ENSSBOG00000018675
cebus_capucinus_imitator ENSCCAG00000034506
aotus_nancymaae ENSANAG00000020243
carlito_syrichta ENSTSYG00000008725
prolemur_simus ENSPSMG00000022830
propithecus_coquereli ENSPCOG00000016576
microcebus_murinus ENSMICG00000031976
tupaia_belangeri ENSTBEG00000001737
ailuropoda_melanoleuca ENSAMEG00000017659
ursus_americanus ENSUAMG00000007064
neovison_vison ENSNVIG00000018231
ursus_maritimus ENSUMAG00000006873
mustela_putorius_furo ENSMPUG00000011534
canis_lupus_familiaris ENSCAFG00000000820
canis_lupus_dingo ENSCAFG00020014258
vulpes_vulpes ENSVVUG00000024639
panthera_tigris_altaica ENSPTIG00000009157
panthera_pardus ENSPPRG00000004277
felis_catus ENSFCAG00000003852
equus_asinus_asinus ENSEASG00005016288
equus_caballus ENSECAG00000009678
pteropus_vampyrus ENSPVAG00000009118
myotis_lucifugus ENSMLUG00000015052
ovis_aries ENSOARG00000015430
capra_hircus ENSCHIG00000027268
bos_mutus ENSBMUG00000014799
bos_taurus ENSBTAG00000001570
bison_bison_bison ENSBBBG00000012729
tursiops_truncatus ENSTTRG00000006979
sus_scrofa ENSSSCG00000023737
sorex_araneus ENSSARG00000008054
erinaceus_europaeus ENSEEUG00000013010
loxodonta_africana ENSLAFG00000017283
procavia_capensis ENSPCAG00000011735
dasypus_novemcinctus ENSDNOG00000000780
