rhinopithecus_bieti ENSRBIG00000032189
rhinopithecus_roxellana ENSRROG00000031073
colobus_angolensis_palliatus ENSCANG00000036189
piliocolobus_tephrosceles ENSPTEG00000020228
mandrillus_leucophaeus ENSMLEG00000031296
cercocebus_atys ENSCATG00000030897
theropithecus_gelada ENSTGEG00000003939
papio_anubis ENSPANG00000008437
macaca_fascicularis ENSMFAG00000039438
macaca_mulatta ENSMMUG00000029108
macaca_nemestrina ENSMNEG00000038140
chlorocebus_sabaeus ENSCSAG00000004657
pan_paniscus ENSPPAG00000027683
pan_troglodytes ENSPTRG00000008195
homo_sapiens ENSG00000089505
homo_sapiens ENSG00000254788
gorilla_gorilla ENSGGOG00000022030
nomascus_leucogenys ENSNLEG00000003970
saimiri_boliviensis_boliviensis ENSSBOG00000024559
cebus_capucinus_imitator ENSCCAG00000035014
callithrix_jacchus ENSCJAG00000016841
aotus_nancymaae ENSANAG00000032547
carlito_syrichta ENSTSYG00000014769
propithecus_coquereli ENSPCOG00000005668
microcebus_murinus ENSMICG00000047605
tupaia_belangeri ENSTBEG00000011722
canis_lupus_familiaris ENSCAFG00000032702
canis_lupus_dingo ENSCAFG00020017460
vulpes_vulpes ENSVVUG00000006779
neovison_vison ENSNVIG00000011266
ursus_maritimus ENSUMAG00000021113
ursus_americanus ENSUAMG00000018946
ailuropoda_melanoleuca ENSAMEG00000017010
equus_caballus ENSECAG00000028022
equus_asinus_asinus ENSEASG00005010878
erinaceus_europaeus ENSEEUG00000013621
bos_mutus ENSBMUG00000005220
bos_taurus ENSBTAG00000054627
bison_bison_bison ENSBBBG00000014390
sus_scrofa ENSSSCG00000035857
tursiops_truncatus ENSTTRG00000011054
pteropus_vampyrus ENSPVAG00000000189
myotis_lucifugus ENSMLUG00000030459
cricetulus_griseus_crigri-picr ENSCGRG00015003909
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018415
peromyscus_maniculatus_bairdii ENSPEMG00000026503
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031876
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000110430
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032560
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031443
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023040
rattus_norvegicus ENSRNOG00000057711
castor_canadensis ENSCCNG00000018044
marmota_marmota_marmota ENSMMMG00000008786
spermophilus_dauricus ENSSDAG00000015167
urocitellus_parryii ENSUPAG00010021429
oryctolagus_cuniculus ENSOCUG00000026523
sorex_araneus ENSSARG00000012581
choloepus_hoffmanni ENSCHOG00000004569
dasypus_novemcinctus ENSDNOG00000034923
procavia_capensis ENSPCAG00000010288
echinops_telfairi ENSETEG00000003437
