peromyscus_maniculatus_bairdii ENSPEMG00000013256
microtus_ochrogaster ENSMOCG00000003110
cricetulus_griseus_crigri-picr ENSCGRG00015000620
cricetulus_griseus_crigri_1.0 ENSCGRG00000019908
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016027
mesocricetus_auratus ENSMAUG00000020522
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043298
mus_spicilegus ENSMSIG00000018114
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030051
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022764
rattus_norvegicus ENSRNOG00000048722
rattus_norvegicus ENSRNOG00000046844
rattus_norvegicus ENSRNOG00000050031
rattus_norvegicus ENSRNOG00000047561
rattus_norvegicus ENSRNOG00000048926
nannospalax_galili ENSNGAG00000011783
jaculus_jaculus ENSJJAG00000013764
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001599
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016997
fukomys_damarensis ENSFDAG00000009012
chinchilla_lanigera ENSCLAG00000016471
cavia_porcellus ENSCPOG00000036526
octodon_degus ENSODEG00000019767
spermophilus_dauricus ENSSDAG00000008727
spermophilus_dauricus ENSSDAG00000008730
ictidomys_tridecemlineatus ENSSTOG00000021116
urocitellus_parryii ENSUPAG00010001802
marmota_marmota_marmota ENSMMMG00000016295
castor_canadensis ENSCCNG00000018479
oryctolagus_cuniculus ENSOCUG00000023339
prolemur_simus ENSPSMG00000009577
otolemur_garnettii ENSOGAG00000027757
pan_troglodytes ENSPTRG00000043214
pan_paniscus ENSPPAG00000026259
homo_sapiens ENSG00000179256
gorilla_gorilla ENSGGOG00000036948
pongo_abelii ENSPPYG00000004324
nomascus_leucogenys ENSNLEG00000033132
theropithecus_gelada ENSTGEG00000022871
papio_anubis ENSPANG00000006587
cercocebus_atys ENSCATG00000020998
mandrillus_leucophaeus ENSMLEG00000011189
macaca_fascicularis ENSMFAG00000038961
macaca_nemestrina ENSMNEG00000012628
macaca_mulatta ENSMMUG00000019298
chlorocebus_sabaeus ENSCSAG00000019240
colobus_angolensis_palliatus ENSCANG00000002893
piliocolobus_tephrosceles ENSPTEG00000016345
cebus_capucinus_imitator ENSCCAG00000017732
saimiri_boliviensis_boliviensis ENSSBOG00000018815
callithrix_jacchus ENSCJAG00000040937
aotus_nancymaae ENSANAG00000001545
pteropus_vampyrus ENSPVAG00000013307
myotis_lucifugus ENSMLUG00000025842
equus_asinus_asinus ENSEASG00005014620
equus_caballus ENSECAG00000008853
ovis_aries ENSOARG00000020256
capra_hircus ENSCHIG00000006548
bos_taurus ENSBTAG00000026610
bos_mutus ENSBMUG00000000633
bison_bison_bison ENSBBBG00000021873
tursiops_truncatus ENSTTRG00000007363
vicugna_pacos ENSVPAG00000002434
sus_scrofa ENSSSCG00000000610
ursus_maritimus ENSUMAG00000002638
ursus_americanus ENSUAMG00000003242
ailuropoda_melanoleuca ENSAMEG00000019965
neovison_vison ENSNVIG00000021677
canis_lupus_familiaris ENSCAFG00000012980
canis_lupus_dingo ENSCAFG00020007004
vulpes_vulpes ENSVVUG00000004422
vulpes_vulpes ENSVVUG00000017510
canis_lupus_dingo ENSCAFG00020017845
panthera_pardus ENSPPRG00000015110
panthera_tigris_altaica ENSPTIG00000009458
felis_catus ENSFCAG00000016321
choloepus_hoffmanni ENSCHOG00000000220
loxodonta_africana ENSLAFG00000020796
notamacropus_eugenii ENSMEUG00000013993
phascolarctos_cinereus ENSPCIG00000020606
sarcophilus_harrisii ENSSHAG00000016626
monodelphis_domestica ENSMODG00000024869
lepidothrix_coronata ENSLCOG00000008821
manacus_vitellinus ENSMVIG00005001166
cyanistes_caeruleus ENSCCEG00000004989
parus_major ENSPMJG00000000159
ficedula_albicollis ENSFALG00000014856
taeniopygia_guttata ENSTGUG00000009248
lonchura_striata_domestica ENSLSDG00000002043
serinus_canaria ENSSCAG00000006501
junco_hyemalis ENSJHYG00000013166
zonotrichia_albicollis ENSZALG00000010771
melopsittacus_undulatus ENSMUNG00000014480
calidris_pugnax ENSCPUG00000001424
calidris_pygmaea ENSCPGG00000002424
anser_brachyrhynchus ENSABRG00000000887
anas_platyrhynchos_platyrhynchos ENSAPLG00000017730
gallus_gallus ENSGALG00000011743
coturnix_japonica ENSCJPG00005008397
meleagris_gallopavo ENSMGAG00000011828
numida_meleagris ENSNMEG00000011064
apteryx_haastii ENSAHAG00000002824
apteryx_owenii ENSAOWG00000017741
apteryx_rowi ENSARWG00000016447
dromaius_novaehollandiae ENSDNVG00000006039
nothoprocta_perdicaria ENSNPEG00000008316
crocodylus_porosus ENSCPRG00005001273
gopherus_agassizii ENSGAGG00000010408
chelonoidis_abingdonii ENSCABG00000006875
chrysemys_picta_bellii ENSCPBG00000005888
pelodiscus_sinensis ENSPSIG00000001390
pogona_vitticeps ENSPVIG00000024790
anolis_carolinensis ENSACAG00000010786
sphenodon_punctatus ENSSPUG00000004896
chrysemys_picta_bellii ENSCPBG00000016198
chrysemys_picta_bellii ENSCPBG00000002184
chrysemys_picta_bellii ENSCPBG00000005886
chrysemys_picta_bellii ENSCPBG00000017308
chelonoidis_abingdonii ENSCABG00000023057
chelonoidis_abingdonii ENSCABG00000014928
chelonoidis_abingdonii ENSCABG00000008620
chelonoidis_abingdonii ENSCABG00000014930
gopherus_agassizii ENSGAGG00000006447
pelodiscus_sinensis ENSPSIG00000000974
lepisosteus_oculatus ENSLOCG00000018191
