macaca_fascicularis ENSMFAG00000035823
cercocebus_atys ENSCATG00000033111
papio_anubis ENSPANG00000003080
theropithecus_gelada ENSTGEG00000024168
rhinopithecus_bieti ENSRBIG00000015081
rhinopithecus_roxellana ENSRROG00000042791
colobus_angolensis_palliatus ENSCANG00000009606
piliocolobus_tephrosceles ENSPTEG00000031284
gorilla_gorilla ENSGGOG00000006909
pan_troglodytes ENSPTRG00000017299
pongo_abelii ENSPPYG00000015840
tupaia_belangeri ENSTBEG00000007468
tursiops_truncatus ENSTTRG00000003754
vicugna_pacos ENSVPAG00000006341
pteropus_vampyrus ENSPVAG00000015435
myotis_lucifugus ENSMLUG00000003034
bos_mutus ENSBMUG00000014481
ailuropoda_melanoleuca ENSAMEG00000011280
loxodonta_africana ENSLAFG00000009960
procavia_capensis ENSPCAG00000007034
notamacropus_eugenii ENSMEUG00000005626
