propithecus_coquereli ENSPCOG00000022571
microcebus_murinus ENSMICG00000014827
pan_troglodytes ENSPTRG00000004022
pan_paniscus ENSPPAG00000037702
gorilla_gorilla ENSGGOG00000016963
pongo_abelii ENSPPYG00000003641
nomascus_leucogenys ENSNLEG00000017257
theropithecus_gelada ENSTGEG00000024728
papio_anubis ENSPANG00000017476
cercocebus_atys ENSCATG00000036233
mandrillus_leucophaeus ENSMLEG00000032241
macaca_fascicularis ENSMFAG00000007235
macaca_nemestrina ENSMNEG00000036751
macaca_mulatta ENSMMUG00000007340
chlorocebus_sabaeus ENSCSAG00000004202
rhinopithecus_roxellana ENSRROG00000036271
rhinopithecus_bieti ENSRBIG00000037256
colobus_angolensis_palliatus ENSCANG00000029979
homo_sapiens ENSG00000137496
piliocolobus_tephrosceles ENSPTEG00000018427
callithrix_jacchus ENSCJAG00000015324
cebus_capucinus_imitator ENSCCAG00000029744
saimiri_boliviensis_boliviensis ENSSBOG00000033231
aotus_nancymaae ENSANAG00000020709
oryctolagus_cuniculus ENSOCUG00000012326
ochotona_princeps ENSOPRG00000014287
tupaia_belangeri ENSTBEG00000016107
spermophilus_dauricus ENSSDAG00000021448
ictidomys_tridecemlineatus ENSSTOG00000033761
urocitellus_parryii ENSUPAG00010019545
marmota_marmota_marmota ENSMMMG00000012171
castor_canadensis ENSCCNG00000030178
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018624
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003455
fukomys_damarensis ENSFDAG00000021520
cavia_aperea ENSCAPG00000007879
cavia_porcellus ENSCPOG00000005646
chinchilla_lanigera ENSCLAG00000016974
octodon_degus ENSODEG00000010200
mesocricetus_auratus ENSMAUG00000018941
cricetulus_griseus_crigri_1.0 ENSCGRG00000008519
microtus_ochrogaster ENSMOCG00000013050
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031185
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070427
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030074
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013295
rattus_norvegicus ENSRNOG00000020150
peromyscus_maniculatus_bairdii ENSPEMG00000014508
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013762
meriones_unguiculatus ENSMUGG00000006057
mus_spicilegus ENSMSIG00000028554
nannospalax_galili ENSNGAG00000013129
prolemur_simus ENSPSMG00000013284
carlito_syrichta ENSTSYG00000034181
dipodomys_ordii ENSDORG00000028634
erinaceus_europaeus ENSEEUG00000003790
echinops_telfairi ENSETEG00000006920
dasypus_novemcinctus ENSDNOG00000040104
loxodonta_africana ENSLAFG00000027369
pteropus_vampyrus ENSPVAG00000015789
myotis_lucifugus ENSMLUG00000029213
equus_caballus ENSECAG00000010231
equus_asinus_asinus ENSEASG00005000642
ursus_americanus ENSUAMG00000027340
ursus_maritimus ENSUMAG00000007047
ailuropoda_melanoleuca ENSAMEG00000010904
mustela_putorius_furo ENSMPUG00000010336
neovison_vison ENSNVIG00000019730
canis_lupus_dingo ENSCAFG00020004928
canis_lupus_familiaris ENSCAFG00000005829
vulpes_vulpes ENSVVUG00000025635
panthera_tigris_altaica ENSPTIG00000017522
panthera_pardus ENSPPRG00000000197
felis_catus ENSFCAG00000040011
capra_hircus ENSCHIG00000011992
ovis_aries ENSOARG00000003484
bos_mutus ENSBMUG00000026354
bos_taurus ENSBTAG00000027676
bison_bison_bison ENSBBBG00000012868
tursiops_truncatus ENSTTRG00000003934
sus_scrofa ENSSSCG00000023796
vicugna_pacos ENSVPAG00000008020
sarcophilus_harrisii ENSSHAG00000005580
phascolarctos_cinereus ENSPCIG00000021598
ornithorhynchus_anatinus ENSOANG00000021023
