anas_platyrhynchos_platyrhynchos ENSAPLG00000017924
meleagris_gallopavo ENSMGAG00000014141
serinus_canaria ENSSCAG00000003218
taeniopygia_guttata ENSTGUG00000015088
cyanistes_caeruleus ENSCCEG00000020229
ficedula_albicollis ENSFALG00000003620
manacus_vitellinus ENSMVIG00005018331
lonchura_striata_domestica ENSLSDG00000001638
junco_hyemalis ENSJHYG00000008218
anser_brachyrhynchus ENSABRG00000019356
nothoprocta_perdicaria ENSNPEG00000008435
apteryx_haastii ENSAHAG00000013029
numida_meleagris ENSNMEG00000007640
pelodiscus_sinensis ENSPSIG00000011583
anolis_carolinensis ENSACAG00000011446
pogona_vitticeps ENSPVIG00000010493
ornithorhynchus_anatinus ENSOANG00000007077
xenopus_tropicalis ENSXETG00000030926
latimeria_chalumnae ENSLACG00000011131
scleropages_formosus ENSSFOG00015017694
paramormyrops_kingsleyae ENSPKIG00000004100
paramormyrops_kingsleyae ENSPKIG00000005689
scleropages_formosus ENSSFOG00015020337
mastacembelus_armatus ENSMAMG00000019905
monopterus_albus ENSMALG00000010032
gasterosteus_aculeatus ENSGACG00000009530
poecilia_formosa ENSPFOG00000000783
poecilia_latipinna ENSPLAG00000002237
poecilia_reticulata ENSPREG00000021110
xiphophorus_maculatus ENSXMAG00000001233
xiphophorus_couchianus ENSXCOG00000019177
gambusia_affinis ENSGAFG00000002410
cyprinodon_variegatus ENSCVAG00000002371
fundulus_heteroclitus ENSFHEG00000012361
kryptolebias_marmoratus ENSKMAG00000008298
oryzias_latipes_asm223471v1 ENSORLG00020014050
oryzias_latipes_asm223469v1 ENSORLG00015007387
oryzias_melastigma ENSOMEG00000013011
maylandia_zebra ENSMZEG00005027075
haplochromis_burtoni ENSHBUG00000005575
pundamilia_nyererei ENSPNYG00000023714
astatotilapia_calliptera ENSACLG00000012922
oreochromis_niloticus ENSONIG00000007236
amphiprion_percula ENSAPEG00000010721
stegastes_partitus ENSSPAG00000022194
oryzias_latipes_asm223467v1 ENSORLG00000000631
amphilophus_citrinellus ENSACIG00000010975
anabas_testudineus ENSATEG00000013654
labrus_bergylta ENSLBEG00000024575
seriola_lalandi_dorsalis ENSSLDG00000019391
seriola_dumerili ENSSDUG00000014010
gadus_morhua ENSGMOG00000009664
esox_lucius ENSELUG00000018221
astyanax_mexicanus ENSAMXG00000011865
pygocentrus_nattereri ENSPNAG00000025527
takifugu_rubripes ENSTRUG00000013428
tetraodon_nigroviridis ENSTNIG00000016374
mola_mola ENSMMOG00000015854
labrus_bergylta ENSLBEG00000012058
mastacembelus_armatus ENSMAMG00000020556
monopterus_albus ENSMALG00000004620
anabas_testudineus ENSATEG00000009730
seriola_dumerili ENSSDUG00000016046
seriola_lalandi_dorsalis ENSSLDG00000006930
scophthalmus_maximus ENSSMAG00000012973
cynoglossus_semilaevis ENSCSEG00000020554
periophthalmus_magnuspinnatus ENSPMGG00000017072
amphiprion_ocellaris ENSAOCG00000002638
amphiprion_percula ENSAPEG00000003766
acanthochromis_polyacanthus ENSAPOG00000003897
stegastes_partitus ENSSPAG00000020487
haplochromis_burtoni ENSHBUG00000011150
astatotilapia_calliptera ENSACLG00000014541
maylandia_zebra ENSMZEG00005016750
pundamilia_nyererei ENSPNYG00000009021
neolamprologus_brichardi ENSNBRG00000017925
oreochromis_niloticus ENSONIG00000013537
amphilophus_citrinellus ENSACIG00000005130
fundulus_heteroclitus ENSFHEG00000000050
cyprinodon_variegatus ENSCVAG00000022220
xiphophorus_couchianus ENSXCOG00000004717
xiphophorus_maculatus ENSXMAG00000003752
gambusia_affinis ENSGAFG00000010140
poecilia_formosa ENSPFOG00000004737
poecilia_latipinna ENSPLAG00000020285
poecilia_mexicana ENSPMEG00000001033
poecilia_reticulata ENSPREG00000000624
kryptolebias_marmoratus ENSKMAG00000012063
oryzias_latipes_asm223471v1 ENSORLG00020001476
oryzias_latipes_asm223469v1 ENSORLG00015018839
oryzias_latipes_asm223467v1 ENSORLG00000017323
oryzias_melastigma ENSOMEG00000018791
gasterosteus_aculeatus ENSGACG00000010188
hippocampus_comes ENSHCOG00000011121
gadus_morhua ENSGMOG00000013023
esox_lucius ENSELUG00000014548
astyanax_mexicanus ENSAMXG00000006528
pygocentrus_nattereri ENSPNAG00000013609
ictalurus_punctatus ENSIPUG00000020553
danio_rerio ENSDARG00000069305
lepisosteus_oculatus ENSLOCG00000016685
