felis_catus ENSFCAG00000033851
bos_taurus ENSBTAG00000051796
cricetulus_griseus_crigri-picr ENSCGRG00015017510
cricetulus_griseus_crigri-picr ENSCGRG00015009572
cricetulus_griseus_crigri-picr ENSCGRG00015006524
spermophilus_dauricus ENSSDAG00000022498
macaca_fascicularis ENSMFAG00000046103
macaca_nemestrina ENSMNEG00000042433
cercocebus_atys ENSCATG00000029225
papio_anubis ENSPANG00000032655
mandrillus_leucophaeus ENSMLEG00000036287
gorilla_gorilla ENSGGOG00000038088
saimiri_boliviensis_boliviensis ENSSBOG00000026262
aotus_nancymaae ENSANAG00000026476
pan_paniscus ENSPPAG00000030655
pan_troglodytes ENSPTRG00000050261
theropithecus_gelada ENSTGEG00000000155
papio_anubis ENSPANG00000030398
microcebus_murinus ENSMICG00000038081
propithecus_coquereli ENSPCOG00000017944
