heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013378
fukomys_damarensis ENSFDAG00000016999
octodon_degus ENSODEG00000005183
rattus_norvegicus ENSRNOG00000038883
microcebus_murinus ENSMICG00000013442
macaca_fascicularis ENSMFAG00000037757
macaca_mulatta ENSMMUG00000048943
equus_caballus ENSECAG00000000406
ursus_americanus ENSUAMG00000014124
vicugna_pacos ENSVPAG00000011408
sarcophilus_harrisii ENSSHAG00000003878
gadus_morhua ENSGMOG00000000101
petromyzon_marinus ENSPMAG00000009693
ciona_intestinalis ENSCING00000020052
ciona_savignyi ENSCSAVG00000008688
