serinus_canaria ENSSCAG00000003518
pogona_vitticeps ENSPVIG00000006382
cavia_porcellus ENSCPOG00000003558
cavia_aperea ENSCAPG00000006294
fukomys_damarensis ENSFDAG00000012904
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001637
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007326
chinchilla_lanigera ENSCLAG00000006842
octodon_degus ENSODEG00000006602
ictidomys_tridecemlineatus ENSSTOG00000008396
urocitellus_parryii ENSUPAG00010016605
castor_canadensis ENSCCNG00000022014
dipodomys_ordii ENSDORG00000028266
oryctolagus_cuniculus ENSOCUG00000017248
ochotona_princeps ENSOPRG00000004033
pongo_abelii ENSPPYG00000001382
vicugna_pacos ENSVPAG00000004268
vulpes_vulpes ENSVVUG00000006648
spermophilus_dauricus ENSSDAG00000011553
marmota_marmota_marmota ENSMMMG00000018085
echinops_telfairi ENSETEG00000008816
papio_anubis ENSPANG00000009893
mandrillus_leucophaeus ENSMLEG00000042268
theropithecus_gelada ENSTGEG00000002312
cercocebus_atys ENSCATG00000015002
macaca_fascicularis ENSMFAG00000044064
macaca_nemestrina ENSMNEG00000043031
chlorocebus_sabaeus ENSCSAG00000001247
rhinopithecus_roxellana ENSRROG00000039099
rhinopithecus_bieti ENSRBIG00000036740
piliocolobus_tephrosceles ENSPTEG00000038040
colobus_angolensis_palliatus ENSCANG00000012629
pan_troglodytes ENSPTRG00000051380
pan_paniscus ENSPPAG00000033189
homo_sapiens ENSG00000162367
gorilla_gorilla ENSGGOG00000043148
nomascus_leucogenys ENSNLEG00000027215
cebus_capucinus_imitator ENSCCAG00000036543
callithrix_jacchus ENSCJAG00000038460
aotus_nancymaae ENSANAG00000018338
prolemur_simus ENSPSMG00000013005
propithecus_coquereli ENSPCOG00000017701
microcebus_murinus ENSMICG00000045732
procavia_capensis ENSPCAG00000006179
bos_taurus ENSBTAG00000005029
capra_hircus ENSCHIG00000023704
sus_scrofa ENSSSCG00000035847
tursiops_truncatus ENSTTRG00000011653
canis_lupus_dingo ENSCAFG00020014522
canis_lupus_familiaris ENSCAFG00000004032
neovison_vison ENSNVIG00000002084
mustela_putorius_furo ENSMPUG00000012410
panthera_pardus ENSPPRG00000008561
panthera_tigris_altaica ENSPTIG00000017616
felis_catus ENSFCAG00000045414
myotis_lucifugus ENSMLUG00000006388
pteropus_vampyrus ENSPVAG00000005351
equus_caballus ENSECAG00000018746
equus_asinus_asinus ENSEASG00005010652
otolemur_garnettii ENSOGAG00000016551
carlito_syrichta ENSTSYG00000028621
bos_mutus ENSBMUG00000022445
ovis_aries ENSOARG00000003450
ailuropoda_melanoleuca ENSAMEG00000000014
ursus_americanus ENSUAMG00000008606
loxodonta_africana ENSLAFG00000013880
dasypus_novemcinctus ENSDNOG00000047501
mus_spicilegus ENSMSIG00000032112
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028717
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027276
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026304
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028638
rattus_norvegicus ENSRNOG00000025051
meriones_unguiculatus ENSMUGG00000016618
peromyscus_maniculatus_bairdii ENSPEMG00000024420
microtus_ochrogaster ENSMOCG00000015608
cricetulus_griseus_crigri-picr ENSCGRG00015023397
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023671
cricetulus_griseus_crigri_1.0 ENSCGRG00000001871
mesocricetus_auratus ENSMAUG00000001565
nannospalax_galili ENSNGAG00000021898
phascolarctos_cinereus ENSPCIG00000033850
notamacropus_eugenii ENSMEUG00000011615
sarcophilus_harrisii ENSSHAG00000010681
monodelphis_domestica ENSMODG00000001502
apteryx_rowi ENSARWG00000017974
apteryx_owenii ENSAOWG00000008738
nothoprocta_perdicaria ENSNPEG00000015127
dromaius_novaehollandiae ENSDNVG00000008839
gallus_gallus ENSGALG00000023296
coturnix_japonica ENSCJPG00005010076
numida_meleagris ENSNMEG00000021503
melopsittacus_undulatus ENSMUNG00000010981
lonchura_striata_domestica ENSLSDG00000012746
taeniopygia_guttata ENSTGUG00000008542
lepidothrix_coronata ENSLCOG00000000242
junco_hyemalis ENSJHYG00000008935
zonotrichia_albicollis ENSZALG00000001697
ficedula_albicollis ENSFALG00000009303
meleagris_gallopavo ENSMGAG00000010823
anser_brachyrhynchus ENSABRG00000016716
crocodylus_porosus ENSCPRG00005018024
gopherus_agassizii ENSGAGG00000021460
chelonoidis_abingdonii ENSCABG00000010248
chrysemys_picta_bellii ENSCPBG00000009956
pelodiscus_sinensis ENSPSIG00000010614
calidris_pygmaea ENSCPGG00000010642
calidris_pugnax ENSCPUG00000011854
manacus_vitellinus ENSMVIG00005011737
apteryx_haastii ENSAHAG00000014086
anolis_carolinensis ENSACAG00000005980
notechis_scutatus ENSNSUG00000016175
salvator_merianae ENSSMRG00000018311
sphenodon_punctatus ENSSPUG00000011173
ornithorhynchus_anatinus ENSOANG00000032005
xenopus_tropicalis ENSXETG00000016346
astyanax_mexicanus ENSAMXG00000029567
pygocentrus_nattereri ENSPNAG00000021512
ictalurus_punctatus ENSIPUG00000025046
danio_rerio ENSDARG00000019930
esox_lucius ENSELUG00000002865
paramormyrops_kingsleyae ENSPKIG00000002391
labrus_bergylta ENSLBEG00000021203
mola_mola ENSMMOG00000018959
seriola_lalandi_dorsalis ENSSLDG00000013588
neolamprologus_brichardi ENSNBRG00000016619
mastacembelus_armatus ENSMAMG00000011704
monopterus_albus ENSMALG00000016616
anabas_testudineus ENSATEG00000012714
oryzias_latipes_asm223467v1 ENSORLG00000030528
oryzias_latipes_asm223471v1 ENSORLG00020014197
oryzias_latipes_asm223469v1 ENSORLG00015014263
oryzias_melastigma ENSOMEG00000016840
kryptolebias_marmoratus ENSKMAG00000010338
maylandia_zebra ENSMZEG00005025511
astatotilapia_calliptera ENSACLG00000027002
pundamilia_nyererei ENSPNYG00000010165
haplochromis_burtoni ENSHBUG00000000060
oreochromis_niloticus ENSONIG00000009960
amphilophus_citrinellus ENSACIG00000013199
amphiprion_percula ENSAPEG00000008547
amphiprion_ocellaris ENSAOCG00000019123
acanthochromis_polyacanthus ENSAPOG00000004514
stegastes_partitus ENSSPAG00000014508
takifugu_rubripes ENSTRUG00000020873
tetraodon_nigroviridis ENSTNIG00000001525
gasterosteus_aculeatus ENSGACG00000013846
seriola_dumerili ENSSDUG00000018760
scophthalmus_maximus ENSSMAG00000000625
cynoglossus_semilaevis ENSCSEG00000016205
poecilia_formosa ENSPFOG00000005195
poecilia_latipinna ENSPLAG00000017422
poecilia_mexicana ENSPMEG00000008640
poecilia_reticulata ENSPREG00000017524
xiphophorus_couchianus ENSXCOG00000002055
xiphophorus_maculatus ENSXMAG00000025238
gambusia_affinis ENSGAFG00000009969
cyprinodon_variegatus ENSCVAG00000008766
fundulus_heteroclitus ENSFHEG00000018653
hippocampus_comes ENSHCOG00000009588
periophthalmus_magnuspinnatus ENSPMGG00000015070
gadus_morhua ENSGMOG00000005856
scleropages_formosus ENSSFOG00015017866
scleropages_formosus ENSSFOG00015017985
lepisosteus_oculatus ENSLOCG00000009966
latimeria_chalumnae ENSLACG00000011366
parus_major ENSPMJG00000000238
esox_lucius ENSELUG00000021713
monopterus_albus ENSMALG00000020576
mastacembelus_armatus ENSMAMG00000016269
anabas_testudineus ENSATEG00000005746
anabas_testudineus ENSATEG00000005794
xiphophorus_couchianus ENSXCOG00000007178
xiphophorus_maculatus ENSXMAG00000027113
