choloepus_hoffmanni ENSCHOG00000002439
dasypus_novemcinctus ENSDNOG00000002410
procavia_capensis ENSPCAG00000005856
pan_troglodytes ENSPTRG00000043634
pan_paniscus ENSPPAG00000038301
homo_sapiens ENSG00000166473
gorilla_gorilla ENSGGOG00000000233
pongo_abelii ENSPPYG00000007586
nomascus_leucogenys ENSNLEG00000010482
macaca_fascicularis ENSMFAG00000044240
macaca_nemestrina ENSMNEG00000036656
papio_anubis ENSPANG00000007353
macaca_mulatta ENSMMUG00000003662
theropithecus_gelada ENSTGEG00000016413
mandrillus_leucophaeus ENSMLEG00000026860
cercocebus_atys ENSCATG00000040997
chlorocebus_sabaeus ENSCSAG00000003536
rhinopithecus_bieti ENSRBIG00000044415
rhinopithecus_roxellana ENSRROG00000038312
colobus_angolensis_palliatus ENSCANG00000037780
cebus_capucinus_imitator ENSCCAG00000037509
saimiri_boliviensis_boliviensis ENSSBOG00000023334
callithrix_jacchus ENSCJAG00000016609
aotus_nancymaae ENSANAG00000025943
carlito_syrichta ENSTSYG00000026897
prolemur_simus ENSPSMG00000005782
microcebus_murinus ENSMICG00000011945
propithecus_coquereli ENSPCOG00000018154
tupaia_belangeri ENSTBEG00000000066
mus_spicilegus ENSMSIG00000020891
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032724
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000034416
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031606
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023204
rattus_norvegicus ENSRNOG00000045626
meriones_unguiculatus ENSMUGG00000009520
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022012
cricetulus_griseus_crigri-picr ENSCGRG00015023831
mesocricetus_auratus ENSMAUG00000002511
peromyscus_maniculatus_bairdii ENSPEMG00000019583
microtus_ochrogaster ENSMOCG00000017193
jaculus_jaculus ENSJJAG00000024414
urocitellus_parryii ENSUPAG00010008770
ictidomys_tridecemlineatus ENSSTOG00000007401
spermophilus_dauricus ENSSDAG00000002848
marmota_marmota_marmota ENSMMMG00000012278
chinchilla_lanigera ENSCLAG00000000118
octodon_degus ENSODEG00000013047
oryctolagus_cuniculus ENSOCUG00000011939
ochotona_princeps ENSOPRG00000003293
bos_mutus ENSBMUG00000006628
bos_taurus ENSBTAG00000012693
bison_bison_bison ENSBBBG00000007009
ovis_aries ENSOARG00000008375
capra_hircus ENSCHIG00000004177
sus_scrofa ENSSSCG00000039200
tursiops_truncatus ENSTTRG00000007994
equus_caballus ENSECAG00000015980
equus_asinus_asinus ENSEASG00005013610
pteropus_vampyrus ENSPVAG00000009961
myotis_lucifugus ENSMLUG00000025067
ursus_maritimus ENSUMAG00000015112
ursus_americanus ENSUAMG00000006681
canis_lupus_familiaris ENSCAFG00000020012
canis_lupus_dingo ENSCAFG00020002444
vulpes_vulpes ENSVVUG00000027126
mustela_putorius_furo ENSMPUG00000009585
neovison_vison ENSNVIG00000020185
panthera_pardus ENSPPRG00000003585
panthera_tigris_altaica ENSPTIG00000015213
felis_catus ENSFCAG00000004981
anolis_carolinensis ENSACAG00000008955
notechis_scutatus ENSNSUG00000010419
salvator_merianae ENSSMRG00000011581
sphenodon_punctatus ENSSPUG00000008505
apteryx_owenii ENSAOWG00000005986
apteryx_haastii ENSAHAG00000016919
apteryx_rowi ENSARWG00000015748
dromaius_novaehollandiae ENSDNVG00000012593
anser_brachyrhynchus ENSABRG00000011097
anas_platyrhynchos_platyrhynchos ENSAPLG00000016688
calidris_pygmaea ENSCPGG00000017270
calidris_pugnax ENSCPUG00000008641
melopsittacus_undulatus ENSMUNG00000014714
taeniopygia_guttata ENSTGUG00000004529
serinus_canaria ENSSCAG00000006577
parus_major ENSPMJG00000013992
cyanistes_caeruleus ENSCCEG00000008099
ficedula_albicollis ENSFALG00000006826
zonotrichia_albicollis ENSZALG00000013379
lonchura_striata_domestica ENSLSDG00000015960
junco_hyemalis ENSJHYG00000003597
manacus_vitellinus ENSMVIG00005012792
meleagris_gallopavo ENSMGAG00000006759
coturnix_japonica ENSCJPG00005014698
crocodylus_porosus ENSCPRG00005005912
chelonoidis_abingdonii ENSCABG00000021574
gopherus_agassizii ENSGAGG00000020426
chrysemys_picta_bellii ENSCPBG00000023969
pelodiscus_sinensis ENSPSIG00000003740
latimeria_chalumnae ENSLACG00000002808
xenopus_tropicalis ENSXETG00000032436
lepisosteus_oculatus ENSLOCG00000003938
ornithorhynchus_anatinus ENSOANG00000011090
phascolarctos_cinereus ENSPCIG00000010998
notamacropus_eugenii ENSMEUG00000015732
sarcophilus_harrisii ENSSHAG00000005909
monodelphis_domestica ENSMODG00000015228
otolemur_garnettii ENSOGAG00000007970
pogona_vitticeps ENSPVIG00000013231
fukomys_damarensis ENSFDAG00000017944
xenopus_tropicalis ENSXETG00000006841
eptatretus_burgeri ENSEBUG00000004970
eptatretus_burgeri ENSEBUG00000004124
eptatretus_burgeri ENSEBUG00000001353
loxodonta_africana ENSLAFG00000013094
