rhinopithecus_roxellana ENSRROG00000037114
saimiri_boliviensis_boliviensis ENSSBOG00000021040
fukomys_damarensis ENSFDAG00000016450
lepidothrix_coronata ENSLCOG00000003844
notechis_scutatus ENSNSUG00000019995
labrus_bergylta ENSLBEG00000012016
kryptolebias_marmoratus ENSKMAG00000011189
amphilophus_citrinellus ENSACIG00000021614
xiphophorus_couchianus ENSXCOG00000007321
labrus_bergylta ENSLBEG00000009642
labrus_bergylta ENSLBEG00000007051
mola_mola ENSMMOG00000006135
monopterus_albus ENSMALG00000002561
esox_lucius ENSELUG00000018788
apteryx_owenii ENSAOWG00000001760
nothoprocta_perdicaria ENSNPEG00000002751
chelonoidis_abingdonii ENSCABG00000011942
aotus_nancymaae ENSANAG00000021828
cebus_capucinus_imitator ENSCCAG00000023172
cercocebus_atys ENSCATG00000006771
papio_anubis ENSPANG00000033242
macaca_fascicularis ENSMFAG00000040268
mandrillus_leucophaeus ENSMLEG00000036663
colobus_angolensis_palliatus ENSCANG00000032187
microcebus_murinus ENSMICG00000048113
prolemur_simus ENSPSMG00000026041
castor_canadensis ENSCCNG00000000395
ursus_americanus ENSUAMG00000021641
ursus_maritimus ENSUMAG00000001494
canis_lupus_dingo ENSCAFG00020013628
amphilophus_citrinellus ENSACIG00000016816
periophthalmus_magnuspinnatus ENSPMGG00000003750
fundulus_heteroclitus ENSFHEG00000010788
oryzias_latipes_asm223469v1 ENSORLG00015003828
amphilophus_citrinellus ENSACIG00000016825
periophthalmus_magnuspinnatus ENSPMGG00000003745
oryzias_latipes_asm223471v1 ENSORLG00020009851
pogona_vitticeps ENSPVIG00000002476
