mesocricetus_auratus ENSMAUG00000009235
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012428
microtus_ochrogaster ENSMOCG00000020186
nannospalax_galili ENSNGAG00000005556
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017979
cavia_porcellus ENSCPOG00000021859
spermophilus_dauricus ENSSDAG00000003086
ursus_americanus ENSUAMG00000002951
ursus_maritimus ENSUMAG00000006341
ailuropoda_melanoleuca ENSAMEG00000020145
canis_lupus_familiaris ENSCAFG00000024630
vulpes_vulpes ENSVVUG00000010703
bos_taurus ENSBTAG00000050185
bos_mutus ENSBMUG00000021215
equus_caballus ENSECAG00000029290
prolemur_simus ENSPSMG00000020651
sus_scrofa ENSSSCG00000032159
capra_hircus ENSCHIG00000024840
myotis_lucifugus ENSMLUG00000029515
loxodonta_africana ENSLAFG00000029177
monodelphis_domestica ENSMODG00000024897
sarcophilus_harrisii ENSSHAG00000008501
numida_meleagris ENSNMEG00000001109
sphenodon_punctatus ENSSPUG00000008227
