ailuropoda_melanoleuca ENSAMEG00000009060
ursus_americanus ENSUAMG00000028051
mustela_putorius_furo ENSMPUG00000018505
canis_lupus_familiaris ENSCAFG00000019325
canis_lupus_dingo ENSCAFG00020008596
vulpes_vulpes ENSVVUG00000021948
panthera_pardus ENSPPRG00000016698
panthera_tigris_altaica ENSPTIG00000006182
felis_catus ENSFCAG00000033740
equus_asinus_asinus ENSEASG00005012715
equus_caballus ENSECAG00000037395
capra_hircus ENSCHIG00000010285
ovis_aries ENSOARG00000004180
bos_mutus ENSBMUG00000003497
bos_taurus ENSBTAG00000049018
bison_bison_bison ENSBBBG00000023996
sus_scrofa ENSSSCG00000038683
sorex_araneus ENSSARG00000005068
myotis_lucifugus ENSMLUG00000005020
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004840
chinchilla_lanigera ENSCLAG00000007493
cavia_aperea ENSCAPG00000017336
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017550
mus_spicilegus ENSMSIG00000022777
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000057050
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016706
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017842
rattus_norvegicus ENSRNOG00000047331
meriones_unguiculatus ENSMUGG00000014678
cricetulus_griseus_crigri-picr ENSCGRG00015021247
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009947
cricetulus_griseus_crigri_1.0 ENSCGRG00000019558
peromyscus_maniculatus_bairdii ENSPEMG00000029075
oryctolagus_cuniculus ENSOCUG00000025187
loxodonta_africana ENSLAFG00000021974
dasypus_novemcinctus ENSDNOG00000048298
