ailuropoda_melanoleuca ENSAMEG00000016981
mustela_putorius_furo ENSMPUG00000011662
canis_lupus_familiaris ENSCAFG00000030186
vulpes_vulpes ENSVVUG00000029044
equus_caballus ENSECAG00000039476
capra_hircus ENSCHIG00000022023
ovis_aries ENSOARG00000008639
tursiops_truncatus ENSTTRG00000016701
vicugna_pacos ENSVPAG00000002107
pteropus_vampyrus ENSPVAG00000009918
erinaceus_europaeus ENSEEUG00000012411
sorex_araneus ENSSARG00000010883
microcebus_murinus ENSMICG00000043308
otolemur_garnettii ENSOGAG00000017161
theropithecus_gelada ENSTGEG00000008001
papio_anubis ENSPANG00000002295
macaca_fascicularis ENSMFAG00000041304
macaca_mulatta ENSMMUG00000022771
chlorocebus_sabaeus ENSCSAG00000007081
piliocolobus_tephrosceles ENSPTEG00000021135
colobus_angolensis_palliatus ENSCANG00000033907
mandrillus_leucophaeus ENSMLEG00000013282
cercocebus_atys ENSCATG00000037425
macaca_nemestrina ENSMNEG00000031217
rhinopithecus_bieti ENSRBIG00000036526
rhinopithecus_roxellana ENSRROG00000001579
pan_troglodytes ENSPTRG00000050790
pan_troglodytes ENSPTRG00000022374
pan_paniscus ENSPPAG00000042693
homo_sapiens ENSG00000166049
gorilla_gorilla ENSGGOG00000005844
pongo_abelii ENSPPYG00000020821
nomascus_leucogenys ENSNLEG00000013677
cebus_capucinus_imitator ENSCCAG00000030959
saimiri_boliviensis_boliviensis ENSSBOG00000025664
callithrix_jacchus ENSCJAG00000003903
aotus_nancymaae ENSANAG00000018691
tupaia_belangeri ENSTBEG00000009082
oryctolagus_cuniculus ENSOCUG00000029659
procavia_capensis ENSPCAG00000002889
