notechis_scutatus ENSNSUG00000015790
salvator_merianae ENSSMRG00000010112
sphenodon_punctatus ENSSPUG00000008153
chelonoidis_abingdonii ENSCABG00000021108
gopherus_agassizii ENSGAGG00000017330
chrysemys_picta_bellii ENSCPBG00000011237
apteryx_owenii ENSAOWG00000003497
apteryx_haastii ENSAHAG00000002630
apteryx_rowi ENSARWG00000012774
notamacropus_eugenii ENSMEUG00000004746
phascolarctos_cinereus ENSPCIG00000000726
sarcophilus_harrisii ENSSHAG00000007579
peromyscus_maniculatus_bairdii ENSPEMG00000003303
microtus_ochrogaster ENSMOCG00000002377
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011534
cricetulus_griseus_crigri-picr ENSCGRG00015015413
cricetulus_griseus_crigri_1.0 ENSCGRG00000019482
mesocricetus_auratus ENSMAUG00000018276
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015728
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014929
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000050134
mus_spicilegus ENSMSIG00000012181
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028161
rattus_norvegicus ENSRNOG00000003509
meriones_unguiculatus ENSMUGG00000015929
castor_canadensis ENSCCNG00000008345
ictidomys_tridecemlineatus ENSSTOG00000008055
urocitellus_parryii ENSUPAG00010010905
spermophilus_dauricus ENSSDAG00000018624
marmota_marmota_marmota ENSMMMG00000000039
chinchilla_lanigera ENSCLAG00000017826
cavia_porcellus ENSCPOG00000004259
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000021198
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019881
fukomys_damarensis ENSFDAG00000001464
fukomys_damarensis ENSFDAG00000006230
oryctolagus_cuniculus ENSOCUG00000010597
ochotona_princeps ENSOPRG00000011934
otolemur_garnettii ENSOGAG00000000261
erinaceus_europaeus ENSEEUG00000014930
sorex_araneus ENSSARG00000005033
theropithecus_gelada ENSTGEG00000004260
chlorocebus_sabaeus ENSCSAG00000000077
piliocolobus_tephrosceles ENSPTEG00000017878
pan_paniscus ENSPPAG00000023460
pan_troglodytes ENSPTRG00000030369
homo_sapiens ENSG00000188340
pongo_abelii ENSPPYG00000000669
callithrix_jacchus ENSCJAG00000022040
prolemur_simus ENSPSMG00000014078
ursus_maritimus ENSUMAG00000001874
ursus_americanus ENSUAMG00000026638
ailuropoda_melanoleuca ENSAMEG00000018617
mustela_putorius_furo ENSMPUG00000019465
neovison_vison ENSNVIG00000021935
canis_lupus_familiaris ENSCAFG00000030413
panthera_pardus ENSPPRG00000017684
panthera_tigris_altaica ENSPTIG00000006140
felis_catus ENSFCAG00000044911
equus_caballus ENSECAG00000001139
equus_asinus_asinus ENSEASG00005003340
bison_bison_bison ENSBBBG00000021491
bos_mutus ENSBMUG00000000079
bos_taurus ENSBTAG00000012437
ovis_aries ENSOARG00000007564
sus_scrofa ENSSSCG00000006423
pteropus_vampyrus ENSPVAG00000015108
pteropus_vampyrus ENSPVAG00000016991
loxodonta_africana ENSLAFG00000011136
procavia_capensis ENSPCAG00000011300
echinops_telfairi ENSETEG00000009903
sphenodon_punctatus ENSSPUG00000008159
pogona_vitticeps ENSPVIG00000006001
bos_taurus ENSBTAG00000034601
bos_mutus ENSBMUG00000000068
bison_bison_bison ENSBBBG00000021496
capra_hircus ENSCHIG00000008383
ovis_aries ENSOARG00000007181
sus_scrofa ENSSSCG00000006424
equus_caballus ENSECAG00000001690
equus_asinus_asinus ENSEASG00005003345
neovison_vison ENSNVIG00000021931
mustela_putorius_furo ENSMPUG00000019464
ursus_americanus ENSUAMG00000026637
ursus_maritimus ENSUMAG00000001886
ailuropoda_melanoleuca ENSAMEG00000018607
canis_lupus_familiaris ENSCAFG00000011684
vulpes_vulpes ENSVVUG00000016415
panthera_pardus ENSPPRG00000017699
panthera_tigris_altaica ENSPTIG00000006133
felis_catus ENSFCAG00000015615
felis_catus ENSFCAG00000045248
erinaceus_europaeus ENSEEUG00000014935
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000021201
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019918
chinchilla_lanigera ENSCLAG00000017922
spermophilus_dauricus ENSSDAG00000018635
marmota_marmota_marmota ENSMMMG00000000050
ictidomys_tridecemlineatus ENSSTOG00000028298
urocitellus_parryii ENSUPAG00010010900
mus_spicilegus ENSMSIG00000012202
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000049528
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015729
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014930
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028162
rattus_norvegicus ENSRNOG00000022387
meriones_unguiculatus ENSMUGG00000015926
cricetulus_griseus_crigri_1.0 ENSCGRG00000019607
cricetulus_griseus_crigri-picr ENSCGRG00015015408
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012208
peromyscus_maniculatus_bairdii ENSPEMG00000025007
castor_canadensis ENSCCNG00000008344
oryctolagus_cuniculus ENSOCUG00000017695
prolemur_simus ENSPSMG00000014082
otolemur_garnettii ENSOGAG00000000260
pan_troglodytes ENSPTRG00000030370
pan_paniscus ENSPPAG00000016970
homo_sapiens ENSG00000197403
gorilla_gorilla ENSGGOG00000008834
pongo_abelii ENSPPYG00000010633
nomascus_leucogenys ENSNLEG00000019156
macaca_mulatta ENSMMUG00000018450
theropithecus_gelada ENSTGEG00000004248
cercocebus_atys ENSCATG00000021810
chlorocebus_sabaeus ENSCSAG00000000075
piliocolobus_tephrosceles ENSPTEG00000017842
callithrix_jacchus ENSCJAG00000022041
tupaia_belangeri ENSTBEG00000010465
choloepus_hoffmanni ENSCHOG00000003405
loxodonta_africana ENSLAFG00000014379
procavia_capensis ENSPCAG00000010370
echinops_telfairi ENSETEG00000009899
notamacropus_eugenii ENSMEUG00000014092
phascolarctos_cinereus ENSPCIG00000000718
sarcophilus_harrisii ENSSHAG00000007790
monodelphis_domestica ENSMODG00000010206
canis_lupus_dingo ENSCAFG00020019638
dasypus_novemcinctus ENSDNOG00000018062
salvator_merianae ENSSMRG00000020520
pogona_vitticeps ENSPVIG00000008658
gopherus_agassizii ENSGAGG00000006590
chrysemys_picta_bellii ENSCPBG00000018653
xenopus_tropicalis ENSXETG00000033221
lepisosteus_oculatus ENSLOCG00000017575
