gasterosteus_aculeatus ENSGACG00000002340
mastacembelus_armatus ENSMAMG00000019002
poecilia_latipinna ENSPLAG00000001010
poecilia_formosa ENSPFOG00000005314
poecilia_mexicana ENSPMEG00000001706
poecilia_reticulata ENSPREG00000002056
xiphophorus_maculatus ENSXMAG00000015106
xiphophorus_couchianus ENSXCOG00000006145
gambusia_affinis ENSGAFG00000004901
cyprinodon_variegatus ENSCVAG00000006545
fundulus_heteroclitus ENSFHEG00000012406
kryptolebias_marmoratus ENSKMAG00000014921
oryzias_latipes_asm223471v1 ENSORLG00020007062
oryzias_latipes_asm223467v1 ENSORLG00000027196
oryzias_latipes_asm223469v1 ENSORLG00015006273
oryzias_melastigma ENSOMEG00000012501
amphiprion_ocellaris ENSAOCG00000009373
amphiprion_percula ENSAPEG00000019657
acanthochromis_polyacanthus ENSAPOG00000017796
stegastes_partitus ENSSPAG00000015774
cynoglossus_semilaevis ENSCSEG00000016951
takifugu_rubripes ENSTRUG00000022539
tetraodon_nigroviridis ENSTNIG00000001372
mola_mola ENSMMOG00000013805
labrus_bergylta ENSLBEG00000017005
astatotilapia_calliptera ENSACLG00000005044
pundamilia_nyererei ENSPNYG00000021325
maylandia_zebra ENSMZEG00005000956
haplochromis_burtoni ENSHBUG00000018335
neolamprologus_brichardi ENSNBRG00000014049
oreochromis_niloticus ENSONIG00000016112
amphilophus_citrinellus ENSACIG00000024511
seriola_lalandi_dorsalis ENSSLDG00000024173
seriola_dumerili ENSSDUG00000019669
scophthalmus_maximus ENSSMAG00000002126
monopterus_albus ENSMALG00000001658
anabas_testudineus ENSATEG00000023357
hippocampus_comes ENSHCOG00000001166
periophthalmus_magnuspinnatus ENSPMGG00000021528
gadus_morhua ENSGMOG00000000338
esox_lucius ENSELUG00000013681
pygocentrus_nattereri ENSPNAG00000029715
astyanax_mexicanus ENSAMXG00000019014
ictalurus_punctatus ENSIPUG00000001031
danio_rerio ENSDARG00000105018
scleropages_formosus ENSSFOG00015014051
paramormyrops_kingsleyae ENSPKIG00000007660
lepisosteus_oculatus ENSLOCG00000005145
anolis_carolinensis ENSACAG00000008384
pogona_vitticeps ENSPVIG00000022364
notechis_scutatus ENSNSUG00000008819
salvator_merianae ENSSMRG00000012748
chelonoidis_abingdonii ENSCABG00000015889
gopherus_agassizii ENSGAGG00000017971
parus_major ENSPMJG00000015346
dromaius_novaehollandiae ENSDNVG00000015652
pelodiscus_sinensis ENSPSIG00000004324
chrysemys_picta_bellii ENSCPBG00000025888
crocodylus_porosus ENSCPRG00005009617
sphenodon_punctatus ENSSPUG00000016299
lepidothrix_coronata ENSLCOG00000011319
manacus_vitellinus ENSMVIG00005007178
lonchura_striata_domestica ENSLSDG00000018192
taeniopygia_guttata ENSTGUG00000004585
junco_hyemalis ENSJHYG00000013867
zonotrichia_albicollis ENSZALG00000013001
serinus_canaria ENSSCAG00000016095
ficedula_albicollis ENSFALG00000012614
cyanistes_caeruleus ENSCCEG00000018909
melopsittacus_undulatus ENSMUNG00000011612
calidris_pygmaea ENSCPGG00000013145
calidris_pugnax ENSCPUG00000014917
anas_platyrhynchos_platyrhynchos ENSAPLG00000002003
anser_brachyrhynchus ENSABRG00000021922
gallus_gallus ENSGALG00000030964
coturnix_japonica ENSCJPG00005009678
