oreochromis_niloticus ENSONIG00000019342
poecilia_formosa ENSPFOG00000017684
gasterosteus_aculeatus ENSGACG00000000307
lepisosteus_oculatus ENSLOCG00000010741
sphenodon_punctatus ENSSPUG00000012761
pogona_vitticeps ENSPVIG00000002289
nothoprocta_perdicaria ENSNPEG00000014942
dromaius_novaehollandiae ENSDNVG00000011425
apteryx_owenii ENSAOWG00000007749
anser_brachyrhynchus ENSABRG00000012799
anas_platyrhynchos_platyrhynchos ENSAPLG00000011748
gallus_gallus ENSGALG00000050352
coturnix_japonica ENSCJPG00005017324
meleagris_gallopavo ENSMGAG00000005551
numida_meleagris ENSNMEG00000013179
calidris_pygmaea ENSCPGG00000007527
calidris_pugnax ENSCPUG00000009167
crocodylus_porosus ENSCPRG00005015013
chelonoidis_abingdonii ENSCABG00000005665
gopherus_agassizii ENSGAGG00000008919
chrysemys_picta_bellii ENSCPBG00000015446
choloepus_hoffmanni ENSCHOG00000007234
dasypus_novemcinctus ENSDNOG00000016378
myotis_lucifugus ENSMLUG00000007445
pteropus_vampyrus ENSPVAG00000008200
equus_asinus_asinus ENSEASG00005005558
bos_mutus ENSBMUG00000002963
bos_taurus ENSBTAG00000012419
bison_bison_bison ENSBBBG00000007163
capra_hircus ENSCHIG00000012371
ovis_aries ENSOARG00000019924
sus_scrofa ENSSSCG00000038970
vicugna_pacos ENSVPAG00000004750
tursiops_truncatus ENSTTRG00000012354
erinaceus_europaeus ENSEEUG00000002198
sorex_araneus ENSSARG00000007086
ursus_americanus ENSUAMG00000018687
ursus_maritimus ENSUMAG00000013000
ailuropoda_melanoleuca ENSAMEG00000003302
canis_lupus_dingo ENSCAFG00020001388
canis_lupus_familiaris ENSCAFG00000009264
vulpes_vulpes ENSVVUG00000007555
neovison_vison ENSNVIG00000004682
mustela_putorius_furo ENSMPUG00000005322
panthera_tigris_altaica ENSPTIG00000010775
panthera_pardus ENSPPRG00000005485
felis_catus ENSFCAG00000009239
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026406
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025457
mus_spicilegus ENSMSIG00000011102
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000044165
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026901
rattus_norvegicus ENSRNOG00000037149
meriones_unguiculatus ENSMUGG00000015478
peromyscus_maniculatus_bairdii ENSPEMG00000022471
microtus_ochrogaster ENSMOCG00000012353
cricetulus_griseus_crigri-picr ENSCGRG00015026724
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020305
mesocricetus_auratus ENSMAUG00000012761
nannospalax_galili ENSNGAG00000023256
castor_canadensis ENSCCNG00000023800
spermophilus_dauricus ENSSDAG00000001705
ictidomys_tridecemlineatus ENSSTOG00000014693
marmota_marmota_marmota ENSMMMG00000013046
chinchilla_lanigera ENSCLAG00000013554
octodon_degus ENSODEG00000008721
ochotona_princeps ENSOPRG00000000252
ochotona_princeps ENSOPRG00000009473
ochotona_princeps ENSOPRG00000015170
oryctolagus_cuniculus ENSOCUG00000003775
pan_troglodytes ENSPTRG00000044863
pan_paniscus ENSPPAG00000039569
homo_sapiens ENSG00000188761
gorilla_gorilla ENSGGOG00000041016
pongo_abelii ENSPPYG00000001007
nomascus_leucogenys ENSNLEG00000027711
colobus_angolensis_palliatus ENSCANG00000029351
piliocolobus_tephrosceles ENSPTEG00000030901
papio_anubis ENSPANG00000018739
theropithecus_gelada ENSTGEG00000005293
macaca_mulatta ENSMMUG00000006787
macaca_fascicularis ENSMFAG00000035381
macaca_nemestrina ENSMNEG00000003291
mandrillus_leucophaeus ENSMLEG00000042056
cercocebus_atys ENSCATG00000021796
chlorocebus_sabaeus ENSCSAG00000001637
saimiri_boliviensis_boliviensis ENSSBOG00000035394
cebus_capucinus_imitator ENSCCAG00000037914
callithrix_jacchus ENSCJAG00000012160
aotus_nancymaae ENSANAG00000024457
prolemur_simus ENSPSMG00000013364
microcebus_murinus ENSMICG00000044441
propithecus_coquereli ENSPCOG00000028135
carlito_syrichta ENSTSYG00000010319
otolemur_garnettii ENSOGAG00000013916
tupaia_belangeri ENSTBEG00000000811
loxodonta_africana ENSLAFG00000008055
procavia_capensis ENSPCAG00000004161
echinops_telfairi ENSETEG00000016010
phascolarctos_cinereus ENSPCIG00000035032
notamacropus_eugenii ENSMEUG00000005295
sarcophilus_harrisii ENSSHAG00000013069
monodelphis_domestica ENSMODG00000000706
