anser_brachyrhynchus ENSABRG00000006899
anas_platyrhynchos_platyrhynchos ENSAPLG00000014500
gallus_gallus ENSGALG00000030420
meleagris_gallopavo ENSMGAG00000008296
coturnix_japonica ENSCJPG00005013724
numida_meleagris ENSNMEG00000002749
taeniopygia_guttata ENSTGUG00000009882
lonchura_striata_domestica ENSLSDG00000001456
junco_hyemalis ENSJHYG00000011555
zonotrichia_albicollis ENSZALG00000006236
serinus_canaria ENSSCAG00000014374
parus_major ENSPMJG00000000433
cyanistes_caeruleus ENSCCEG00000014323
ficedula_albicollis ENSFALG00000007715
manacus_vitellinus ENSMVIG00005002741
lepidothrix_coronata ENSLCOG00000000688
melopsittacus_undulatus ENSMUNG00000008359
calidris_pugnax ENSCPUG00000017082
calidris_pygmaea ENSCPGG00000018495
apteryx_owenii ENSAOWG00000017963
apteryx_rowi ENSARWG00000006141
apteryx_haastii ENSAHAG00000004326
nothoprocta_perdicaria ENSNPEG00000007488
anas_platyrhynchos_platyrhynchos ENSAPLG00000030770
cyanistes_caeruleus ENSCCEG00000004515
dromaius_novaehollandiae ENSDNVG00000002271
phascolarctos_cinereus ENSPCIG00000003433
notamacropus_eugenii ENSMEUG00000007573
monodelphis_domestica ENSMODG00000002624
sarcophilus_harrisii ENSSHAG00000012440
ornithorhynchus_anatinus ENSOANG00000001689
dipodomys_ordii ENSDORG00000015517
meriones_unguiculatus ENSMUGG00000022117
chinchilla_lanigera ENSCLAG00000009805
cavia_aperea ENSCAPG00000008667
carlito_syrichta ENSTSYG00000002191
peromyscus_maniculatus_bairdii ENSPEMG00000009096
microtus_ochrogaster ENSMOCG00000008186
cricetulus_griseus_crigri-picr ENSCGRG00015010605
cricetulus_griseus_crigri_1.0 ENSCGRG00000014317
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005468
mesocricetus_auratus ENSMAUG00000007933
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015175
mus_spicilegus ENSMSIG00000001519
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026247
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014373
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027610
rattus_norvegicus ENSRNOG00000019447
nannospalax_galili ENSNGAG00000022167
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004027
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017037
fukomys_damarensis ENSFDAG00000010358
octodon_degus ENSODEG00000007457
cavia_porcellus ENSCPOG00000004617
castor_canadensis ENSCCNG00000020094
ictidomys_tridecemlineatus ENSSTOG00000005389
urocitellus_parryii ENSUPAG00010010150
oryctolagus_cuniculus ENSOCUG00000009536
ochotona_princeps ENSOPRG00000011497
pan_troglodytes ENSPTRG00000013037
pan_paniscus ENSPPAG00000031343
homo_sapiens ENSG00000171551
gorilla_gorilla ENSGGOG00000005626
pongo_abelii ENSPPYG00000013278
nomascus_leucogenys ENSNLEG00000014253
theropithecus_gelada ENSTGEG00000019398
papio_anubis ENSPANG00000015931
mandrillus_leucophaeus ENSMLEG00000039300
cercocebus_atys ENSCATG00000033582
macaca_mulatta ENSMMUG00000016873
macaca_nemestrina ENSMNEG00000043075
macaca_fascicularis ENSMFAG00000034405
chlorocebus_sabaeus ENSCSAG00000006548
rhinopithecus_roxellana ENSRROG00000028511
rhinopithecus_bieti ENSRBIG00000043419
piliocolobus_tephrosceles ENSPTEG00000033551
colobus_angolensis_palliatus ENSCANG00000036206
callithrix_jacchus ENSCJAG00000013711
saimiri_boliviensis_boliviensis ENSSBOG00000021737
cebus_capucinus_imitator ENSCCAG00000029634
aotus_nancymaae ENSANAG00000034088
ailuropoda_melanoleuca ENSAMEG00000016536
ursus_americanus ENSUAMG00000020524
canis_lupus_dingo ENSCAFG00020023178
canis_lupus_familiaris ENSCAFG00000011211
vulpes_vulpes ENSVVUG00000025529
neovison_vison ENSNVIG00000003466
mustela_putorius_furo ENSMPUG00000005049
felis_catus ENSFCAG00000005677
panthera_pardus ENSPPRG00000023502
myotis_lucifugus ENSMLUG00000004520
equus_caballus ENSECAG00000013336
equus_asinus_asinus ENSEASG00005019602
pteropus_vampyrus ENSPVAG00000007489
sorex_araneus ENSSARG00000009041
erinaceus_europaeus ENSEEUG00000008213
capra_hircus ENSCHIG00000008360
ovis_aries ENSOARG00000020799
bos_taurus ENSBTAG00000021050
bos_mutus ENSBMUG00000005938
bison_bison_bison ENSBBBG00000008100
tursiops_truncatus ENSTTRG00000009208
sus_scrofa ENSSSCG00000016285
loxodonta_africana ENSLAFG00000001019
procavia_capensis ENSPCAG00000006490
echinops_telfairi ENSETEG00000005116
dasypus_novemcinctus ENSDNOG00000008992
propithecus_coquereli ENSPCOG00000015421
prolemur_simus ENSPSMG00000025939
microcebus_murinus ENSMICG00000012136
otolemur_garnettii ENSOGAG00000030299
chinchilla_lanigera ENSCLAG00000008842
marmota_marmota_marmota ENSMMMG00000002016
macaca_mulatta ENSMMUG00000041296
macaca_fascicularis ENSMFAG00000003837
papio_anubis ENSPANG00000032763
ornithorhynchus_anatinus ENSOANG00000012831
chelonoidis_abingdonii ENSCABG00000012529
chrysemys_picta_bellii ENSCPBG00000016234
gopherus_agassizii ENSGAGG00000001365
pelodiscus_sinensis ENSPSIG00000011154
gopherus_agassizii ENSGAGG00000015302
crocodylus_porosus ENSCPRG00005011943
anolis_carolinensis ENSACAG00000023907
anolis_carolinensis ENSACAG00000011262
pogona_vitticeps ENSPVIG00000011691
notechis_scutatus ENSNSUG00000002391
salvator_merianae ENSSMRG00000018718
xenopus_tropicalis ENSXETG00000022772
latimeria_chalumnae ENSLACG00000014830
scleropages_formosus ENSSFOG00015018229
paramormyrops_kingsleyae ENSPKIG00000013996
tetraodon_nigroviridis ENSTNIG00000014294
takifugu_rubripes ENSTRUG00000012804
gasterosteus_aculeatus ENSGACG00000005523
