nothoprocta_perdicaria ENSNPEG00000002019
dromaius_novaehollandiae ENSDNVG00000007575
anser_brachyrhynchus ENSABRG00000010663
melopsittacus_undulatus ENSMUNG00000001156
calidris_pygmaea ENSCPGG00000006174
calidris_pugnax ENSCPUG00000011107
gallus_gallus ENSGALG00000004783
coturnix_japonica ENSCJPG00005020096
numida_meleagris ENSNMEG00000006768
taeniopygia_guttata ENSTGUG00000003849
lonchura_striata_domestica ENSLSDG00000001143
serinus_canaria ENSSCAG00000006332
junco_hyemalis ENSJHYG00000010193
ficedula_albicollis ENSFALG00000001386
lepidothrix_coronata ENSLCOG00000006885
parus_major ENSPMJG00000009487
cyanistes_caeruleus ENSCCEG00000024175
apteryx_haastii ENSAHAG00000014274
apteryx_rowi ENSARWG00000017922
apteryx_owenii ENSAOWG00000011671
crocodylus_porosus ENSCPRG00005000719
gopherus_agassizii ENSGAGG00000022889
chelonoidis_abingdonii ENSCABG00000002208
chrysemys_picta_bellii ENSCPBG00000024631
pogona_vitticeps ENSPVIG00000025724
notechis_scutatus ENSNSUG00000016533
salvator_merianae ENSSMRG00000011377
sphenodon_punctatus ENSSPUG00000015338
phascolarctos_cinereus ENSPCIG00000026673
sarcophilus_harrisii ENSSHAG00000018640
ursus_americanus ENSUAMG00000009968
ailuropoda_melanoleuca ENSAMEG00000015254
neovison_vison ENSNVIG00000010986
vulpes_vulpes ENSVVUG00000013397
vulpes_vulpes ENSVVUG00000001943
canis_lupus_dingo ENSCAFG00020016109
canis_lupus_familiaris ENSCAFG00000031985
panthera_tigris_altaica ENSPTIG00000009276
panthera_pardus ENSPPRG00000011170
felis_catus ENSFCAG00000035556
bison_bison_bison ENSBBBG00000021329
bos_taurus ENSBTAG00000014150
capra_hircus ENSCHIG00000011939
tursiops_truncatus ENSTTRG00000016479
prolemur_simus ENSPSMG00000007750
prolemur_simus ENSPSMG00000001073
propithecus_coquereli ENSPCOG00000026958
microcebus_murinus ENSMICG00000046320
otolemur_garnettii ENSOGAG00000027273
colobus_angolensis_palliatus ENSCANG00000016015
rhinopithecus_bieti ENSRBIG00000029444
piliocolobus_tephrosceles ENSPTEG00000014731
papio_anubis ENSPANG00000024870
mandrillus_leucophaeus ENSMLEG00000036489
cercocebus_atys ENSCATG00000038245
pan_troglodytes ENSPTRG00000048462
pan_troglodytes ENSPTRG00000021413
pan_paniscus ENSPPAG00000026511
gorilla_gorilla ENSGGOG00000025371
homo_sapiens ENSG00000171159
pongo_abelii ENSPPYG00000019644
nomascus_leucogenys ENSNLEG00000017540
callithrix_jacchus ENSCJAG00000044118
callithrix_jacchus ENSCJAG00000022915
cebus_capucinus_imitator ENSCCAG00000031582
saimiri_boliviensis_boliviensis ENSSBOG00000022463
aotus_nancymaae ENSANAG00000037388
ictidomys_tridecemlineatus ENSSTOG00000022962
urocitellus_parryii ENSUPAG00010014717
spermophilus_dauricus ENSSDAG00000010443
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012143
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015915
fukomys_damarensis ENSFDAG00000013953
chinchilla_lanigera ENSCLAG00000001430
octodon_degus ENSODEG00000017312
cavia_porcellus ENSCPOG00000039651
cricetulus_griseus_crigri_1.0 ENSCGRG00000004654
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011837
mesocricetus_auratus ENSMAUG00000008053
microtus_ochrogaster ENSMOCG00000006322
peromyscus_maniculatus_bairdii ENSPEMG00000024928
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024348
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039195
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023431
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024888
rattus_norvegicus ENSRNOG00000022681
nannospalax_galili ENSNGAG00000009999
jaculus_jaculus ENSJJAG00000015624
dipodomys_ordii ENSDORG00000023732
tupaia_belangeri ENSTBEG00000014239
pteropus_vampyrus ENSPVAG00000002436
erinaceus_europaeus ENSEEUG00000012499
ochotona_princeps ENSOPRG00000016418
procavia_capensis ENSPCAG00000011798
equus_asinus_asinus ENSEASG00005020390
dasypus_novemcinctus ENSDNOG00000023665
latimeria_chalumnae ENSLACG00000012936
paramormyrops_kingsleyae ENSPKIG00000004667
scleropages_formosus ENSSFOG00015010904
cynoglossus_semilaevis ENSCSEG00000017771
scophthalmus_maximus ENSSMAG00000003931
labrus_bergylta ENSLBEG00000018057
tetraodon_nigroviridis ENSTNIG00000009016
gasterosteus_aculeatus ENSGACG00000016653
xiphophorus_maculatus ENSXMAG00000005599
xiphophorus_couchianus ENSXCOG00000002766
gambusia_affinis ENSGAFG00000010948
poecilia_formosa ENSPFOG00000019846
poecilia_mexicana ENSPMEG00000016533
poecilia_latipinna ENSPLAG00000016518
poecilia_reticulata ENSPREG00000015410
fundulus_heteroclitus ENSFHEG00000004050
cyprinodon_variegatus ENSCVAG00000017293
kryptolebias_marmoratus ENSKMAG00000016786
oryzias_latipes_asm223467v1 ENSORLG00000007027
oryzias_latipes_asm223471v1 ENSORLG00020019754
oryzias_latipes_asm223469v1 ENSORLG00015007781
oryzias_melastigma ENSOMEG00000004252
stegastes_partitus ENSSPAG00000019018
stegastes_partitus ENSSPAG00000022173
amphiprion_percula ENSAPEG00000015330
amphiprion_ocellaris ENSAOCG00000015236
acanthochromis_polyacanthus ENSAPOG00000016220
maylandia_zebra ENSMZEG00005019259
astatotilapia_calliptera ENSACLG00000011347
pundamilia_nyererei ENSPNYG00000009498
haplochromis_burtoni ENSHBUG00000022643
oreochromis_niloticus ENSONIG00000002851
neolamprologus_brichardi ENSNBRG00000006884
amphilophus_citrinellus ENSACIG00000019739
monopterus_albus ENSMALG00000021690
mastacembelus_armatus ENSMAMG00000013421
anabas_testudineus ENSATEG00000017948
seriola_lalandi_dorsalis ENSSLDG00000009275
seriola_dumerili ENSSDUG00000023485
periophthalmus_magnuspinnatus ENSPMGG00000019223
hippocampus_comes ENSHCOG00000002909
gadus_morhua ENSGMOG00000018731
esox_lucius ENSELUG00000013980
astyanax_mexicanus ENSAMXG00000033178
pygocentrus_nattereri ENSPNAG00000013550
ictalurus_punctatus ENSIPUG00000019253
danio_rerio ENSDARG00000086753
lepisosteus_oculatus ENSLOCG00000004822
