mus_spicilegus ENSMSIG00000024486
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017593
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020847
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016750
rattus_norvegicus ENSRNOG00000061429
meriones_unguiculatus ENSMUGG00000004038
cricetulus_griseus_crigri_1.0 ENSCGRG00000016764
cricetulus_griseus_crigri-picr ENSCGRG00015019135
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011669
peromyscus_maniculatus_bairdii ENSPEMG00000000878
nannospalax_galili ENSNGAG00000015279
jaculus_jaculus ENSJJAG00000018505
ictidomys_tridecemlineatus ENSSTOG00000009699
spermophilus_dauricus ENSSDAG00000020337
urocitellus_parryii ENSUPAG00010018306
marmota_marmota_marmota ENSMMMG00000024134
castor_canadensis ENSCCNG00000016879
dipodomys_ordii ENSDORG00000002882
chinchilla_lanigera ENSCLAG00000004707
octodon_degus ENSODEG00000009403
cavia_porcellus ENSCPOG00000001101
cavia_aperea ENSCAPG00000007922
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010855
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019346
fukomys_damarensis ENSFDAG00000013295
macaca_nemestrina ENSMNEG00000036329
macaca_mulatta ENSMMUG00000038897
macaca_fascicularis ENSMFAG00000001831
theropithecus_gelada ENSTGEG00000013088
cercocebus_atys ENSCATG00000044491
chlorocebus_sabaeus ENSCSAG00000014339
mandrillus_leucophaeus ENSMLEG00000033754
papio_anubis ENSPANG00000024628
rhinopithecus_bieti ENSRBIG00000039247
rhinopithecus_roxellana ENSRROG00000028680
pan_paniscus ENSPPAG00000032054
pan_troglodytes ENSPTRG00000008504
homo_sapiens ENSG00000181031
gorilla_gorilla ENSGGOG00000034877
pongo_abelii ENSPPYG00000007753
nomascus_leucogenys ENSNLEG00000000443
saimiri_boliviensis_boliviensis ENSSBOG00000028168
cebus_capucinus_imitator ENSCCAG00000033571
callithrix_jacchus ENSCJAG00000018737
aotus_nancymaae ENSANAG00000031440
carlito_syrichta ENSTSYG00000013009
propithecus_coquereli ENSPCOG00000023072
prolemur_simus ENSPSMG00000014252
microcebus_murinus ENSMICG00000044522
otolemur_garnettii ENSOGAG00000016283
erinaceus_europaeus ENSEEUG00000012318
ursus_americanus ENSUAMG00000021509
ursus_maritimus ENSUMAG00000010013
ailuropoda_melanoleuca ENSAMEG00000008233
neovison_vison ENSNVIG00000008008
mustela_putorius_furo ENSMPUG00000013740
canis_lupus_dingo ENSCAFG00020010093
canis_lupus_familiaris ENSCAFG00000019132
vulpes_vulpes ENSVVUG00000021641
panthera_pardus ENSPPRG00000001066
panthera_tigris_altaica ENSPTIG00000009088
felis_catus ENSFCAG00000007952
sus_scrofa ENSSSCG00000036705
equus_caballus ENSECAG00000008782
equus_asinus_asinus ENSEASG00005009628
capra_hircus ENSCHIG00000009527
ovis_aries ENSOARG00000011968
bos_mutus ENSBMUG00000009876
bos_taurus ENSBTAG00000039819
bison_bison_bison ENSBBBG00000020916
vicugna_pacos ENSVPAG00000012528
tursiops_truncatus ENSTTRG00000003053
pteropus_vampyrus ENSPVAG00000005311
myotis_lucifugus ENSMLUG00000012812
tupaia_belangeri ENSTBEG00000014463
ochotona_princeps ENSOPRG00000003807
choloepus_hoffmanni ENSCHOG00000013806
dasypus_novemcinctus ENSDNOG00000035754
oryctolagus_cuniculus ENSOCUG00000007211
loxodonta_africana ENSLAFG00000002838
procavia_capensis ENSPCAG00000001975
phascolarctos_cinereus ENSPCIG00000017167
notamacropus_eugenii ENSMEUG00000006855
sarcophilus_harrisii ENSSHAG00000013249
monodelphis_domestica ENSMODG00000010146
ornithorhynchus_anatinus ENSOANG00000002533
pogona_vitticeps ENSPVIG00000011815
salvator_merianae ENSSMRG00000015053
xenopus_tropicalis ENSXETG00000022428
esox_lucius ENSELUG00000019199
poecilia_reticulata ENSPREG00000008472
ciona_intestinalis ENSCING00000005345
drosophila_melanogaster FBgn0030230
