xenopus_tropicalis ENSXETG00000000581
numida_meleagris ENSNMEG00000002010
latimeria_chalumnae ENSLACG00000019116
apteryx_rowi ENSARWG00000013248
apteryx_owenii ENSAOWG00000014958
apteryx_haastii ENSAHAG00000004247
dromaius_novaehollandiae ENSDNVG00000008058
nothoprocta_perdicaria ENSNPEG00000012296
anser_brachyrhynchus ENSABRG00000016925
anas_platyrhynchos_platyrhynchos ENSAPLG00000014153
apteryx_owenii ENSAOWG00000003916
melopsittacus_undulatus ENSMUNG00000001341
calidris_pugnax ENSCPUG00000005574
calidris_pygmaea ENSCPGG00000018977
lonchura_striata_domestica ENSLSDG00000000998
taeniopygia_guttata ENSTGUG00000014770
ficedula_albicollis ENSFALG00000000105
parus_major ENSPMJG00000005388
cyanistes_caeruleus ENSCCEG00000022502
lepidothrix_coronata ENSLCOG00000011585
serinus_canaria ENSSCAG00000013781
junco_hyemalis ENSJHYG00000002456
crocodylus_porosus ENSCPRG00005001684
chelonoidis_abingdonii ENSCABG00000007437
gopherus_agassizii ENSGAGG00000014069
chrysemys_picta_bellii ENSCPBG00000019686
pelodiscus_sinensis ENSPSIG00000002684
sphenodon_punctatus ENSSPUG00000016321
gallus_gallus ENSGALG00000055075
coturnix_japonica ENSCJPG00005017858
ornithorhynchus_anatinus ENSOANG00000011885
ursus_americanus ENSUAMG00000004034
ursus_maritimus ENSUMAG00000006945
ailuropoda_melanoleuca ENSAMEG00000000987
mustela_putorius_furo ENSMPUG00000014569
neovison_vison ENSNVIG00000006209
canis_lupus_familiaris ENSCAFG00000008465
canis_lupus_dingo ENSCAFG00020013736
vulpes_vulpes ENSVVUG00000021863
panthera_pardus ENSPPRG00000008008
panthera_tigris_altaica ENSPTIG00000020836
felis_catus ENSFCAG00000009452
equus_caballus ENSECAG00000005957
equus_asinus_asinus ENSEASG00005001551
capra_hircus ENSCHIG00000015654
ovis_aries ENSOARG00000018401
bos_taurus ENSBTAG00000016593
bison_bison_bison ENSBBBG00000000454
bos_mutus ENSBMUG00000023535
sus_scrofa ENSSSCG00000025114
myotis_lucifugus ENSMLUG00000030360
tursiops_truncatus ENSTTRG00000011799
pteropus_vampyrus ENSPVAG00000015872
tupaia_belangeri ENSTBEG00000009029
erinaceus_europaeus ENSEEUG00000007675
sorex_araneus ENSSARG00000012014
ochotona_princeps ENSOPRG00000004612
oryctolagus_cuniculus ENSOCUG00000001754
echinops_telfairi ENSETEG00000019453
procavia_capensis ENSPCAG00000013437
prolemur_simus ENSPSMG00000018122
microcebus_murinus ENSMICG00000005219
propithecus_coquereli ENSPCOG00000017512
carlito_syrichta ENSTSYG00000004677
saimiri_boliviensis_boliviensis ENSSBOG00000026511
callithrix_jacchus ENSCJAG00000021023
aotus_nancymaae ENSANAG00000034262
cebus_capucinus_imitator ENSCCAG00000016612
nomascus_leucogenys ENSNLEG00000017822
rhinopithecus_bieti ENSRBIG00000037436
rhinopithecus_roxellana ENSRROG00000018538
colobus_angolensis_palliatus ENSCANG00000038012
cercocebus_atys ENSCATG00000039154
mandrillus_leucophaeus ENSMLEG00000043273
theropithecus_gelada ENSTGEG00000002409
papio_anubis ENSPANG00000015333
macaca_mulatta ENSMMUG00000022498
