equus_asinus_asinus ENSEASG00005003639
equus_caballus ENSECAG00000030536
myotis_lucifugus ENSMLUG00000014909
pteropus_vampyrus ENSPVAG00000015966
canis_lupus_familiaris ENSCAFG00000006987
canis_lupus_dingo ENSCAFG00020004115
vulpes_vulpes ENSVVUG00000008335
neovison_vison ENSNVIG00000010688
ursus_americanus ENSUAMG00000000623
ursus_maritimus ENSUMAG00000000983
ailuropoda_melanoleuca ENSAMEG00000011292
panthera_tigris_altaica ENSPTIG00000011813
panthera_pardus ENSPPRG00000022176
felis_catus ENSFCAG00000035925
erinaceus_europaeus ENSEEUG00000001665
ovis_aries ENSOARG00000000149
capra_hircus ENSCHIG00000014511
bos_mutus ENSBMUG00000015451
bos_taurus ENSBTAG00000054958
bison_bison_bison ENSBBBG00000001657
tursiops_truncatus ENSTTRG00000000942
vicugna_pacos ENSVPAG00000000444
sus_scrofa ENSSSCG00000035759
castor_canadensis ENSCCNG00000018983
cavia_porcellus ENSCPOG00000008623
marmota_marmota_marmota ENSMMMG00000023831
urocitellus_parryii ENSUPAG00010018866
spermophilus_dauricus ENSSDAG00000009666
ochotona_princeps ENSOPRG00000005039
oryctolagus_cuniculus ENSOCUG00000002723
pan_paniscus ENSPPAG00000038931
pan_troglodytes ENSPTRG00000013136
homo_sapiens ENSG00000088782
pongo_abelii ENSPPYG00000010876
nomascus_leucogenys ENSNLEG00000009555
theropithecus_gelada ENSTGEG00000008911
chlorocebus_sabaeus ENSCSAG00000012898
mandrillus_leucophaeus ENSMLEG00000029314
macaca_fascicularis ENSMFAG00000034512
macaca_nemestrina ENSMNEG00000034036
papio_anubis ENSPANG00000022068
cercocebus_atys ENSCATG00000034773
piliocolobus_tephrosceles ENSPTEG00000001598
prolemur_simus ENSPSMG00000003221
microcebus_murinus ENSMICG00000045726
propithecus_coquereli ENSPCOG00000006490
tupaia_belangeri ENSTBEG00000014709
choloepus_hoffmanni ENSCHOG00000007303
dasypus_novemcinctus ENSDNOG00000035342
