carlito_syrichta ENSTSYG00000025828
prolemur_simus ENSPSMG00000024428
vicugna_pacos ENSVPAG00000000459
equus_caballus ENSECAG00000025084
panthera_pardus ENSPPRG00000023396
panthera_tigris_altaica ENSPTIG00000015829
felis_catus ENSFCAG00000040162
spermophilus_dauricus ENSSDAG00000008436
urocitellus_parryii ENSUPAG00010011397
marmota_marmota_marmota ENSMMMG00000005904
cricetulus_griseus_crigri_1.0 ENSCGRG00000017646
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012510
mesocricetus_auratus ENSMAUG00000010359
peromyscus_maniculatus_bairdii ENSPEMG00000017891
microtus_ochrogaster ENSMOCG00000018485
rattus_norvegicus ENSRNOG00000048407
propithecus_coquereli ENSPCOG00000022563
microcebus_murinus ENSMICG00000045840
ursus_maritimus ENSUMAG00000018497
dipodomys_ordii ENSDORG00000025198
procavia_capensis ENSPCAG00000001063
monodelphis_domestica ENSMODG00000013891
