bison_bison_bison ENSBBBG00000015232
bos_mutus ENSBMUG00000019230
ursus_maritimus ENSUMAG00000001223
erinaceus_europaeus ENSEEUG00000013814
pteropus_vampyrus ENSPVAG00000003818
capra_hircus ENSCHIG00000005763
ovis_aries ENSOARG00000010134
bos_taurus ENSBTAG00000019417
sus_scrofa ENSSSCG00000012510
tursiops_truncatus ENSTTRG00000010697
ailuropoda_melanoleuca ENSAMEG00000018795
ursus_americanus ENSUAMG00000014594
mustela_putorius_furo ENSMPUG00000019132
neovison_vison ENSNVIG00000014673
canis_lupus_familiaris ENSCAFG00000017705
canis_lupus_dingo ENSCAFG00020007343
vulpes_vulpes ENSVVUG00000005296
panthera_pardus ENSPPRG00000011478
panthera_tigris_altaica ENSPTIG00000004741
felis_catus ENSFCAG00000006953
equus_caballus ENSECAG00000024150
equus_asinus_asinus ENSEASG00005022248
myotis_lucifugus ENSMLUG00000008986
homo_sapiens ENSG00000184867
pan_troglodytes ENSPTRG00000022110
pongo_abelii ENSPPYG00000020559
theropithecus_gelada ENSTGEG00000012205
macaca_mulatta ENSMMUG00000015656
chlorocebus_sabaeus ENSCSAG00000009814
piliocolobus_tephrosceles ENSPTEG00000017018
callithrix_jacchus ENSCJAG00000019679
carlito_syrichta ENSTSYG00000009496
propithecus_coquereli ENSPCOG00000016285
propithecus_coquereli ENSPCOG00000025445
prolemur_simus ENSPSMG00000010023
otolemur_garnettii ENSOGAG00000026522
castor_canadensis ENSCCNG00000028522
dipodomys_ordii ENSDORG00000023617
cavia_porcellus ENSCPOG00000012067
cavia_aperea ENSCAPG00000012685
chinchilla_lanigera ENSCLAG00000017604
octodon_degus ENSODEG00000018661
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019534
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019887
fukomys_damarensis ENSFDAG00000018005
urocitellus_parryii ENSUPAG00010010118
ictidomys_tridecemlineatus ENSSTOG00000023619
spermophilus_dauricus ENSSDAG00000005289
marmota_marmota_marmota ENSMMMG00000015712
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034565
mus_spicilegus ENSMSIG00000000808
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000033436
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033401
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031941
rattus_norvegicus ENSRNOG00000025705
meriones_unguiculatus ENSMUGG00000025301
cricetulus_griseus_crigri-picr ENSCGRG00015001851
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014978
cricetulus_griseus_crigri_1.0 ENSCGRG00000011101
mesocricetus_auratus ENSMAUG00000017215
microtus_ochrogaster ENSMOCG00000022008
nannospalax_galili ENSNGAG00000013404
jaculus_jaculus ENSJJAG00000022715
oryctolagus_cuniculus ENSOCUG00000000416
loxodonta_africana ENSLAFG00000018583
echinops_telfairi ENSETEG00000019361
dasypus_novemcinctus ENSDNOG00000040889
