macaca_mulatta ENSMMUG00000029973
microcebus_murinus ENSMICG00000033389
octodon_degus ENSODEG00000019480
felis_catus ENSFCAG00000033316
mustela_putorius_furo ENSMPUG00000016699
equus_caballus ENSECAG00000008501
equus_asinus_asinus ENSEASG00005008178
myotis_lucifugus ENSMLUG00000022568
bos_taurus ENSBTAG00000039728
bison_bison_bison ENSBBBG00000017116
capra_hircus ENSCHIG00000011615
mustela_putorius_furo ENSMPUG00000018773
urocitellus_parryii ENSUPAG00010013301
castor_canadensis ENSCCNG00000015955
chinchilla_lanigera ENSCLAG00000017688
pan_troglodytes ENSPTRG00000046428
pan_paniscus ENSPPAG00000034828
gorilla_gorilla ENSGGOG00000026958
nomascus_leucogenys ENSNLEG00000036070
cricetulus_griseus_crigri_1.0 ENSCGRG00000020045
cricetulus_griseus_crigri-picr ENSCGRG00015017972
sorex_araneus ENSSARG00000004430
carlito_syrichta ENSTSYG00000013927
theropithecus_gelada ENSTGEG00000010951
cavia_porcellus ENSCPOG00000032847
canis_lupus_dingo ENSCAFG00020002090
canis_lupus_familiaris ENSCAFG00000017038
mustela_putorius_furo ENSMPUG00000018807
felis_catus ENSFCAG00000041241
capra_hircus ENSCHIG00000021994
sus_scrofa ENSSSCG00000028362
loxodonta_africana ENSLAFG00000032714
jaculus_jaculus ENSJJAG00000002328
ailuropoda_melanoleuca ENSAMEG00000004140
canis_lupus_familiaris ENSCAFG00000016073
phascolarctos_cinereus ENSPCIG00000031607
phascolarctos_cinereus ENSPCIG00000036752
phascolarctos_cinereus ENSPCIG00000036190
notamacropus_eugenii ENSMEUG00000015282
monodelphis_domestica ENSMODG00000023165
aotus_nancymaae ENSANAG00000024227
loxodonta_africana ENSLAFG00000012585
phascolarctos_cinereus ENSPCIG00000018547
sus_scrofa ENSSSCG00000009677
dasypus_novemcinctus ENSDNOG00000038952
notamacropus_eugenii ENSMEUG00000002257
gopherus_agassizii ENSGAGG00000018932
