gorilla_gorilla ENSGGOG00000012331
homo_sapiens ENSG00000079112
pan_troglodytes ENSPTRG00000020425
pan_paniscus ENSPPAG00000036344
pongo_abelii ENSPPYG00000018748
nomascus_leucogenys ENSNLEG00000002974
colobus_angolensis_palliatus ENSCANG00000035066
piliocolobus_tephrosceles ENSPTEG00000036280
rhinopithecus_bieti ENSRBIG00000039486
rhinopithecus_roxellana ENSRROG00000030658
theropithecus_gelada ENSTGEG00000026752
papio_anubis ENSPANG00000017130
cercocebus_atys ENSCATG00000032530
mandrillus_leucophaeus ENSMLEG00000025852
macaca_fascicularis ENSMFAG00000000602
macaca_nemestrina ENSMNEG00000030028
macaca_mulatta ENSMMUG00000020010
chlorocebus_sabaeus ENSCSAG00000012742
saimiri_boliviensis_boliviensis ENSSBOG00000019928
cebus_capucinus_imitator ENSCCAG00000028997
callithrix_jacchus ENSCJAG00000000090
aotus_nancymaae ENSANAG00000015246
carlito_syrichta ENSTSYG00000001412
microcebus_murinus ENSMICG00000015201
prolemur_simus ENSPSMG00000018613
propithecus_coquereli ENSPCOG00000017142
otolemur_garnettii ENSOGAG00000002985
tupaia_belangeri ENSTBEG00000009653
chinchilla_lanigera ENSCLAG00000014507
octodon_degus ENSODEG00000004993
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005544
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007580
fukomys_damarensis ENSFDAG00000018976
cavia_porcellus ENSCPOG00000006582
cavia_aperea ENSCAPG00000011564
urocitellus_parryii ENSUPAG00010014050
ictidomys_tridecemlineatus ENSSTOG00000002021
spermophilus_dauricus ENSSDAG00000005602
marmota_marmota_marmota ENSMMMG00000007567
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026761
mus_spicilegus ENSMSIG00000031234
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028217
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025813
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023936
rattus_norvegicus ENSRNOG00000015562
meriones_unguiculatus ENSMUGG00000023155
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021364
cricetulus_griseus_crigri-picr ENSCGRG00015011795
cricetulus_griseus_crigri_1.0 ENSCGRG00000012734
mesocricetus_auratus ENSMAUG00000009983
microtus_ochrogaster ENSMOCG00000010844
peromyscus_maniculatus_bairdii ENSPEMG00000018197
nannospalax_galili ENSNGAG00000003508
jaculus_jaculus ENSJJAG00000011121
castor_canadensis ENSCCNG00000009217
oryctolagus_cuniculus ENSOCUG00000001029
ochotona_princeps ENSOPRG00000000776
bos_taurus ENSBTAG00000021964
bos_mutus ENSBMUG00000001883
bison_bison_bison ENSBBBG00000003449
capra_hircus ENSCHIG00000012379
ovis_aries ENSOARG00000008009
tursiops_truncatus ENSTTRG00000012477
sus_scrofa ENSSSCG00000006106
vicugna_pacos ENSVPAG00000011838
pteropus_vampyrus ENSPVAG00000004506
equus_caballus ENSECAG00000017615
equus_asinus_asinus ENSEASG00005016247
myotis_lucifugus ENSMLUG00000008910
myotis_lucifugus ENSMLUG00000026907
ursus_maritimus ENSUMAG00000016167
ursus_americanus ENSUAMG00000016479
ailuropoda_melanoleuca ENSAMEG00000012449
neovison_vison ENSNVIG00000000946
mustela_putorius_furo ENSMPUG00000009064
canis_lupus_dingo ENSCAFG00020012112
canis_lupus_familiaris ENSCAFG00000009144
vulpes_vulpes ENSVVUG00000002787
panthera_pardus ENSPPRG00000009023
panthera_tigris_altaica ENSPTIG00000017434
felis_catus ENSFCAG00000015508
erinaceus_europaeus ENSEEUG00000002951
choloepus_hoffmanni ENSCHOG00000012244
dasypus_novemcinctus ENSDNOG00000030738
loxodonta_africana ENSLAFG00000007754
procavia_capensis ENSPCAG00000000853
echinops_telfairi ENSETEG00000006989
sorex_araneus ENSSARG00000004511
notamacropus_eugenii ENSMEUG00000009025
phascolarctos_cinereus ENSPCIG00000016712
