astyanax_mexicanus ENSAMXG00000006407
pygocentrus_nattereri ENSPNAG00000006751
ictalurus_punctatus ENSIPUG00000020717
danio_rerio ENSDARG00000087983
tetraodon_nigroviridis ENSTNIG00000000980
takifugu_rubripes ENSTRUG00000002338
mola_mola ENSMMOG00000005894
oryzias_latipes_asm223471v1 ENSORLG00020006686
oryzias_melastigma ENSOMEG00000001590
amphiprion_percula ENSAPEG00000010662
amphiprion_ocellaris ENSAOCG00000020836
acanthochromis_polyacanthus ENSAPOG00000001825
stegastes_partitus ENSSPAG00000012027
xiphophorus_maculatus ENSXMAG00000022452
gambusia_affinis ENSGAFG00000015899
poecilia_formosa ENSPFOG00000014578
poecilia_reticulata ENSPREG00000010323
fundulus_heteroclitus ENSFHEG00000013891
kryptolebias_marmoratus ENSKMAG00000011094
astatotilapia_calliptera ENSACLG00000000443
haplochromis_burtoni ENSHBUG00000007836
maylandia_zebra ENSMZEG00005023461
amphilophus_citrinellus ENSACIG00000003380
periophthalmus_magnuspinnatus ENSPMGG00000007588
gasterosteus_aculeatus ENSGACG00000020189
seriola_dumerili ENSSDUG00000019482
seriola_lalandi_dorsalis ENSSLDG00000005432
mastacembelus_armatus ENSMAMG00000003686
labrus_bergylta ENSLBEG00000012581
hippocampus_comes ENSHCOG00000000379
anabas_testudineus ENSATEG00000002768
gadus_morhua ENSGMOG00000012116
esox_lucius ENSELUG00000005466
scleropages_formosus ENSSFOG00015021014
paramormyrops_kingsleyae ENSPKIG00000006690
gasterosteus_aculeatus ENSGACG00000006903
tetraodon_nigroviridis ENSTNIG00000004971
amphiprion_percula ENSAPEG00000020792
amphiprion_ocellaris ENSAOCG00000003134
stegastes_partitus ENSSPAG00000016519
poecilia_formosa ENSPFOG00000008069
cyprinodon_variegatus ENSCVAG00000015052
monopterus_albus ENSMALG00000010027
mastacembelus_armatus ENSMAMG00000003391
seriola_lalandi_dorsalis ENSSLDG00000017997
scophthalmus_maximus ENSSMAG00000003771
hippocampus_comes ENSHCOG00000011448
gadus_morhua ENSGMOG00000008789
esox_lucius ENSELUG00000018582
pygocentrus_nattereri ENSPNAG00000023446
danio_rerio ENSDARG00000090953
paramormyrops_kingsleyae ENSPKIG00000012261
