cyprinodon_variegatus ENSCVAG00000018685
fundulus_heteroclitus ENSFHEG00000016140
poecilia_formosa ENSPFOG00000005440
poecilia_mexicana ENSPMEG00000014072
poecilia_latipinna ENSPLAG00000010315
poecilia_reticulata ENSPREG00000013672
xiphophorus_maculatus ENSXMAG00000000472
xiphophorus_couchianus ENSXCOG00000018718
gambusia_affinis ENSGAFG00000020064
kryptolebias_marmoratus ENSKMAG00000022077
amphiprion_ocellaris ENSAOCG00000023490
amphiprion_percula ENSAPEG00000021614
acanthochromis_polyacanthus ENSAPOG00000013190
stegastes_partitus ENSSPAG00000012631
maylandia_zebra ENSMZEG00005024457
astatotilapia_calliptera ENSACLG00000011335
pundamilia_nyererei ENSPNYG00000008338
haplochromis_burtoni ENSHBUG00000013725
oreochromis_niloticus ENSONIG00000018628
neolamprologus_brichardi ENSNBRG00000011487
amphilophus_citrinellus ENSACIG00000007327
monopterus_albus ENSMALG00000018853
mastacembelus_armatus ENSMAMG00000001911
anabas_testudineus ENSATEG00000022113
scophthalmus_maximus ENSSMAG00000015749
cynoglossus_semilaevis ENSCSEG00000014348
seriola_lalandi_dorsalis ENSSLDG00000011398
seriola_dumerili ENSSDUG00000012315
labrus_bergylta ENSLBEG00000013524
gasterosteus_aculeatus ENSGACG00000016976
mola_mola ENSMMOG00000020495
periophthalmus_magnuspinnatus ENSPMGG00000009681
tetraodon_nigroviridis ENSTNIG00000011372
takifugu_rubripes ENSTRUG00000004767
oryzias_latipes_asm223471v1 ENSORLG00020004218
oryzias_latipes_asm223469v1 ENSORLG00015004079
oryzias_latipes_asm223467v1 ENSORLG00000017958
oryzias_melastigma ENSOMEG00000012017
hippocampus_comes ENSHCOG00000002770
gadus_morhua ENSGMOG00000012538
esox_lucius ENSELUG00000013005
pygocentrus_nattereri ENSPNAG00000010687
astyanax_mexicanus ENSAMXG00000006340
ictalurus_punctatus ENSIPUG00000013979
danio_rerio ENSDARG00000060362
paramormyrops_kingsleyae ENSPKIG00000020386
scleropages_formosus ENSSFOG00015010546
lepisosteus_oculatus ENSLOCG00000007207
latimeria_chalumnae ENSLACG00000015420
petromyzon_marinus ENSPMAG00000003891
eptatretus_burgeri ENSEBUG00000002916
