poecilia_reticulata ENSPREG00000008678
poecilia_formosa ENSPFOG00000009385
gambusia_affinis ENSGAFG00000002100
xiphophorus_maculatus ENSXMAG00000007782
kryptolebias_marmoratus ENSKMAG00000006980
oryzias_latipes_asm223469v1 ENSORLG00015001299
oryzias_latipes_asm223471v1 ENSORLG00020017115
oryzias_melastigma ENSOMEG00000008271
haplochromis_burtoni ENSHBUG00000004952
astatotilapia_calliptera ENSACLG00000007443
pundamilia_nyererei ENSPNYG00000017449
maylandia_zebra ENSMZEG00005025226
oreochromis_niloticus ENSONIG00000008704
neolamprologus_brichardi ENSNBRG00000002658
amphilophus_citrinellus ENSACIG00000018000
amphiprion_ocellaris ENSAOCG00000021671
amphiprion_percula ENSAPEG00000016948
mastacembelus_armatus ENSMAMG00000021138
anabas_testudineus ENSATEG00000008334
cynoglossus_semilaevis ENSCSEG00000018863
gasterosteus_aculeatus ENSGACG00000020476
labrus_bergylta ENSLBEG00000000453
tetraodon_nigroviridis ENSTNIG00000016129
takifugu_rubripes ENSTRUG00000012111
mola_mola ENSMMOG00000011526
scophthalmus_maximus ENSSMAG00000019431
hippocampus_comes ENSHCOG00000009262
acanthochromis_polyacanthus ENSAPOG00000017200
stegastes_partitus ENSSPAG00000009660
poecilia_latipinna ENSPLAG00000008870
poecilia_mexicana ENSPMEG00000019653
xiphophorus_couchianus ENSXCOG00000007078
fundulus_heteroclitus ENSFHEG00000021797
monopterus_albus ENSMALG00000017746
periophthalmus_magnuspinnatus ENSPMGG00000005627
gadus_morhua ENSGMOG00000006831
seriola_dumerili ENSSDUG00000019449
seriola_lalandi_dorsalis ENSSLDG00000016096
esox_lucius ENSELUG00000006147
cyprinodon_variegatus ENSCVAG00000013207
pygocentrus_nattereri ENSPNAG00000014777
astyanax_mexicanus ENSAMXG00000035067
ictalurus_punctatus ENSIPUG00000008496
danio_rerio ENSDARG00000053875
