oreochromis_niloticus ENSONIG00000005761
poecilia_formosa ENSPFOG00000022780
poecilia_formosa ENSPFOG00000018587
kryptolebias_marmoratus ENSKMAG00000022248
oryzias_melastigma ENSOMEG00000019100
kryptolebias_marmoratus ENSKMAG00000022249
cyprinodon_variegatus ENSCVAG00000002620
oryzias_latipes_asm223467v1 ENSORLG00000024302
amphilophus_citrinellus ENSACIG00000003307
haplochromis_burtoni ENSHBUG00000015896
astatotilapia_calliptera ENSACLG00000020710
pundamilia_nyererei ENSPNYG00000011045
poecilia_reticulata ENSPREG00000017241
cynoglossus_semilaevis ENSCSEG00000009831
hippocampus_comes ENSHCOG00000018763
astyanax_mexicanus ENSAMXG00000029947
numida_meleagris ENSNMEG00000012082
eptatretus_burgeri ENSEBUG00000010931
