zonotrichia_albicollis ENSZALG00000013760
serinus_canaria ENSSCAG00000006174
lepidothrix_coronata ENSLCOG00000002151
numida_meleagris ENSNMEG00000004790
gallus_gallus ENSGALG00000005287
melopsittacus_undulatus ENSMUNG00000003825
parus_major ENSPMJG00000004252
cyanistes_caeruleus ENSCCEG00000008082
lonchura_striata_domestica ENSLSDG00000000345
junco_hyemalis ENSJHYG00000001385
manacus_vitellinus ENSMVIG00005013443
melopsittacus_undulatus ENSMUNG00000003826
calidris_pugnax ENSCPUG00000019112
anser_brachyrhynchus ENSABRG00000001728
anas_platyrhynchos_platyrhynchos ENSAPLG00000022037
meleagris_gallopavo ENSMGAG00000002353
taeniopygia_guttata ENSTGUG00000000272
dromaius_novaehollandiae ENSDNVG00000018844
crocodylus_porosus ENSCPRG00005002404
gopherus_agassizii ENSGAGG00000006869
chelonoidis_abingdonii ENSCABG00000006840
chrysemys_picta_bellii ENSCPBG00000004296
pelodiscus_sinensis ENSPSIG00000018010
notechis_scutatus ENSNSUG00000014682
notechis_scutatus ENSNSUG00000014681
anolis_carolinensis ENSACAG00000006705
salvator_merianae ENSSMRG00000016854
pogona_vitticeps ENSPVIG00000001533
apteryx_haastii ENSAHAG00000004767
apteryx_owenii ENSAOWG00000017154
apteryx_rowi ENSARWG00000001683
nothoprocta_perdicaria ENSNPEG00000004217
phascolarctos_cinereus ENSPCIG00000030696
monodelphis_domestica ENSMODG00000013582
notamacropus_eugenii ENSMEUG00000013550
sarcophilus_harrisii ENSSHAG00000007698
pan_troglodytes ENSPTRG00000014798
pan_paniscus ENSPPAG00000028513
homo_sapiens ENSG00000114853
gorilla_gorilla ENSGGOG00000000433
nomascus_leucogenys ENSNLEG00000005859
piliocolobus_tephrosceles ENSPTEG00000014369
colobus_angolensis_palliatus ENSCANG00000032693
rhinopithecus_roxellana ENSRROG00000030327
macaca_mulatta ENSMMUG00000021243
macaca_nemestrina ENSMNEG00000027370
macaca_fascicularis ENSMFAG00000042184
mandrillus_leucophaeus ENSMLEG00000042601
theropithecus_gelada ENSTGEG00000014504
cercocebus_atys ENSCATG00000033756
papio_anubis ENSPANG00000008922
chlorocebus_sabaeus ENSCSAG00000016763
saimiri_boliviensis_boliviensis ENSSBOG00000020906
cebus_capucinus_imitator ENSCCAG00000036182
callithrix_jacchus ENSCJAG00000038339
aotus_nancymaae ENSANAG00000037099
propithecus_coquereli ENSPCOG00000026676
prolemur_simus ENSPSMG00000010902
microcebus_murinus ENSMICG00000049526
tupaia_belangeri ENSTBEG00000012209
fukomys_damarensis ENSFDAG00000019359
rhinopithecus_bieti ENSRBIG00000036706
tursiops_truncatus ENSTTRG00000009725
bos_mutus ENSBMUG00000017495
sus_scrofa ENSSSCG00000030065
ovis_aries ENSOARG00000003667
capra_hircus ENSCHIG00000025748
bos_taurus ENSBTAG00000017365
ursus_americanus ENSUAMG00000008413
canis_lupus_familiaris ENSCAFG00000030889
canis_lupus_dingo ENSCAFG00020025264
vulpes_vulpes ENSVVUG00000005205
ailuropoda_melanoleuca ENSAMEG00000012484
mustela_putorius_furo ENSMPUG00000011833
neovison_vison ENSNVIG00000016940
panthera_pardus ENSPPRG00000006343
felis_catus ENSFCAG00000000532
equus_asinus_asinus ENSEASG00005007917
equus_caballus ENSECAG00000020244
loxodonta_africana ENSLAFG00000003570
cavia_porcellus ENSCPOG00000025338
cavia_aperea ENSCAPG00000012212
octodon_degus ENSODEG00000010242
chinchilla_lanigera ENSCLAG00000017291
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019142
microtus_ochrogaster ENSMOCG00000022719
peromyscus_maniculatus_bairdii ENSPEMG00000006577
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022459
cricetulus_griseus_crigri_1.0 ENSCGRG00000005967
cricetulus_griseus_crigri-picr ENSCGRG00015011178
mesocricetus_auratus ENSMAUG00000017968
mus_spicilegus ENSMSIG00000023124
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033978
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000013419
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032830
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015696
rattus_norvegicus ENSRNOG00000019382
nannospalax_galili ENSNGAG00000018039
castor_canadensis ENSCCNG00000003100
urocitellus_parryii ENSUPAG00010012166
marmota_marmota_marmota ENSMMMG00000009235
ictidomys_tridecemlineatus ENSSTOG00000003116
oryctolagus_cuniculus ENSOCUG00000020899
ochotona_princeps ENSOPRG00000016005
echinops_telfairi ENSETEG00000013682
carlito_syrichta ENSTSYG00000029574
prolemur_simus ENSPSMG00000003075
myotis_lucifugus ENSMLUG00000001613
procavia_capensis ENSPCAG00000013944
ursus_maritimus ENSUMAG00000002012
erinaceus_europaeus ENSEEUG00000002770
meriones_unguiculatus ENSMUGG00000023724
dipodomys_ordii ENSDORG00000027109
spermophilus_dauricus ENSSDAG00000004885
dasypus_novemcinctus ENSDNOG00000045092
otolemur_garnettii ENSOGAG00000003836
pongo_abelii ENSPPYG00000029781
xenopus_tropicalis ENSXETG00000006162
ornithorhynchus_anatinus ENSOANG00000010793
panthera_tigris_altaica ENSPTIG00000013306
taeniopygia_guttata ENSTGUG00000000271
paramormyrops_kingsleyae ENSPKIG00000015049
