sphenodon_punctatus ENSSPUG00000001603
pogona_vitticeps ENSPVIG00000010584
gopherus_agassizii ENSGAGG00000000786
chrysemys_picta_bellii ENSCPBG00000005511
pelodiscus_sinensis ENSPSIG00000017825
apteryx_owenii ENSAOWG00000014905
apteryx_haastii ENSAHAG00000014513
apteryx_rowi ENSARWG00000011352
dromaius_novaehollandiae ENSDNVG00000009307
anser_brachyrhynchus ENSABRG00000004152
anas_platyrhynchos_platyrhynchos ENSAPLG00000014325
pteropus_vampyrus ENSPVAG00000009565
myotis_lucifugus ENSMLUG00000001571
equus_caballus ENSECAG00000016436
equus_asinus_asinus ENSEASG00005011410
ovis_aries ENSOARG00000019308
capra_hircus ENSCHIG00000022611
bos_taurus ENSBTAG00000011871
bos_mutus ENSBMUG00000010130
bison_bison_bison ENSBBBG00000009104
vicugna_pacos ENSVPAG00000007141
ursus_maritimus ENSUMAG00000004649
ursus_americanus ENSUAMG00000013115
ailuropoda_melanoleuca ENSAMEG00000018123
neovison_vison ENSNVIG00000014688
mustela_putorius_furo ENSMPUG00000000343
canis_lupus_familiaris ENSCAFG00000010480
canis_lupus_dingo ENSCAFG00020007391
vulpes_vulpes ENSVVUG00000021974
panthera_tigris_altaica ENSPTIG00000005431
panthera_pardus ENSPPRG00000001344
felis_catus ENSFCAG00000009373
erinaceus_europaeus ENSEEUG00000005654
pan_troglodytes ENSPTRG00000015219
pan_paniscus ENSPPAG00000041479
homo_sapiens ENSG00000186265
gorilla_gorilla ENSGGOG00000041634
pongo_abelii ENSPPYG00000013549
nomascus_leucogenys ENSNLEG00000028065
rhinopithecus_roxellana ENSRROG00000045466
rhinopithecus_bieti ENSRBIG00000042877
colobus_angolensis_palliatus ENSCANG00000025296
piliocolobus_tephrosceles ENSPTEG00000023960
macaca_nemestrina ENSMNEG00000029736
macaca_mulatta ENSMMUG00000014231
macaca_fascicularis ENSMFAG00000003080
cercocebus_atys ENSCATG00000036497
mandrillus_leucophaeus ENSMLEG00000030354
theropithecus_gelada ENSTGEG00000002297
papio_anubis ENSPANG00000019977
chlorocebus_sabaeus ENSCSAG00000006638
callithrix_jacchus ENSCJAG00000046187
saimiri_boliviensis_boliviensis ENSSBOG00000025065
cebus_capucinus_imitator ENSCCAG00000021583
aotus_nancymaae ENSANAG00000014799
carlito_syrichta ENSTSYG00000010051
prolemur_simus ENSPSMG00000014202
propithecus_coquereli ENSPCOG00000025192
microcebus_murinus ENSMICG00000049218
otolemur_garnettii ENSOGAG00000014110
castor_canadensis ENSCCNG00000026730
dipodomys_ordii ENSDORG00000006665
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017164
cricetulus_griseus_crigri_1.0 ENSCGRG00000004294
cricetulus_griseus_crigri-picr ENSCGRG00015014758
mesocricetus_auratus ENSMAUG00000010961
microtus_ochrogaster ENSMOCG00000018693
peromyscus_maniculatus_bairdii ENSPEMG00000030512
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000052013
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021676
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020777
mus_spicilegus ENSMSIG00000002375
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016476
rattus_norvegicus ENSRNOG00000030246
meriones_unguiculatus ENSMUGG00000026155
nannospalax_galili ENSNGAG00000011136
chinchilla_lanigera ENSCLAG00000012946
octodon_degus ENSODEG00000010916
cavia_porcellus ENSCPOG00000031282
cavia_aperea ENSCAPG00000012456
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017114
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001433
urocitellus_parryii ENSUPAG00010019423
ictidomys_tridecemlineatus ENSSTOG00000005587
spermophilus_dauricus ENSSDAG00000008255
marmota_marmota_marmota ENSMMMG00000011384
dasypus_novemcinctus ENSDNOG00000049534
loxodonta_africana ENSLAFG00000016285
procavia_capensis ENSPCAG00000009972
notamacropus_eugenii ENSMEUG00000011277
phascolarctos_cinereus ENSPCIG00000017868
ornithorhynchus_anatinus ENSOANG00000010836
