crocodylus_porosus ENSCPRG00005009620
coturnix_japonica ENSCJPG00005017496
notechis_scutatus ENSNSUG00000011000
pogona_vitticeps ENSPVIG00000013008
salvator_merianae ENSSMRG00000004057
latimeria_chalumnae ENSLACG00000012966
pygocentrus_nattereri ENSPNAG00000021864
astyanax_mexicanus ENSAMXG00000034636
ictalurus_punctatus ENSIPUG00000014549
danio_rerio ENSDARG00000104287
esox_lucius ENSELUG00000021306
scleropages_formosus ENSSFOG00015005905
paramormyrops_kingsleyae ENSPKIG00000022620
mola_mola ENSMMOG00000015356
takifugu_rubripes ENSTRUG00000024059
labrus_bergylta ENSLBEG00000020392
labrus_bergylta ENSLBEG00000019462
seriola_dumerili ENSSDUG00000012652
seriola_lalandi_dorsalis ENSSLDG00000014042
amphiprion_ocellaris ENSAOCG00000021444
amphiprion_percula ENSAPEG00000002443
acanthochromis_polyacanthus ENSAPOG00000009808
stegastes_partitus ENSSPAG00000021908
haplochromis_burtoni ENSHBUG00000013354
pundamilia_nyererei ENSPNYG00000014248
maylandia_zebra ENSMZEG00005017226
astatotilapia_calliptera ENSACLG00000000002
neolamprologus_brichardi ENSNBRG00000000461
oreochromis_niloticus ENSONIG00000018088
amphilophus_citrinellus ENSACIG00000002375
cyprinodon_variegatus ENSCVAG00000002858
fundulus_heteroclitus ENSFHEG00000006747
xiphophorus_couchianus ENSXCOG00000017720
gambusia_affinis ENSGAFG00000003128
poecilia_reticulata ENSPREG00000001921
poecilia_reticulata ENSPREG00000008144
poecilia_formosa ENSPFOG00000008324
poecilia_latipinna ENSPLAG00000012007
poecilia_mexicana ENSPMEG00000024034
xiphophorus_maculatus ENSXMAG00000022903
kryptolebias_marmoratus ENSKMAG00000012842
oryzias_latipes_asm223471v1 ENSORLG00020003047
oryzias_latipes_asm223467v1 ENSORLG00000027156
oryzias_latipes_asm223469v1 ENSORLG00015005451
oryzias_melastigma ENSOMEG00000003119
gasterosteus_aculeatus ENSGACG00000014182
cynoglossus_semilaevis ENSCSEG00000007014
hippocampus_comes ENSHCOG00000004865
monopterus_albus ENSMALG00000012960
mastacembelus_armatus ENSMAMG00000000412
anabas_testudineus ENSATEG00000009922
periophthalmus_magnuspinnatus ENSPMGG00000004992
gadus_morhua ENSGMOG00000015712
lepisosteus_oculatus ENSLOCG00000005078
eptatretus_burgeri ENSEBUG00000004156
