gorilla_gorilla ENSGGOG00000008325
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006618
nothoprocta_perdicaria ENSNPEG00000009036
lonchura_striata_domestica ENSLSDG00000003522
seriola_lalandi_dorsalis ENSSLDG00000002647
pan_troglodytes ENSPTRG00000005071
homo_sapiens ENSG00000111540
pongo_abelii ENSPPYG00000004639
nomascus_leucogenys ENSNLEG00000027272
rhinopithecus_roxellana ENSRROG00000037973
rhinopithecus_bieti ENSRBIG00000013165
piliocolobus_tephrosceles ENSPTEG00000033215
colobus_angolensis_palliatus ENSCANG00000031085
theropithecus_gelada ENSTGEG00000012595
papio_anubis ENSPANG00000021075
chlorocebus_sabaeus ENSCSAG00000005277
nomascus_leucogenys ENSNLEG00000017570
pan_paniscus ENSPPAG00000035431
macaca_nemestrina ENSMNEG00000005338
macaca_fascicularis ENSMFAG00000029992
macaca_mulatta ENSMMUG00000031853
mandrillus_leucophaeus ENSMLEG00000034462
cercocebus_atys ENSCATG00000034978
callithrix_jacchus ENSCJAG00000041780
cebus_capucinus_imitator ENSCCAG00000019480
aotus_nancymaae ENSANAG00000033215
carlito_syrichta ENSTSYG00000009576
saimiri_boliviensis_boliviensis ENSSBOG00000035419
propithecus_coquereli ENSPCOG00000016461
prolemur_simus ENSPSMG00000024526
microcebus_murinus ENSMICG00000011086
otolemur_garnettii ENSOGAG00000007054
myotis_lucifugus ENSMLUG00000003602
sus_scrofa ENSSSCG00000040846
castor_canadensis ENSCCNG00000016321
dipodomys_ordii ENSDORG00000025063
microtus_ochrogaster ENSMOCG00000013073
microtus_ochrogaster ENSMOCG00000014506
cricetulus_griseus_crigri_1.0 ENSCGRG00000011404
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016774
mus_spicilegus ENSMSIG00000000582
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000000711
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015949
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031135
rattus_norvegicus ENSRNOG00000006130
cricetulus_griseus_crigri-picr ENSCGRG00015028209
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000428
cricetulus_griseus_crigri_1.0 ENSCGRG00000009508
mesocricetus_auratus ENSMAUG00000011613
meriones_unguiculatus ENSMUGG00000022703
meriones_unguiculatus ENSMUGG00000010098
nannospalax_galili ENSNGAG00000018216
jaculus_jaculus ENSJJAG00000019506
cavia_porcellus ENSCPOG00000034818
chinchilla_lanigera ENSCLAG00000012165
octodon_degus ENSODEG00000003860
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017807
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003800
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012955
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005995
fukomys_damarensis ENSFDAG00000008326
spermophilus_dauricus ENSSDAG00000006349
urocitellus_parryii ENSUPAG00010015197
ictidomys_tridecemlineatus ENSSTOG00000010536
marmota_marmota_marmota ENSMMMG00000014124
oryctolagus_cuniculus ENSOCUG00000013895
ochotona_princeps ENSOPRG00000007883
tupaia_belangeri ENSTBEG00000005134
loxodonta_africana ENSLAFG00000018009
echinops_telfairi ENSETEG00000009603
procavia_capensis ENSPCAG00000010486
procavia_capensis ENSPCAG00000005639
dasypus_novemcinctus ENSDNOG00000016952
ovis_aries ENSOARG00000010651
capra_hircus ENSCHIG00000010333
bos_taurus ENSBTAG00000014129
bos_mutus ENSBMUG00000017406
bison_bison_bison ENSBBBG00000003151
sus_scrofa ENSSSCG00000037597
erinaceus_europaeus ENSEEUG00000006745
equus_caballus ENSECAG00000023306
equus_asinus_asinus ENSEASG00005002862
sorex_araneus ENSSARG00000006237
tursiops_truncatus ENSTTRG00000015001
ursus_maritimus ENSUMAG00000016263
ursus_americanus ENSUAMG00000014651
ailuropoda_melanoleuca ENSAMEG00000003196
neovison_vison ENSNVIG00000022167
mustela_putorius_furo ENSMPUG00000000946
canis_lupus_familiaris ENSCAFG00000000087
canis_lupus_dingo ENSCAFG00020026094
vulpes_vulpes ENSVVUG00000022054
panthera_pardus ENSPPRG00000005396
panthera_tigris_altaica ENSPTIG00000018924
felis_catus ENSFCAG00000013974
pteropus_vampyrus ENSPVAG00000007556
peromyscus_maniculatus_bairdii ENSPEMG00000030783
peromyscus_maniculatus_bairdii ENSPEMG00000028160
anas_platyrhynchos_platyrhynchos ENSAPLG00000020953
pogona_vitticeps ENSPVIG00000017578
anolis_carolinensis ENSACAG00000005380
notechis_scutatus ENSNSUG00000008442
salvator_merianae ENSSMRG00000004975
sphenodon_punctatus ENSSPUG00000014873
chelonoidis_abingdonii ENSCABG00000006954
gopherus_agassizii ENSGAGG00000004003
chrysemys_picta_bellii ENSCPBG00000012712
pelodiscus_sinensis ENSPSIG00000003068
gallus_gallus ENSGALG00000042482
meleagris_gallopavo ENSMGAG00000003408
coturnix_japonica ENSCJPG00005001980
calidris_pygmaea ENSCPGG00000005891
calidris_pugnax ENSCPUG00000013915
lepidothrix_coronata ENSLCOG00000007752
anser_brachyrhynchus ENSABRG00000020893
apteryx_haastii ENSAHAG00000015239
apteryx_owenii ENSAOWG00000006701
apteryx_rowi ENSARWG00000005468
dromaius_novaehollandiae ENSDNVG00000014459
xenopus_tropicalis ENSXETG00000006194
latimeria_chalumnae ENSLACG00000018961
scleropages_formosus ENSSFOG00015017299
paramormyrops_kingsleyae ENSPKIG00000004935
notamacropus_eugenii ENSMEUG00000011343
phascolarctos_cinereus ENSPCIG00000024654
sarcophilus_harrisii ENSSHAG00000007727
