panthera_tigris_altaica ENSPTIG00000016482
panthera_pardus ENSPPRG00000002967
felis_catus ENSFCAG00000040609
neovison_vison ENSNVIG00000005178
bison_bison_bison ENSBBBG00000022809
bos_mutus ENSBMUG00000012526
ovis_aries ENSOARG00000007748
cebus_capucinus_imitator ENSCCAG00000028208
saimiri_boliviensis_boliviensis ENSSBOG00000025265
callithrix_jacchus ENSCJAG00000046498
aotus_nancymaae ENSANAG00000022850
pan_troglodytes ENSPTRG00000047648
homo_sapiens ENSG00000255274
gorilla_gorilla ENSGGOG00000036636
nomascus_leucogenys ENSNLEG00000030242
macaca_nemestrina ENSMNEG00000008662
macaca_fascicularis ENSMFAG00000000547
cercocebus_atys ENSCATG00000044676
papio_anubis ENSPANG00000033529
mandrillus_leucophaeus ENSMLEG00000007369
rhinopithecus_roxellana ENSRROG00000035711
rhinopithecus_bieti ENSRBIG00000044593
piliocolobus_tephrosceles ENSPTEG00000020907
colobus_angolensis_palliatus ENSCANG00000036344
carlito_syrichta ENSTSYG00000029921
microcebus_murinus ENSMICG00000046322
propithecus_coquereli ENSPCOG00000011686
prolemur_simus ENSPSMG00000001545
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000091996
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033280
mus_spicilegus ENSMSIG00000009683
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032141
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015011
rattus_norvegicus ENSRNOG00000047939
meriones_unguiculatus ENSMUGG00000011316
microtus_ochrogaster ENSMOCG00000004113
peromyscus_maniculatus_bairdii ENSPEMG00000018417
cricetulus_griseus_crigri_1.0 ENSCGRG00000004126
cricetulus_griseus_crigri-picr ENSCGRG00015017581
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005398
mesocricetus_auratus ENSMAUG00000012776
nannospalax_galili ENSNGAG00000012139
dipodomys_ordii ENSDORG00000025878
urocitellus_parryii ENSUPAG00010006235
ictidomys_tridecemlineatus ENSSTOG00000024897
marmota_marmota_marmota ENSMMMG00000022777
spermophilus_dauricus ENSSDAG00000005371
castor_canadensis ENSCCNG00000008562
jaculus_jaculus ENSJJAG00000009586
chinchilla_lanigera ENSCLAG00000011882
octodon_degus ENSODEG00000008714
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017558
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014770
fukomys_damarensis ENSFDAG00000013120
cavia_porcellus ENSCPOG00000037236
dasypus_novemcinctus ENSDNOG00000034116
phascolarctos_cinereus ENSPCIG00000011983
