marmota_marmota_marmota ENSMMMG00000021676
cavia_porcellus ENSCPOG00000006718
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028934
cricetulus_griseus_crigri-picr ENSCGRG00015025519
oryctolagus_cuniculus ENSOCUG00000016834
gorilla_gorilla ENSGGOG00000022360
felis_catus ENSFCAG00000022695
panthera_tigris_altaica ENSPTIG00000014535
bos_taurus ENSBTAG00000011765
bison_bison_bison ENSBBBG00000023196
ovis_aries ENSOARG00000021009
equus_asinus_asinus ENSEASG00005014796
notamacropus_eugenii ENSMEUG00000002873
carlito_syrichta ENSTSYG00000036051
carlito_syrichta ENSTSYG00000032446
carlito_syrichta ENSTSYG00000037136
pan_troglodytes ENSPTRG00000040709
pan_paniscus ENSPPAG00000005940
gorilla_gorilla ENSGGOG00000007570
pongo_abelii ENSPPYG00000006780
macaca_nemestrina ENSMNEG00000039809
macaca_fascicularis ENSMFAG00000030068
cercocebus_atys ENSCATG00000029975
papio_anubis ENSPANG00000030914
piliocolobus_tephrosceles ENSPTEG00000015601
colobus_angolensis_palliatus ENSCANG00000039022
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012169
spermophilus_dauricus ENSSDAG00000021578
procavia_capensis ENSPCAG00000004727
sarcophilus_harrisii ENSSHAG00000003218
ursus_maritimus ENSUMAG00000016270
sus_scrofa ENSSSCG00000000645
ornithorhynchus_anatinus ENSOANG00000003562
dipodomys_ordii ENSDORG00000024461
coturnix_japonica ENSCJPG00005017148
meleagris_gallopavo ENSMGAG00000014228
anser_brachyrhynchus ENSABRG00000009899
zonotrichia_albicollis ENSZALG00000003687
junco_hyemalis ENSJHYG00000009941
ficedula_albicollis ENSFALG00000003648
chelonoidis_abingdonii ENSCABG00000002282
melopsittacus_undulatus ENSMUNG00000014463
canis_lupus_familiaris ENSCAFG00000013479
vicugna_pacos ENSVPAG00000002094
peromyscus_maniculatus_bairdii ENSPEMG00000024648
cricetulus_griseus_crigri_1.0 ENSCGRG00000005696
meriones_unguiculatus ENSMUGG00000014233
cavia_aperea ENSCAPG00000017036
castor_canadensis ENSCCNG00000030053
aotus_nancymaae ENSANAG00000038347
saimiri_boliviensis_boliviensis ENSSBOG00000022409
chlorocebus_sabaeus ENSCSAG00000009078
apteryx_owenii ENSAOWG00000004693
serinus_canaria ENSSCAG00000008719
chrysemys_picta_bellii ENSCPBG00000014114
ictidomys_tridecemlineatus ENSSTOG00000002246
chinchilla_lanigera ENSCLAG00000015208
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022697
mus_spicilegus ENSMSIG00000030105
mesocricetus_auratus ENSMAUG00000009080
carlito_syrichta ENSTSYG00000033601
panthera_pardus ENSPPRG00000015032
numida_meleagris ENSNMEG00000016585
anas_platyrhynchos_platyrhynchos ENSAPLG00000028817
manacus_vitellinus ENSMVIG00005019912
lepidothrix_coronata ENSLCOG00000010670
pogona_vitticeps ENSPVIG00000011233
nomascus_leucogenys ENSNLEG00000029077
homo_sapiens ENSG00000139112
rhinopithecus_bieti ENSRBIG00000038034
rhinopithecus_roxellana ENSRROG00000036376
colobus_angolensis_palliatus ENSCANG00000037817
piliocolobus_tephrosceles ENSPTEG00000007007
macaca_nemestrina ENSMNEG00000040661
macaca_fascicularis ENSMFAG00000037621
theropithecus_gelada ENSTGEG00000003368
papio_anubis ENSPANG00000015789
cercocebus_atys ENSCATG00000043779
mandrillus_leucophaeus ENSMLEG00000037692
cebus_capucinus_imitator ENSCCAG00000031173
saimiri_boliviensis_boliviensis ENSSBOG00000023150
aotus_nancymaae ENSANAG00000017627
prolemur_simus ENSPSMG00000004012
microcebus_murinus ENSMICG00000027751
neovison_vison ENSNVIG00000010216
callithrix_jacchus ENSCJAG00000048408
notechis_scutatus ENSNSUG00000000483
dromaius_novaehollandiae ENSDNVG00000009799
pteropus_vampyrus ENSPVAG00000006605
vulpes_vulpes ENSVVUG00000005149
nannospalax_galili ENSNGAG00000002373
rattus_norvegicus ENSRNOG00000053362
loxodonta_africana ENSLAFG00000003563
monodelphis_domestica ENSMODG00000024937
ursus_americanus ENSUAMG00000018185
capra_hircus ENSCHIG00000025179
microtus_ochrogaster ENSMOCG00000006724
macaca_mulatta ENSMMUG00000002197
octodon_degus ENSODEG00000010037
dasypus_novemcinctus ENSDNOG00000037816
monodelphis_domestica ENSMODG00000018255
apteryx_rowi ENSARWG00000000618
nothoprocta_perdicaria ENSNPEG00000012854
taeniopygia_guttata ENSTGUG00000012057
crocodylus_porosus ENSCPRG00005001116
gopherus_agassizii ENSGAGG00000013450
pongo_abelii ENSPPYG00000004269
fukomys_damarensis ENSFDAG00000010366
myotis_lucifugus ENSMLUG00000007236
equus_caballus ENSECAG00000039152
equus_caballus ENSECAG00000014832
equus_asinus_asinus ENSEASG00005016935
phascolarctos_cinereus ENSPCIG00000009705
calidris_pugnax ENSCPUG00000006948
cyanistes_caeruleus ENSCCEG00000019261
anolis_carolinensis ENSACAG00000017563
urocitellus_parryii ENSUPAG00010003987
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022681
pan_paniscus ENSPPAG00000035460
phascolarctos_cinereus ENSPCIG00000019102
sarcophilus_harrisii ENSSHAG00000007434
taeniopygia_guttata ENSTGUG00000014174
lonchura_striata_domestica ENSLSDG00000014620
parus_major ENSPMJG00000009618
apteryx_haastii ENSAHAG00000004671
spermophilus_dauricus ENSSDAG00000020830
ochotona_princeps ENSOPRG00000015409
tupaia_belangeri ENSTBEG00000011529
canis_lupus_dingo ENSCAFG00020006236
mustela_putorius_furo ENSMPUG00000006426
erinaceus_europaeus ENSEEUG00000004976
myotis_lucifugus ENSMLUG00000029009
otolemur_garnettii ENSOGAG00000000859
pan_troglodytes ENSPTRG00000052409
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030161
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029978
jaculus_jaculus ENSJJAG00000009776
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009739
tursiops_truncatus ENSTTRG00000009099
bos_mutus ENSBMUG00000009257
ailuropoda_melanoleuca ENSAMEG00000003857
choloepus_hoffmanni ENSCHOG00000001218
monodelphis_domestica ENSMODG00000022958
pelodiscus_sinensis ENSPSIG00000008179
gallus_gallus ENSGALG00000014723
salvator_merianae ENSSMRG00000004405
xenopus_tropicalis ENSXETG00000016242
latimeria_chalumnae ENSLACG00000000868
