latimeria_chalumnae ENSLACG00000010886
xenopus_tropicalis ENSXETG00000015591
pogona_vitticeps ENSPVIG00000014048
anolis_carolinensis ENSACAG00000017242
notechis_scutatus ENSNSUG00000001059
salvator_merianae ENSSMRG00000005447
sphenodon_punctatus ENSSPUG00000015827
apteryx_haastii ENSAHAG00000014413
apteryx_owenii ENSAOWG00000005245
apteryx_rowi ENSARWG00000008965
dromaius_novaehollandiae ENSDNVG00000007244
nothoprocta_perdicaria ENSNPEG00000014902
anser_brachyrhynchus ENSABRG00000000573
anas_platyrhynchos_platyrhynchos ENSAPLG00000012854
gallus_gallus ENSGALG00000009502
meleagris_gallopavo ENSMGAG00000011490
coturnix_japonica ENSCJPG00005020156
numida_meleagris ENSNMEG00000012789
lepidothrix_coronata ENSLCOG00000010023
manacus_vitellinus ENSMVIG00005015562
junco_hyemalis ENSJHYG00000010529
zonotrichia_albicollis ENSZALG00000012755
serinus_canaria ENSSCAG00000013795
lonchura_striata_domestica ENSLSDG00000017881
taeniopygia_guttata ENSTGUG00000011274
parus_major ENSPMJG00000005695
cyanistes_caeruleus ENSCCEG00000018144
ficedula_albicollis ENSFALG00000002151
melopsittacus_undulatus ENSMUNG00000006015
calidris_pygmaea ENSCPGG00000010495
calidris_pugnax ENSCPUG00000019471
crocodylus_porosus ENSCPRG00005010141
chelonoidis_abingdonii ENSCABG00000012611
gopherus_agassizii ENSGAGG00000025611
chrysemys_picta_bellii ENSCPBG00000003324
pelodiscus_sinensis ENSPSIG00000009429
phascolarctos_cinereus ENSPCIG00000001110
notamacropus_eugenii ENSMEUG00000009229
monodelphis_domestica ENSMODG00000008434
sarcophilus_harrisii ENSSHAG00000013209
ornithorhynchus_anatinus ENSOANG00000028412
taeniopygia_guttata ENSTGUG00000016125
cricetulus_griseus_crigri_1.0 ENSCGRG00000000924
cricetulus_griseus_crigri-picr ENSCGRG00015022372
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015040
mesocricetus_auratus ENSMAUG00000007472
peromyscus_maniculatus_bairdii ENSPEMG00000022740
mus_spicilegus ENSMSIG00000008300
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030850
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031670
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030556
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013763
rattus_norvegicus ENSRNOG00000024414
meriones_unguiculatus ENSMUGG00000009866
castor_canadensis ENSCCNG00000014681
dipodomys_ordii ENSDORG00000011669
jaculus_jaculus ENSJJAG00000013127
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018201
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003338
fukomys_damarensis ENSFDAG00000008716
cavia_porcellus ENSCPOG00000025966
urocitellus_parryii ENSUPAG00010006266
ictidomys_tridecemlineatus ENSSTOG00000027779
spermophilus_dauricus ENSSDAG00000021873
marmota_marmota_marmota ENSMMMG00000001092
oryctolagus_cuniculus ENSOCUG00000003373
propithecus_coquereli ENSPCOG00000026224
microcebus_murinus ENSMICG00000009823
prolemur_simus ENSPSMG00000009100
bos_mutus ENSBMUG00000015088
bos_taurus ENSBTAG00000003178
bison_bison_bison ENSBBBG00000010422
ovis_aries ENSOARG00000005882
capra_hircus ENSCHIG00000011980
sus_scrofa ENSSSCG00000010699
myotis_lucifugus ENSMLUG00000001988
equus_asinus_asinus ENSEASG00005014421
equus_caballus ENSECAG00000012383
ursus_maritimus ENSUMAG00000004457
ursus_americanus ENSUAMG00000026361
neovison_vison ENSNVIG00000006880
mustela_putorius_furo ENSMPUG00000002968
canis_lupus_familiaris ENSCAFG00000012400
canis_lupus_dingo ENSCAFG00020014791
felis_catus ENSFCAG00000027935
panthera_pardus ENSPPRG00000009731
dasypus_novemcinctus ENSDNOG00000040512
chinchilla_lanigera ENSCLAG00000002097
octodon_degus ENSODEG00000017714
cavia_aperea ENSCAPG00000016578
nannospalax_galili ENSNGAG00000011904
microtus_ochrogaster ENSMOCG00000006090
tupaia_belangeri ENSTBEG00000012746
theropithecus_gelada ENSTGEG00000028185
chlorocebus_sabaeus ENSCSAG00000004660
rhinopithecus_roxellana ENSRROG00000037354
rhinopithecus_roxellana ENSRROG00000027276
colobus_angolensis_palliatus ENSCANG00000028784
carlito_syrichta ENSTSYG00000003017
otolemur_garnettii ENSOGAG00000010023
tursiops_truncatus ENSTTRG00000002169
vicugna_pacos ENSVPAG00000006532
pteropus_vampyrus ENSPVAG00000012122
ailuropoda_melanoleuca ENSAMEG00000010918
vulpes_vulpes ENSVVUG00000011469
panthera_tigris_altaica ENSPTIG00000021995
erinaceus_europaeus ENSEEUG00000014993
sorex_araneus ENSSARG00000008931
loxodonta_africana ENSLAFG00000016891
echinops_telfairi ENSETEG00000012702
ochotona_princeps ENSOPRG00000002291
choloepus_hoffmanni ENSCHOG00000012636
mandrillus_leucophaeus ENSMLEG00000029782
cercocebus_atys ENSCATG00000039070
papio_anubis ENSPANG00000020496
macaca_nemestrina ENSMNEG00000039140
macaca_fascicularis ENSMFAG00000043722
macaca_mulatta ENSMMUG00000021594
rhinopithecus_bieti ENSRBIG00000039407
piliocolobus_tephrosceles ENSPTEG00000033463
pan_paniscus ENSPPAG00000039734
homo_sapiens ENSG00000107669
pongo_abelii ENSPPYG00000002711
gorilla_gorilla ENSGGOG00000008233
pan_troglodytes ENSPTRG00000003005
nomascus_leucogenys ENSNLEG00000016908
cebus_capucinus_imitator ENSCCAG00000028520
saimiri_boliviensis_boliviensis ENSSBOG00000033557
callithrix_jacchus ENSCJAG00000001411
aotus_nancymaae ENSANAG00000036713
procavia_capensis ENSPCAG00000015419
poecilia_mexicana ENSPMEG00000017359
poecilia_latipinna ENSPLAG00000007553
poecilia_reticulata ENSPREG00000009249
poecilia_formosa ENSPFOG00000019179
xiphophorus_maculatus ENSXMAG00000021121
xiphophorus_couchianus ENSXCOG00000006761
fundulus_heteroclitus ENSFHEG00000015479
cyprinodon_variegatus ENSCVAG00000017540
kryptolebias_marmoratus ENSKMAG00000009409
oryzias_latipes_asm223471v1 ENSORLG00020006250
oryzias_latipes_asm223467v1 ENSORLG00000013220
oryzias_latipes_asm223469v1 ENSORLG00015021421
oryzias_melastigma ENSOMEG00000018012
tetraodon_nigroviridis ENSTNIG00000001496
takifugu_rubripes ENSTRUG00000017594
mola_mola ENSMMOG00000008679
