neovison_vison ENSNVIG00000012996
ailuropoda_melanoleuca ENSAMEG00000001182
panthera_tigris_altaica ENSPTIG00000019971
bison_bison_bison ENSBBBG00000007754
bos_mutus ENSBMUG00000005151
peromyscus_maniculatus_bairdii ENSPEMG00000030619
cricetulus_griseus_crigri_1.0 ENSCGRG00000001260
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002777
fukomys_damarensis ENSFDAG00000005886
marmota_marmota_marmota ENSMMMG00000005905
pan_paniscus ENSPPAG00000029353
gorilla_gorilla ENSGGOG00000028421
nomascus_leucogenys ENSNLEG00000011653
mandrillus_leucophaeus ENSMLEG00000041205
saimiri_boliviensis_boliviensis ENSSBOG00000024383
