macaca_mulatta ENSMMUG00000046689
macaca_fascicularis ENSMFAG00000028360
macaca_nemestrina ENSMNEG00000011228
papio_anubis ENSPANG00000034266
theropithecus_gelada ENSTGEG00000005984
cercocebus_atys ENSCATG00000007377
mandrillus_leucophaeus ENSMLEG00000009214
piliocolobus_tephrosceles ENSPTEG00000024980
colobus_angolensis_palliatus ENSCANG00000028828
rhinopithecus_roxellana ENSRROG00000038329
rhinopithecus_bieti ENSRBIG00000032869
pan_troglodytes ENSPTRG00000051698
pan_paniscus ENSPPAG00000030372
gorilla_gorilla ENSGGOG00000040505
nomascus_leucogenys ENSNLEG00000029174
callithrix_jacchus ENSCJAG00000040507
ursus_maritimus ENSUMAG00000001838
ursus_americanus ENSUAMG00000013565
