lonchura_striata_domestica ENSLSDG00000001273
serinus_canaria ENSSCAG00000011686
junco_hyemalis ENSJHYG00000017332
zonotrichia_albicollis ENSZALG00000015925
parus_major ENSPMJG00000010363
lepidothrix_coronata ENSLCOG00000009970
numida_meleagris ENSNMEG00000021032
dromaius_novaehollandiae ENSDNVG00000017307
gallus_gallus ENSGALG00000035113
coturnix_japonica ENSCJPG00005015940
anser_brachyrhynchus ENSABRG00000007974
anas_platyrhynchos_platyrhynchos ENSAPLG00000002608
melopsittacus_undulatus ENSMUNG00000005296
calidris_pygmaea ENSCPGG00000002781
calidris_pugnax ENSCPUG00000016868
apteryx_rowi ENSARWG00000000154
apteryx_owenii ENSAOWG00000002800
apteryx_haastii ENSAHAG00000018000
gopherus_agassizii ENSGAGG00000024044
chelonoidis_abingdonii ENSCABG00000021123
chrysemys_picta_bellii ENSCPBG00000006498
pelodiscus_sinensis ENSPSIG00000000561
sphenodon_punctatus ENSSPUG00000003390
salvator_merianae ENSSMRG00000007745
notechis_scutatus ENSNSUG00000000181
nothoprocta_perdicaria ENSNPEG00000012065
loxodonta_africana ENSLAFG00000029129
procavia_capensis ENSPCAG00000010963
dasypus_novemcinctus ENSDNOG00000002970
pan_troglodytes ENSPTRG00000051593
homo_sapiens ENSG00000182108
pan_troglodytes ENSPTRG00000052123
pan_troglodytes ENSPTRG00000043841
pan_paniscus ENSPPAG00000030411
gorilla_gorilla ENSGGOG00000027053
pongo_abelii ENSPPYG00000007097
nomascus_leucogenys ENSNLEG00000010148
macaca_nemestrina ENSMNEG00000003658
macaca_fascicularis ENSMFAG00000030259
cercocebus_atys ENSCATG00000009763
papio_anubis ENSPANG00000011131
rhinopithecus_bieti ENSRBIG00000026422
rhinopithecus_roxellana ENSRROG00000025854
colobus_angolensis_palliatus ENSCANG00000037998
callithrix_jacchus ENSCJAG00000042301
callithrix_jacchus ENSCJAG00000038864
cebus_capucinus_imitator ENSCCAG00000009057
saimiri_boliviensis_boliviensis ENSSBOG00000007538
aotus_nancymaae ENSANAG00000020107
carlito_syrichta ENSTSYG00000036375
otolemur_garnettii ENSOGAG00000012738
peromyscus_maniculatus_bairdii ENSPEMG00000013552
microtus_ochrogaster ENSMOCG00000007399
meriones_unguiculatus ENSMUGG00000024813
cricetulus_griseus_crigri-picr ENSCGRG00015010715
cricetulus_griseus_crigri_1.0 ENSCGRG00000003966
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019872
mesocricetus_auratus ENSMAUG00000013713
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000038055
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020445
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021339
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016152
rattus_norvegicus ENSRNOG00000002635
nannospalax_galili ENSNGAG00000016302
dipodomys_ordii ENSDORG00000002278
jaculus_jaculus ENSJJAG00000001375
castor_canadensis ENSCCNG00000029114
marmota_marmota_marmota ENSMMMG00000005023
ictidomys_tridecemlineatus ENSSTOG00000026352
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008443
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017790
fukomys_damarensis ENSFDAG00000018260
chinchilla_lanigera ENSCLAG00000012725
octodon_degus ENSODEG00000019983
cavia_porcellus ENSCPOG00000040765
propithecus_coquereli ENSPCOG00000012746
prolemur_simus ENSPSMG00000004212
microcebus_murinus ENSMICG00000046333
ochotona_princeps ENSOPRG00000005176
bison_bison_bison ENSBBBG00000005847
ovis_aries ENSOARG00000006242
bos_mutus ENSBMUG00000015749
bos_taurus ENSBTAG00000046840
capra_hircus ENSCHIG00000011809
pteropus_vampyrus ENSPVAG00000011073
canis_lupus_familiaris ENSCAFG00000018923
canis_lupus_dingo ENSCAFG00020024799
ursus_americanus ENSUAMG00000012346
ursus_maritimus ENSUMAG00000003913
ailuropoda_melanoleuca ENSAMEG00000019081
neovison_vison ENSNVIG00000021907
panthera_pardus ENSPPRG00000016256
panthera_tigris_altaica ENSPTIG00000005247
felis_catus ENSFCAG00000044833
tursiops_truncatus ENSTTRG00000004741
sus_scrofa ENSSSCG00000037224
equus_asinus_asinus ENSEASG00005011528
equus_caballus ENSECAG00000023354
myotis_lucifugus ENSMLUG00000001928
spermophilus_dauricus ENSSDAG00000014596
sarcophilus_harrisii ENSSHAG00000006197
phascolarctos_cinereus ENSPCIG00000034176
monodelphis_domestica ENSMODG00000024780
latimeria_chalumnae ENSLACG00000003214
scleropages_formosus ENSSFOG00015014074
paramormyrops_kingsleyae ENSPKIG00000018548
amphilophus_citrinellus ENSACIG00000017342
haplochromis_burtoni ENSHBUG00000016171
takifugu_rubripes ENSTRUG00000010835
amphiprion_ocellaris ENSAOCG00000008789
amphiprion_percula ENSAPEG00000013692
periophthalmus_magnuspinnatus ENSPMGG00000001158
scophthalmus_maximus ENSSMAG00000008461
cynoglossus_semilaevis ENSCSEG00000018784
monopterus_albus ENSMALG00000018578
mastacembelus_armatus ENSMAMG00000003942
anabas_testudineus ENSATEG00000003722
labrus_bergylta ENSLBEG00000023494
mola_mola ENSMMOG00000012389
hippocampus_comes ENSHCOG00000015485
amphiprion_ocellaris ENSAOCG00000019890
acanthochromis_polyacanthus ENSAPOG00000004066
astatotilapia_calliptera ENSACLG00000010163
maylandia_zebra ENSMZEG00005007917
pundamilia_nyererei ENSPNYG00000019006
neolamprologus_brichardi ENSNBRG00000006943
oryzias_latipes_asm223467v1 ENSORLG00000030082
oryzias_latipes_asm223471v1 ENSORLG00020011087
oryzias_latipes_asm223469v1 ENSORLG00015022192
oryzias_melastigma ENSOMEG00000020334
poecilia_latipinna ENSPLAG00000013503
poecilia_formosa ENSPFOG00000019991
poecilia_mexicana ENSPMEG00000002520
poecilia_reticulata ENSPREG00000019195
xiphophorus_couchianus ENSXCOG00000017960
xiphophorus_maculatus ENSXMAG00000020103
gambusia_affinis ENSGAFG00000008981
cyprinodon_variegatus ENSCVAG00000006028
fundulus_heteroclitus ENSFHEG00000004129
gasterosteus_aculeatus ENSGACG00000014382
seriola_lalandi_dorsalis ENSSLDG00000017131
seriola_dumerili ENSSDUG00000015394
gadus_morhua ENSGMOG00000019984
kryptolebias_marmoratus ENSKMAG00000018039
cyprinodon_variegatus ENSCVAG00000019026
stegastes_partitus ENSSPAG00000015346
esox_lucius ENSELUG00000014050
astyanax_mexicanus ENSAMXG00000025771
pygocentrus_nattereri ENSPNAG00000011754
ictalurus_punctatus ENSIPUG00000014197
danio_rerio ENSDARG00000055474
lepisosteus_oculatus ENSLOCG00000018106
