rhinopithecus_roxellana ENSRROG00000043090
rhinopithecus_bieti ENSRBIG00000036066
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027445
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017223
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028442
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021743
nannospalax_galili ENSNGAG00000012457
jaculus_jaculus ENSJJAG00000023150
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002694
octodon_degus ENSODEG00000002822
cavia_porcellus ENSCPOG00000036603
dipodomys_ordii ENSDORG00000028788
spermophilus_dauricus ENSSDAG00000002702
neovison_vison ENSNVIG00000004837
