spermophilus_dauricus ENSSDAG00000010870
marmota_marmota_marmota ENSMMMG00000015409
urocitellus_parryii ENSUPAG00010002600
castor_canadensis ENSCCNG00000004903
oryctolagus_cuniculus ENSOCUG00000029596
phascolarctos_cinereus ENSPCIG00000012783
ursus_maritimus ENSUMAG00000003554
cyanistes_caeruleus ENSCCEG00000001770
maylandia_zebra ENSMZEG00005024619
maylandia_zebra ENSMZEG00005008183
pundamilia_nyererei ENSPNYG00000004612
neolamprologus_brichardi ENSNBRG00000000837
acanthochromis_polyacanthus ENSAPOG00000019831
hippocampus_comes ENSHCOG00000009574
