mus_spicilegus ENSMSIG00000019344
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029409
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028407
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027410
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017188
meriones_unguiculatus ENSMUGG00000006356
cricetulus_griseus_crigri_1.0 ENSCGRG00000001948
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001004701
cricetulus_griseus_crigri-picr ENSCGRG00015011158
mesocricetus_auratus ENSMAUG00000019862
peromyscus_maniculatus_bairdii ENSPEMG00000016496
nannospalax_galili ENSNGAG00000018646
