dasypus_novemcinctus ENSDNOG00000031578
loxodonta_africana ENSLAFG00000026252
neovison_vison ENSNVIG00000005649
mustela_putorius_furo ENSMPUG00000008718
ursus_maritimus ENSUMAG00000008467
ursus_americanus ENSUAMG00000013709
ailuropoda_melanoleuca ENSAMEG00000001271
vulpes_vulpes ENSVVUG00000024679
canis_lupus_familiaris ENSCAFG00000029116
panthera_pardus ENSPPRG00000007323
felis_catus ENSFCAG00000030176
equus_caballus ENSECAG00000028479
myotis_lucifugus ENSMLUG00000015268
sus_scrofa ENSSSCG00000026061
ovis_aries ENSOARG00000017787
sorex_araneus ENSSARG00000012456
erinaceus_europaeus ENSEEUG00000005721
spermophilus_dauricus ENSSDAG00000013939
urocitellus_parryii ENSUPAG00010010227
fukomys_damarensis ENSFDAG00000013647
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021175
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020283
rattus_norvegicus ENSRNOG00000056338
oryctolagus_cuniculus ENSOCUG00000029511
oryctolagus_cuniculus ENSOCUG00000017510
tupaia_belangeri ENSTBEG00000012874
macaca_fascicularis ENSMFAG00000031313
macaca_mulatta ENSMMUG00000004895
macaca_nemestrina ENSMNEG00000004456
papio_anubis ENSPANG00000019746
cercocebus_atys ENSCATG00000015807
mandrillus_leucophaeus ENSMLEG00000038156
chlorocebus_sabaeus ENSCSAG00000005971
rhinopithecus_bieti ENSRBIG00000031479
colobus_angolensis_palliatus ENSCANG00000041494
gorilla_gorilla ENSGGOG00000016543
homo_sapiens ENSG00000185958
pan_paniscus ENSPPAG00000038991
saimiri_boliviensis_boliviensis ENSSBOG00000020587
cebus_capucinus_imitator ENSCCAG00000030948
callithrix_jacchus ENSCJAG00000021122
carlito_syrichta ENSTSYG00000033743
propithecus_coquereli ENSPCOG00000019884
microcebus_murinus ENSMICG00000035471
otolemur_garnettii ENSOGAG00000029433
phascolarctos_cinereus ENSPCIG00000000431
sarcophilus_harrisii ENSSHAG00000001354
