rhinopithecus_roxellana ENSRROG00000008518
rhinopithecus_bieti ENSRBIG00000041586
colobus_angolensis_palliatus ENSCANG00000029617
macaca_mulatta ENSMMUG00000048413
macaca_nemestrina ENSMNEG00000027094
macaca_fascicularis ENSMFAG00000030428
theropithecus_gelada ENSTGEG00000009577
pan_troglodytes ENSPTRG00000051903
pan_paniscus ENSPPAG00000028065
gorilla_gorilla ENSGGOG00000037981
nomascus_leucogenys ENSNLEG00000032578
saimiri_boliviensis_boliviensis ENSSBOG00000034512
cebus_capucinus_imitator ENSCCAG00000030549
cricetulus_griseus_crigri-picr ENSCGRG00015017384
peromyscus_maniculatus_bairdii ENSPEMG00000030771
vulpes_vulpes ENSVVUG00000012101
lepidothrix_coronata ENSLCOG00000011644
