gorilla_gorilla ENSGGOG00000005293
homo_sapiens ENSG00000180532
pan_paniscus ENSPPAG00000023301
pan_troglodytes ENSPTRG00000011566
pongo_abelii ENSPPYG00000010476
nomascus_leucogenys ENSNLEG00000010988
theropithecus_gelada ENSTGEG00000011999
papio_anubis ENSPANG00000025039
mandrillus_leucophaeus ENSMLEG00000035427
macaca_fascicularis ENSMFAG00000003481
macaca_mulatta ENSMMUG00000005335
macaca_nemestrina ENSMNEG00000036936
cercocebus_atys ENSCATG00000023908
chlorocebus_sabaeus ENSCSAG00000001623
colobus_angolensis_palliatus ENSCANG00000008355
piliocolobus_tephrosceles ENSPTEG00000003532
rhinopithecus_roxellana ENSRROG00000030605
rhinopithecus_bieti ENSRBIG00000044247
cebus_capucinus_imitator ENSCCAG00000035712
saimiri_boliviensis_boliviensis ENSSBOG00000024947
callithrix_jacchus ENSCJAG00000044675
aotus_nancymaae ENSANAG00000027864
carlito_syrichta ENSTSYG00000010241
tupaia_belangeri ENSTBEG00000001208
peromyscus_maniculatus_bairdii ENSPEMG00000012805
microtus_ochrogaster ENSMOCG00000004218
neovison_vison ENSNVIG00000013347
dasypus_novemcinctus ENSDNOG00000011483
